ID, Rating, Votes, Title
1042502, 10.0, 45, 二十一世纪英语:通往未来之票(上下) 
2235855, 10.0, 28, 殷周金文集成(修订增补本共8册)(精) 
3067859, 10.0, 26, 中国版刻图录 
6751176, 10.0, 37, 戚蓼生序本石头记 
1593696, 10.0, 56, 擒拿与格斗 
1018256, 9.9, 36, 新注全本安徒生童话（全四册） 
1115529, 9.9, 403, 智障儿童学写字 
1145720, 9.9, 35, 靓妹挑染发型 
1145721, 9.9, 58, 靓妹精剪发型 
1291310, 9.9, 92, 元照英美法词典 
1947221, 9.9, 54, The Lord of the Rings 
2086963, 9.9, 24, 世界童话名著文库2 
4859891, 9.9, 23, 数学、科学和认识论 
5396117, 9.9, 18, 樱桃小丸子经典漫画版 8 
11589042, 9.9, 27, ドロヘドロ 17 
26756140, 9.9, 201, 行动的勇气 
1055223, 9.9, 32, 摇滚王子 
2034913, 9.9, 42, The Silmarillion 
2052077, 9.9, 35, 数学译林 
6053667, 9.9, 28, 　力取向精神　　--　床　用　　　 
1038759, 9.8, 41, 词话丛编(全五册) 
1040368, 9.8, 48, 男青年花式毛衣 
1084720, 9.8, 65, 傅雷全集 
1203230, 9.8, 40, 世界童话精选 
1235444, 9.8, 45, 牛津英语搭配词典 
1393911, 9.8, 22, 　斯.柯赫　自　心理　 
1427058, 9.8, 85, 1970
1467519, 9.8, 1689, 世界童话名著连环画 
1478270, 9.8, 35, 蜡笔王国童话 
1593061, 9.8, 77, 乾隆甲戌脂砚斋重评石头记 
1697556, 9.8, 66, Principles of Neural Science 
1763355, 9.8, 37, 牟宗三先生全集(全33册) 
1816172, 9.8, 25, 敦煌变文选注（全二册） 
1830952, 9.8, 49, 飞毯侦探斯文唐 
2034673, 9.8, 126, 农村中学毕业生进城务工指南 
2128499, 9.8, 70, 存见古琴曲谱辑览 
2129210, 9.8, 149, The Complete Yes Minister 
2194853, 9.8, 21, The New Encyclopaedia Britannica 
2342660, 9.8, 33, 2007
3095265, 9.8, 20, 黑布局 
3334065, 9.8, 28, 我所知道的野生动物 
3726316, 9.8, 323, 郎雀 
3915177, 9.8, 24, 吕思勉文集 
4053439, 9.8, 39, 机器人总动员 
4747426, 9.8, 146, 脂砚斋重评石头记庚辰校本（全四册） 
4825482, 9.8, 26, 四季短笛 
4859892, 9.8, 26, 中国古代建筑史 
5375796, 9.8, 21, 宇宙、地球和大气 
5379665, 9.8, 35, 超人气狗狗的选购和驯养指南 
5406272, 9.8, 19, 广义相对论 
11632218, 9.8, 33, 零起步钩出甜蜜宝贝装 
19950592, 9.8, 21, 芥川龙之介全集（全五册） 
26184644, 9.8, 116, Criterion Designs 
2025999, 9.8, 2364, 灌篮高手（全31卷） 
2325494, 9.8, 33, 怪老头儿 
3526535, 9.8, 43, 小淘气尼古拉的梦想 
20429358, 9.8, 29, 做好领导的九大赢招 
25757313, 9.8, 344, 红楼梦脂评汇校本 
1016323, 9.7, 35, 趣味物理学续编 
1030717, 9.7, 75, 世界儿童文学名著故事大全 
1054845, 9.7, 194, 怎样养好母猪 
1062734, 9.7, 34, 袁中郎随笔 
1068337, 9.7, 1258, 红楼梦 
1141524, 9.7, 40, 稼轩长短句 
1195901, 9.7, 424, 灌篮高手 6 
1195902, 9.7, 462, 灌篮高手 7 
1195903, 9.7, 454, 灌篮高手8 
1195904, 9.7, 439, 灌篮高手9 
1195905, 9.7, 446, 灌篮高手10 
1202226, 9.7, 81, 三国演义 
1221509, 9.7, 512, 灌篮高手25 
1221510, 9.7, 429, 灌篮高手21 
1221511, 9.7, 533, 灌篮高手28 
1221512, 9.7, 504, 灌篮高手26 
1221513, 9.7, 443, 灌篮高手22 
1221514, 9.7, 501, 灌篮高手23 
1221516, 9.7, 524, 灌篮高手27 
1223505, 9.7, 690, 灌篮高手30 
1242927, 9.7, 251, 英国文学名篇选注 
1248549, 9.7, 50, 古谣谚 
1258135, 9.7, 463, 灌篮高手29 
1258136, 9.7, 496, 灌篮高手24 
1261928, 9.7, 51, 跟我吃　　不会便秘 
1326445, 9.7, 100, 绿帽子 
1436219, 9.7, 43, 如何在网上玩游戏 
1585474, 9.7, 146, 花舞大唐春 
1608301, 9.7, 440, 灌篮高手5 
1621414, 9.7, 430, 灌篮高手11 
1621415, 9.7, 430, 灌篮高手12 
1621416, 9.7, 429, 灌篮高手13 
1621417, 9.7, 428, 灌篮高手14 
1621418, 9.7, 434, 灌篮高手15 
1625656, 9.7, 395, 灌篮高手16 
1625657, 9.7, 441, 灌篮高手17 
1625659, 9.7, 449, 灌篮高手19 
1625660, 9.7, 447, 灌篮高手20 
1668197, 9.7, 521, 灌篮高手4 
1686175, 9.7, 27, The Norton Shakespeare 
1711231, 9.7, 32, 计算机视觉中的多视图几何 
1754619, 9.7, 34, Paradigms of Artificial Intelligence Programming 
1762024, 9.7, 37, 　　四先生全集（全54　） 
1836555, 9.7, 2349, 史记 
1934266, 9.7, 107, 农民进城打工指南 
1948906, 9.7, 21, 续修四库全书术数类丛书（全十七册） 
2013972, 9.7, 27, 白布局 
2042842, 9.7, 18, The Laws of Plato 
2086977, 9.7, 39, 世界童话名著文库1 
2243169, 9.7, 45, 周锐童话选 
2298270, 9.7, 73, 世界童话画库（1－6册） 
2300982, 9.7, 29, 人造娃娃康拉德历险记 
2351678, 9.7, 22, 中华人民共和国化工行业标准 
2371902, 9.7, 80, 余嘉锡论学杂著（两册） 
2982279, 9.7, 34, 20世纪世界儿童文学名著精粹 
3072479, 9.7, 189, 镜子里的幽灵 
3241575, 9.7, 48, 环卫粪便处理工 
3545532, 9.7, 72, 瑜伽师地论（全九册） 
3788399, 9.7, 137, 复分析 
4205549, 9.7, 33, Lingua Latina 
4211237, 9.7, 65, 中国历史地图集 1-8册 
4721427, 9.7, 29, 脂　　重　石　　：己卯本 
