ID, Score, Rating, Votes, Date, Title 
1084767, 22.5, 8.1, 56, 2001-2, 柳如是集 
1547458, 20.3, 8.4, 31, 2001-02-01, 片玉词 
1084735, 18.4, 8.3, 24, 2001-2, 山中白云词 
1084740, 13.2, 7.5, 14, 2001-2, 绝妙好词 
1084738, -4.0, 0.0, 5, 2001年02月, 湘真阁稿 
1084734, 11.5, 7.3, 11, 2001-02-01, 历代名画记 图画见闻志 
1084741, -1.7, 0.0, 2, 2001年1月1日, 潜夫论 
1084733, -4.9, 0.0, 7, 2001-02-01, 经鉏堂杂志 
1084737, 12.3, 7.3, 13, 2001-02-01, 言行龟鉴 
1084766, 15.3, 7.6, 20, 2001-2, 五杂组（共二册） 
1084748, 15.3, 7.7, 19, 2001年02月, 癸巳类稿（全二册） 
1084761, 14.2, 7.5, 17, 2001-2, 春在堂随笔 
1084736, -5.5, 0.0, 9, 2001年02月, 淡墨录 
1084743, -4.5, 0.0, 6, 2001-2, 知圣道斋读书跋 
1084765, 11.3, 7.4, 10, 2001-02-01, 梦碧簃石言 
1084739, -4.5, 0.0, 6, 2001-02-01, 金盖樵话 
1787280, 26.9, 8.2, 112, 2001, 三国史话 
1084762, 24.8, 8.5, 62, 2002-5, 夏济安选集 
1084758, -4.9, 0.0, 7, 2001-2, 清人笔记条辨(全二册) 
1084757, 12.4, 7.9, 10, 2001-2, 越缦堂读书记（全六册） 
1084763, 16.4, 7.8, 22, 2001年02月, 言言斋古籍丛谈 
1084759, 18.0, 8.4, 21, 2001-02-01, 铢庵文存 
1658629, 14.7, 7.4, 20, 2001-02-01, 文思录 
1084764, 14.7, 7.8, 16, 2001-02-01, 梅光迪文录 
1084760, 26.8, 8.3, 102, 2001-10-01, 一知半解及其他 
1029945, 23.9, 7.9, 83, 1999-1, 埃斯库罗斯悲剧集（共二册） 
1084752, 11.8, 7.1, 13, 2001-2, 两个小淑女 
1084749, -4.9, 0.0, 7, 2001年02月, 科学与方法 
1084756, 14.0, 6.7, 28, 2001-02-01, 历史上的狂人 
1084747, 18.9, 7.7, 38, 2001-2, 谢里曼传:一位寻金者的故事 
1084746, 12.7, 7.3, 14, 2001-2, 俄罗斯民间故事选 
1689652, 17.4, 8.4, 19, 2001-2, 愚人颂 
1084755, 12.6, 7.4, 13, 2001-2, 贝多芬书信选 
1084745, -5.2, 0.0, 8, 2001-2, 社会主义 
1084751, -2.7, 0.0, 3, 2001-2, 科学与假设 
1084744, -2.7, 0.0, 3, 2001-2, 共同事业的哲学（共2册） 
1084742, -4.5, 0.0, 6, 2001年2月1日, 汉弗莱·克林克历险记（全二册） 
1084754, 13.5, 7.1, 19, 2001-02-01, 埃及宗教 
1223891, 25.3, 8.4, 73, 2001-2, 约瑟夫·富歇 一个政治家的肖像 
1084750, -5.5, 0.0, 9, 2001-2, 露丝小姐 
1084753, -2.7, 0.0, 3, 2001-2, 教妹 
25812830, 14.7, 7.6, 18, 2014-1-1, 性 
24845741, 27.4, 8.2, 122, 2013-7-1, 性之变 
4088758, 26.3, 7.6, 172, 2009-10, 性社会学 
4130906, 32.6, 7.7, 528, 2009-11, 同性恋亚文化 
4863269, -4.0, 0.0, 5, 2010-5, 人类性学 
4123951, 31.6, 7.8, 385, 2009-10, 虐恋亚文化 
24722744, 30.0, 7.8, 286, 2013-7, 科学碰撞“性” 
4114636, 35.7, 8.3, 470, 2009-12, 性学观止（上下册） 
10867037, 27.9, 8.5, 104, 2012-9, 认识性学 
1233609, 27.1, 8.9, 69, 2003-2, 我们的性 
1704314, -5.5, 0.0, 9, 2005-10-01, 性与社会 
1101166, 15.9, 7.9, 19, 2002-8, 性科学概论 
1127184, -1.7, 0.0, 2, 1998-01, 性-我知道什么丛书 
2986313, 15.2, 7.0, 29, 2008-1, 性体验与性爱心理 
1925473, 22.7, 7.6, 85, 2006年, 罗马爱经 
2212715, 20.3, 7.1, 83, 2007-8, 爱经 
2215670, 17.2, 7.0, 46, 2007-8, 香园 
2212716, 14.2, 7.1, 22, 2007-8, 天生尤物 
1903834, 15.5, 6.2, 66, 2006-10, 西藏欲经 
3065729, 27.9, 7.9, 176, 2008-5, 素女经 
1492984, 24.6, 7.6, 125, 2006-1, 唐卡的故事之男女双修 
2122107, 14.7, 7.4, 20, 1991-10, 中国古代房室养生集要 
2184895, 37.5, 8.8, 385, 2007-1, 中国古代房内考 
1010010, 28.7, 7.6, 279, 1992-7, 秘戏图考 
2156316, 22.7, 7.7, 78, 2007-7, 花營錦陣 
1794583, 34.5, 8.5, 316, 2006-5, 中国方术正考 
1137101, 20.5, 7.7, 52, 2003-12, 中国古代性文化 
4306547, 19.7, 7.0, 80, 2010-1, 性的历程 
1029983, 26.9, 7.2, 307, 2003-11-1, 中国性史图鉴 
1100287, 11.1, 6.6, 15, 2000-12, 20世纪中国性文化 
2258195, 17.0, 7.6, 28, 2007-7, 中国性文化史 
1013981, 11.6, 6.8, 15, 1998年6月第2次印刷, 世界古代性文化 
1012920, -4.0, 0.0, 5, 1999-01, 世界当代性文化 
1442217, 14.5, 6.3, 46, 2005-10, 世界性文化图考 
2969713, 18.4, 7.0, 60, 2008年2月, 爱欲正见 
1485875, 12.9, 5.7, 56, 2006-1, 爱经与秘戏 
1288952, 19.9, 6.5, 146, 2005-01, 浮世与春梦 
3797340, 22.7, 6.0, 655, 2009-5-1, 日本人的色道 
1709403, 19.9, 7.9, 40, 1998-02-01, 张竞生文集(上下册) 
1042831, 30.2, 7.3, 540, 2005-01, 中国性研究 
1274091, 20.0, 7.5, 55, 1997-10, 性张力下的中国人 
1069040, 16.1, 6.5, 56, 2003-07, 性感 
1082576, 11.6, 6.8, 15, 2004-1, 性的学习 
1807601, 16.7, 7.5, 28, 2006-6, 中国妓女文化史 
1464575, 34.0, 8.4, 319, 2003-06, 危险的愉悦 
1461489, 16.5, 6.6, 56, 2005-11-01, 中国近代妓女史 
1058804, 32.1, 8.4, 232, 1999-01, 存在与荒谬 
1016137, 29.3, 8.4, 144, 2000-08, 生存与体验 
1082428, 14.4, 5.7, 89, 2003-10-1, 走进风月：地下性工作者调查 
1144560, 13.8, 6.7, 27, 2004-1-1, 世界娼妓史（彩图版） 
3112147, 12.0, 7.5, 11, 1989, 维也纳红灯区：社会学调查 
1950526, 15.6, 7.3, 26, 2006-08-03, 色情消費啟示錄 
1143745, 23.7, 7.8, 87, 2004-2-1, 当代中国人的性行为与性关系 
1151137, 20.8, 7.5, 64, 2004-5-1, 性爱十年 
1031776, 13.0, 6.2, 34, 2005-01, 湿漉漉的玫瑰 
1225259, 19.6, 7.2, 65, 2005-02-01, 中国多性伙伴个案考察 
1016552, 29.6, 7.8, 265, 2002, 李银河文集第一辑 
1479194, 40.1, 8.2, 1137, 1992-11, 他们的世界 
1208672, 27.2, 7.7, 186, 2001-4, 暧昧的历程 
1047588, 32.1, 7.9, 379, 2003-07, 酷儿理论 
1444748, -4.9, 0.0, 7, 2005-9, 中国女性性调查报告 
1000399, 11.1, 7.3, 10, 2002-06, 性的报告 
2112786, -4.9, 0.0, 7, 2007-01-01, 人的性与性的人 
1921811, -3.5, 0.0, 4, 1970-1, 性生活与社会规范 
1209637, 21.4, 7.6, 67, 2002-5-1, 西方性学名著提要 
1386882, 11.9, 7.0, 14, 2002-1, 20世纪的性理论和性观念 
1767372, 22.0, 7.3, 97, 1989年, 日本文化中的性角色 
1790553, 26.3, 8.0, 119, 2006, 江戶四十八手：浮世繪的色與戀 
1221002, 14.9, 6.8, 32, 2005-1-1, 民间性巫术 
1781281, 13.9, 7.3, 18, 2000.1., 原始的性爱 (上下册) 
1064738, 24.5, 7.6, 121, 1999-10, 神秘的舞蹈 
2082044, 35.9, 8.1, 612, 2007-5, 金赛性学报告 
2270472, 18.1, 7.3, 43, 2007-9, 金赛是谁 
1064298, 35.2, 7.6, 998, 2002-9, 海蒂性学报告：男人篇 
1033273, 37.9, 7.8, 1287, 2002-9, 海蒂性学报告 
1046665, 32.6, 7.5, 677, 2002-9, 海蒂性学报告：情爱篇 
1223823, 24.4, 7.3, 161, 2005-1-1, 一生的性计划 
1321596, -2.7, 0.0, 3, 1996.2, 性爱的艺术 
1807443, -4.5, 0.0, 6, 2006-1, 成熟夫妻的性爱秘诀 
1014451, 12.3, 7.3, 13, 1998-06, 中国性科学百科全书 
2050659, 17.4, 7.4, 35, 2007, 簡明性愛辭典 
1080750, 39.3, 8.1, 1126, 2004-01, 精子战争 
1283506, 16.8, 8.1, 20, 2002-1, 未来的性 
1855788, 12.8, 7.1, 16, 2006-8, 色与情 
2009068, 30.3, 8.1, 224, 2006-7-1, 天天好體位 
3182996, 16.7, 7.5, 28, 2008年8月1日, 天天好體位2：不可能的任務 
1892409, 32.8, 8.2, 316, 2006-09-07, 口愛 
1759474, -4.5, 0.0, 6, 2005年12月08日, 雲端漫舞坦陀羅：狂喜性愛修行指南 
1759452, -5.5, 0.0, 9, 2005年11月17日, 嗨！克莉特絲 
1899255, 25.7, 7.6, 154, 2006-9, 世界的渊源 
2209663, 32.1, 7.2, 918, 2007-8, 孤独的性 
1311281, 12.6, 7.4, 13, 2005-5-1, 胸部 
1024270, 28.3, 7.3, 365, 2001-11-1, 乳房的历史 
1025671, 25.9, 7.8, 132, 2003-04, 男根文化史：我行我素 
2173410, 26.1, 7.4, 206, 2007-5, 两性生活史 
1000427, 28.4, 8.0, 175, 2000-12, 古希腊风化史 
1009692, 24.1, 7.6, 113, 2000-10, 古罗马风化史 
1019446, 28.5, 7.8, 218, 2000-10, 欧洲风化史 
1071594, 15.6, 6.8, 38, 2004-09, 美国性史 
2346122, 18.9, 7.5, 44, 2007-11, 二十世纪性史 
2046559, 22.0, 7.3, 97, 2006-12, 堕落之城 
1324838, 27.7, 7.7, 207, 2005-6, 服装的罗曼史 
1076740, 9.9, 6.0, 17, 2004-01, 鞋的风化史 
1023066, 24.9, 7.1, 224, 2007-4-29, 迷药 
