Doulist, Number of Books 
223889, 46 

ID, Score, Rating, Votes, Date, Title 
1363377, 31.7, 8.6, 180, 2009年7月, 白描 
1438495, 31.6, 8.4, 211, 2005-10-18, 記憶的腳注 
1372420, 28.4, 8.9, 85, 2000, 天气是文字的颜色 
1372075, 22.6, 8.5, 43, 2000, 紅了文化，綠了文明 
1783005, 20.4, 8.4, 32, 2000 年 04 月 01 日, 鍛句鍊字是禮貌 
1371305, 22.4, 8.8, 35, 2000, 竹雕笔筒辩证法 
1348539, 30.9, 8.8, 136, 2004-12-23, 甲申年紀事 
1370267, 21.5, 8.3, 41, 2000-7-17, 保住那一髮青山 
1363373, 22.6, 8.3, 49, 2001-6-1, 回家的感覺真好 
3163562, 30.9, 8.5, 173, 2008-7-28, 小風景 
3156483, 28.0, 8.9, 79, 2008年7月, 董桥文集① 
3177361, 23.5, 8.5, 50, 2008-7, 董桥文集② 
1829211, 31.7, 8.7, 167, 2006, 故事 
3625391, 35.7, 8.7, 319, 2009-4-1, 青玉案 
10487877, 22.7, 8.3, 50, 2012-2-10, 董橋七十 
4257993, 32.2, 8.2, 283, 2010-4-1, 記得 
6097374, 32.9, 8.1, 354, 2011-1-4, 橄欖香 
10521411, 23.8, 7.9, 82, 2012-2, 立春前後 
6558995, 30.3, 8.4, 170, 2011-7-15, 清白家風 
1363376, 26.7, 8.4, 92, 2003-7-1, 小風景 
4915860, 28.4, 8.2, 145, 2010-7, 景泰藍之夜 
