Series, Number of Books 
162, 50 

ID, Score, Rating, Votes, Title 
2046236, 57.5, 9.3, 4694, 庄子 
2381748, 50.7, 9.1, 2154, 金刚经 心经 坛经 
1921589, 43.6, 8.9, 906, 周易 
1921597, 45.8, 8.9, 1285, 大学·中庸 
1921441, 45.7, 8.9, 1262, 诗经 
1924903, 46.8, 9.1, 1207, 老子 
1929958, 44.2, 8.8, 1115, 论语 
3843961, 45.2, 9.4, 697, 唐诗三百首 
3843957, 37.9, 9.1, 312, 黄帝内经 
1921420, 38.1, 8.7, 470, 战国策 
2116409, 35.0, 8.7, 283, 六韬·鬼谷子 
1924904, 39.3, 9.1, 387, 孙子兵法 孙膑兵法 
4090803, 32.7, 8.5, 234, 商君书 
3651353, 30.9, 8.4, 187, 淮南子 
2381658, 32.0, 8.2, 276, 颜氏家训 
2052475, 34.4, 8.5, 310, 左传 
3826301, 36.3, 9.0, 265, 地藏经•药师经 
1924902, 36.5, 8.7, 360, 孟子 
3651434, 31.7, 8.0, 318, 山海经 
2052476, 33.3, 8.6, 233, 墨子 
3843962, 37.5, 9.2, 270, 宋词三百首 
2052477, 32.8, 8.6, 217, 韩非子 
3843960, 37.7, 9.2, 278, 古文观止 
3843959, 33.6, 8.5, 270, 世说新语 
4090804, 30.7, 8.3, 198, 搜神记 
3661571, 26.7, 8.4, 92, 管子 
3673301, 31.6, 8.5, 195, 三字经 百家姓 千字文 弟子规 
3673340, 28.3, 8.7, 96, 人物志/中华经典藏书 
2376102, 27.9, 8.4, 114, 列子 
2069630, 31.8, 8.9, 143, 史记 
4133113, 29.8, 8.7, 123, 楚辞 
2569920, 28.3, 8.4, 122, 吕氏春秋 
3843965, 27.8, 8.3, 120, 元曲三百首 
2052474, 29.1, 8.5, 127, 资治通鉴 
2069629, 28.2, 8.3, 129, 三国志 
3660094, 24.0, 8.3, 63, 徐霞客游记 
2376104, 25.0, 7.9, 102, 荀子/中华经典藏书 
4137642, 22.8, 8.3, 51, 梦溪笔谈 
4030662, 25.5, 8.2, 87, 千家诗 
2381407, 23.2, 7.9, 73, 礼记·孝经 
4133065, 20.9, 8.2, 39, 孔子家语 
2701614, 22.1, 8.0, 56, 晏子春秋 
3682401, 20.0, 8.0, 38, 尚书/中华经典藏书 
4133054, 16.3, 7.3, 30, 水经注(中华经典藏书) 
2375504, 20.1, 8.1, 36, 国语/中华经典藏书 
3682402, 19.0, 8.1, 30, 贞观政要 
4090805, 17.0, 8.1, 21, 曾子•子思子 
4090806, 18.5, 8.5, 22, 后汉书 
4137641, 15.6, 7.9, 18, 汉书 
4133064, 12.6, 7.4, 13, 孔丛子 
