Tag: IT 

ID, Score, Rating, Votes, Title 
6709783, 64.2, 9.1, 16677, 浪潮之巅 
4889838, 50.5, 9.1, 2101, 鸟哥的Linux私房菜 
4010196, 56.3, 8.1, 23303, 世界因你不同 
1102259, 46.6, 8.4, 2681, 人月神话 
10546125, 48.3, 9.3, 1211, JavaScript高级程序设计（第3版） 
26665230, 38.8, 8.5, 648, 硅谷之谜 
25857804, 29.7, 8.0, 222, 硅谷百年史 
26644070, 33.0, 9.0, 160, 凤凰项目 
1786294, 29.1, 8.8, 101, C语言编程：一本全面的C语言入门教程（第三版） 
6021440, 59.6, 8.8, 12937, 黑客与画家 
4736118, 43.3, 7.9, 3026, 结网 
10799984, 39.6, 7.5, 2743, 大数据 
26835090, 30.2, 8.1, 221, 软技能 
26462816, 28.2, 8.1, 154, GitHub入门与实践 
25881855, 36.5, 8.5, 435, 大教堂与集市 
1089508, 35.7, 7.8, 846, 数字化生存 
6860890, 38.5, 8.3, 757, 黑客 
3852290, 40.5, 9.0, 508, 现代操作系统（第3版） 
4789228, 36.1, 8.7, 338, In The Plex 
1998341, 30.1, 9.1, 95, 计算机系统要素 
1108725, 39.5, 8.2, 1028, 人件 
26268767, 31.2, 8.6, 166, Wireshark网络分析就这么简单 
4031906, 38.9, 8.9, 438, 冒号课堂 
26765979, 22.2, 8.8, 34, 架构即未来：现代企业可扩展的Web架构、流程和组织(原书第2版) 
24335672, 36.7, 7.4, 1772, 淘宝技术这十年 
6862062, 33.4, 8.6, 237, 持续交付 
25908079, 38.8, 8.5, 646, 新经济，新规则 
4163938, 47.5, 8.7, 2110, 软件随想录 
25884108, 31.4, 8.1, 270, 程序员的呐喊 
1132623, 32.8, 8.4, 261, 成为技术领导者 
3360807, 46.1, 9.1, 1084, Effective java 中文版（第2版） 
5432475, 31.7, 8.7, 167, 穿越计算机的迷雾 
4006425, 39.0, 7.7, 1811, 我是一只IT小小鸟 
6756090, 40.1, 8.4, 902, 松本行弘的程序世界 
24749903, 31.6, 8.3, 231, 世界是数字的 
3319935, 42.6, 8.2, 1757, 走出软件作坊 
21632268, 26.7, 7.6, 187, 数字乌托邦 
4164024, 39.2, 8.2, 965, 高效程序员的45个习惯 
25752043, 44.8, 8.7, 1378, 信息简史 
10561367, 33.7, 8.1, 409, Head First Python（中文版） 
6966465, 36.3, 8.4, 467, 剑指Offer 
2130190, 51.9, 9.1, 2591, Java编程思想 （第4版） 
4822685, 48.9, 9.2, 1479, 编码 
4860526, 36.4, 7.5, 1441, 乔布斯的魔力演讲 
20471120, 38.2, 7.5, 2089, 打造Facebook 
26710788, 21.7, 8.6, 35, wireshark网络分析艺术 
1966719, 33.6, 8.6, 247, Founders at Work 
26340695, 23.0, 9.2, 31, 三位一体 
24536403, 33.9, 7.7, 680, 代码的未来 
4199741, 40.9, 8.5, 920, 代码整洁之道 
2000732, 41.8, 8.8, 765, Head First Java（第二版·中文版） 
1205456, 32.2, 7.8, 439, 未来之路 
3816827, 42.9, 8.2, 1869, 沸腾十五年 
4253716, 35.9, 9.5, 168, Unix &amp; Linux大学教程 
10750155, 55.2, 8.7, 7415, 数学之美 
3227098, 50.0, 9.2, 1734, 编程珠玑 
4058336, 34.0, 8.2, 387, 项目管理修炼之道 
10432364, 31.7, 8.1, 287, 奇思妙想 
1072313, 22.5, 7.7, 76, 硅谷之火 
24533314, 19.4, 8.6, 24, HTML5 Canvas核心技术 
25856314, 32.2, 8.8, 166, Web性能权威指南 
25723064, 36.2, 7.9, 814, 大型网站技术架构 
26368668, 22.3, 8.6, 39, 编程导论 
26598045, 26.3, 7.5, 194, Web全栈工程师的自我修养 
21372237, 31.5, 8.4, 210, 极客与团队 
26419762, 25.2, 8.2, 83, 成为技术领导者 
1139336, 56.6, 9.4, 3629, C程序设计语言 
26897884, 24.8, 8.0, 91, 智能主义 
1152111, 46.4, 8.6, 2007, 程序员修炼之道 
1723351, 22.2, 9.1, 29, 软件工程的事实与谬误 
1445661, 29.6, 8.3, 166, 软件测试的艺术 
24740308, 37.8, 9.2, 284, 浪潮之巅（下册） 
5401859, 32.3, 8.3, 263, 门后的秘密 
26369253, 12.2, 7.4, 12, 图解服务器端网络架构 
6790578, 24.5, 8.2, 74, 总开关 
26590145, 17.6, 7.5, 34, python黑帽子 
3652388, 47.0, 8.8, 1739, 程序员的自我修养 
10779571, 24.2, 7.8, 96, 金领简历 
1148282, 51.9, 9.5, 1659, 计算机程序的构造和解释 
1477390, 54.9, 9.3, 3200, 代码大全（第2版） 
11614538, 37.6, 8.7, 431, 程序员的职业素养 
5376270, 29.4, 8.9, 99, 调试九法 
1230413, 54.6, 9.5, 2437, 深入理解计算机系统 
3360866, 33.5, 8.6, 244, JAVA核心技术卷2 
3699395, 35.1, 7.9, 665, 观止-微软创建NT和未来的夺命狂奔 
3215423, 31.9, 7.5, 588, IT不再重要 
10746113, 42.8, 8.7, 1003, HTTP权威指南 
21792530, 32.6, 8.2, 303, 编写可维护的JavaScript 
1864527, 36.5, 9.2, 233, Oracle 9i &amp; 10g编程艺术 
4875599, 30.7, 8.7, 141, C++程序设计原理与实践 
25981248, 24.0, 7.5, 121, 程序员健康指南 
26265544, 32.6, 9.1, 140, 图解密码技术 
26284938, 22.3, 9.0, 31, Automate the Boring Stuff with Python 
1231972, 35.3, 8.1, 547, 最后期限 
10793814, 27.5, 8.7, 84, 黑客攻防技术宝典（第2版） 
4214837, 32.2, 8.1, 316, 苹果往事 
2350559, 17.9, 8.3, 22, The Science of Programming 
5388602, 25.3, 8.1, 91, 物联网导论 
25965995, 35.2, 8.5, 355, 构建之法 
3267945, 40.3, 7.9, 1730, 疯狂的程序员 
2185076, 30.6, 8.9, 120, 计算机系统概论 
1853323, 48.0, 7.9, 7198, 圈子圈套2 
5948760, 42.8, 8.8, 889, A Byte of Python 
26285268, 26.4, 7.4, 218, 第一本Docker书 
1767741, 55.7, 9.2, 4051, C++ Primer 中文版（第 4 版） 
1031341, 34.7, 7.6, 909, 联想风云 
1921558, 30.2, 7.4, 477, 华为的世界 
26875239, 27.4, 9.3, 56, SRE 
26851260, 11.7, 7.4, 11, 极简设计 
24739213, 39.5, 9.1, 397, 浪潮之巅（上册） 
5355285, 36.9, 8.4, 518, 编程人生 
1176933, 25.6, 8.0, 105, 探索需求 
1474667, 35.0, 7.9, 655, 搜 
5954810, 30.9, 8.0, 274, 项目百态 
1467587, 49.2, 9.0, 1951, UNIX编程艺术 
6511603, 26.3, 7.3, 242, 十亿美金的教训 
4924164, 34.2, 8.3, 364, 软件开发者路线图 
19952400, 41.2, 9.4, 392, 算法（第4版） 
10797189, 39.7, 8.6, 668, 编写可读代码的艺术 
25854872, 27.4, 7.3, 301, 算法帝国 
26419771, 21.0, 9.4, 21, 数据库索引设计与优化 
10545193, 26.2, 7.5, 189, IT创业疯魔史 
4803982, 26.7, 7.8, 154, 团队之美 
24529132, 29.1, 7.7, 270, 改变未来的九大算法 
7056800, 42.9, 9.5, 461, Ruby元编程 
1774940, 30.4, 7.8, 311, 修炼 
26871829, 11.1, 7.3, 10, 区块链革命 
1879670, 33.5, 7.3, 1069, 撬动地球的Google 
4818689, 26.1, 8.4, 84, 探索式软件测试 
3590768, 47.8, 9.1, 1397, JavaScript语言精粹 
26663519, 25.0, 7.5, 149, MacTalk 跨越边界 
1152971, 46.3, 9.0, 1238, DOOM启世录 
25943598, 24.0, 7.5, 122, 埃隆·马斯克传 
5914587, 49.7, 8.5, 3969, 启示录 
7007204, 25.7, 7.4, 188, 编程大师访谈录 
5978700, 21.8, 8.3, 43, I&#39;m Feeling Lucky 
1391207, 40.6, 8.8, 627, 计算机网络（第4版） 
6851207, 24.8, 7.6, 129, 新机器的灵魂 
10484692, 40.7, 9.0, 524, Java并发编程实战 
25927585, 28.1, 8.0, 166, 代码之髓 
26652166, 19.6, 8.0, 35, 写给程序员的数据挖掘实践指南 
6758780, 32.5, 8.1, 330, 大规模Web服务开发技术 
25826578, 33.2, 7.1, 1369, MacTalk 人生元编程 
4923179, 34.7, 7.9, 619, 我编程，我快乐 
6901098, 19.1, 8.3, 27, The Idea Factory 
3004255, 46.9, 8.4, 2843, 编程之美 
3042029, 31.2, 8.5, 181, Linux系统管理技术手册 
24744419, 24.6, 7.7, 114, 大数据时代的历史机遇——产业变革与数据科学 
4743056, 31.5, 8.1, 275, 用户故事与敏捷方法 
3671502, 28.5, 7.6, 267, 大话通信 
11442031, 24.5, 7.3, 164, 编程ING 
1273942, 21.7, 7.5, 76, 惠普之道 
2044286, 31.6, 7.9, 346, 中国的新革命 
1786651, 26.5, 8.0, 124, 我与商业领袖的合作与冲突 
3142280, 36.3, 7.9, 829, 梦断代码 
6954094, 20.5, 7.1, 87, 互联网创业启示录 
5343318, 26.6, 8.3, 98, 研磨设计模式 
26860970, 12.2, 7.8, 10, 区块链 
