Tag: 二战 

ID, Score, Rating, Votes, Title 
26657740, 38.7, 9.0, 385, 再度觉醒 
26354440, 39.9, 8.9, 511, 野蛮大陆 
26376049, 42.8, 9.2, 591, 阿兰的战争 
26865732, 19.8, 8.8, 23, 纳粹医生 
26431326, 44.9, 8.9, 1116, 所有我们看不见的光 
26298832, 40.3, 8.7, 662, 零年：1945 
26602467, 42.5, 9.0, 691, 我是女兵,也是女人 
21329239, 46.4, 8.8, 1572, 巴黎烧了吗? 
26657701, 29.9, 8.4, 160, 若非此时，何时？ 
3206270, 45.4, 8.9, 1201, 拥抱战败 
1125731, 46.7, 8.8, 1645, 第三帝国的兴亡（上中下） 
26804200, 25.5, 8.7, 61, 希姆莱兄弟 
2282097, 54.1, 8.8, 5359, 像自由一样美丽 
3610090, 42.2, 9.0, 656, 第二次世界大战战史 
26861418, 30.5, 9.1, 101, 奥斯维辛 
26794875, 25.6, 9.0, 51, 战俘营回忆录：1680天 
1069507, 38.1, 9.1, 321, 战争风云：1939－1941（上下） 
3035211, 32.4, 8.0, 364, 日本帝国的衰亡（上下册） 
4075203, 47.9, 9.1, 1425, 鼠族（一、二部） 
26586326, 30.6, 8.9, 119, 来自纳粹地狱的报告 
1000531, 38.6, 8.6, 556, 第二次世界大战回忆录（全六卷） 
26594136, 20.1, 9.1, 21, 二战史诗三部曲 
3418938, 44.3, 9.0, 918, 被遗忘的士兵 
26293794, 26.4, 8.6, 76, 二战史 
1042434, 46.6, 8.0, 4784, 安妮日记 
2229229, 46.2, 8.0, 4456, 穿条纹衣服的男孩 
26577705, 28.3, 8.5, 111, 罪孽的报应 
26667196, 25.5, 8.8, 57, 奥斯维辛集中营的志愿者 
1006732, 36.3, 9.0, 266, 战争与回忆：1941－1945（上下） 
26646483, 23.5, 8.7, 44, 不折之鹰 
4145391, 33.5, 9.0, 172, 第三共和国的崩溃 
5299857, 44.7, 9.0, 973, 国家记忆 
26663098, 28.5, 8.3, 137, 第二次世界大战在亚洲及太平洋的起源 
1780277, 46.4, 8.7, 1769, 法兰西组曲 
25723401, 29.2, 8.5, 129, 第三帝国的语言 
1051314, 42.2, 9.0, 656, 钢琴师 
6724865, 41.5, 8.7, 812, 坚不可摧 
4753689, 43.2, 8.2, 1948, 莎拉的钥匙 
1270508, 50.0, 8.7, 3193, 失焦 
4827423, 41.3, 8.4, 1097, 浩瀚大洋是赌场 
1264559, 35.7, 8.5, 383, 闪击英雄 
1963579, 29.4, 8.1, 191, 柏林日记 
2047854, 27.8, 9.1, 68, 国际事务概览.第二次世界大战（全11卷） 
2156890, 29.2, 8.7, 111, 第三帝国内幕 
1530882, 34.8, 9.0, 213, 恶魔的饱食 
1016454, 31.1, 8.0, 287, 东史郎日记 
26575912, 28.4, 9.0, 79, 银翼夜枭03：伍尔夫与莉莉娅 
10825075, 25.8, 8.5, 74, 巨人的碰撞 
1011067, 22.7, 8.8, 37, 魏特琳日记 
3633809, 37.9, 8.8, 410, 辛德勒名单 
3150203, 30.4, 9.1, 100, 日本帝国海军兴亡史（上下） 
26657350, 23.3, 8.0, 69, 第三帝国的最后十四天 
1826198, 31.5, 8.7, 162, 燃烧的岛群 
26582467, 29.3, 8.9, 97, 银翼夜枭02：莉莉娅同志 
26253243, 22.6, 7.9, 66, 太平洋战争与日本新闻 
26425191, 19.9, 8.4, 29, 奥斯维辛骷髅俱乐部 
4864367, 28.7, 8.0, 183, 血战太平洋之瓜岛浴血记 
20481425, 28.1, 8.4, 117, 东进（套装共2册） 
25804639, 22.2, 9.3, 26, 空中英豪 
3219205, 24.6, 8.8, 50, 第二次世界大战的起源 
25885817, 28.6, 8.4, 127, 1944：腾冲之围 
10789137, 27.8, 8.3, 120, 雪白血红 
26348593, 16.4, 7.8, 22, HHhH 
3138950, 19.3, 8.3, 28, 麦克阿瑟回忆录 
26705271, 26.7, 8.8, 69, 一寸河山一寸血 
4038653, 33.7, 8.4, 301, 逃离奥斯维辛 
26293216, 24.9, 7.3, 178, 二战简史 
1679427, 27.8, 9.3, 60, 抗日战争正面战场（上中下） 
10772478, 23.7, 8.3, 60, 剑拔弩张的盟友 
5264480, 35.0, 8.2, 464, 呼吸秋千 
1277314, 25.5, 7.8, 123, 朱可夫元帅战争回忆录 
