Tag: 企业 

ID, Score, Rating, Votes, Title 
26361727, 21.3, 8.6, 33, 采购与供应链管理：一个实践者的角度（第2版） 
2038122, 25.6, 8.8, 58, 企业的性质 
6404010, 41.8, 7.9, 2306, 不懂项目管理，还敢拼职场 
1977840, 26.9, 7.7, 175, 房间里最精明的人 
1159542, 27.3, 8.6, 88, 新企业的起源与演进 
4864364, 34.7, 8.3, 396, 日本最了不起的公司 
3160742, 26.9, 8.5, 89, 管理的真相 
26838116, 12.9, 7.7, 12, 家族财富保障及传承 
1074794, 27.9, 8.4, 114, 略胜一筹 
1031341, 34.7, 7.6, 909, 联想风云 
1971209, 25.2, 8.3, 77, 企业再造 
1921558, 30.2, 7.4, 477, 华为的世界 
10809142, 26.1, 8.0, 116, CEO说 
26888624, 16.8, 7.5, 29, 走出焦虑风暴 
1679080, 24.6, 8.3, 69, 关乎天下 
1273942, 21.7, 7.5, 76, 惠普之道 
4748017, 22.6, 8.5, 43, 改善 
3142118, 36.8, 7.5, 1571, 郎咸平说：公司的秘密 
3167333, 30.2, 7.8, 300, 曾经德隆 
26275075, 20.2, 7.1, 81, 从门外汉到BAT产品经理有多远 
10679155, 25.6, 8.1, 96, 源创新 
26760576, 17.1, 7.8, 25, 清教徒的礼物（罗辑思维独家定制版） 
25905229, 22.6, 8.8, 36, 竞争战略 
24720279, 18.7, 8.0, 30, 被诅咒的巨头 
3774367, 26.7, 9.0, 61, 美學企業力 
1424267, 28.4, 7.3, 368, 阿里巴巴 
26580994, 16.6, 7.6, 26, 高盛帝国（第二版） 
10484708, 23.3, 7.9, 75, 大象与跳蚤 
1805425, 22.8, 7.8, 74, 产品管理 
1063902, 26.2, 6.8, 445, 华为真相 
2122386, 21.8, 8.8, 32, 能力构筑竞争 
3142144, 27.6, 6.8, 613, 星巴克 
6779184, 25.7, 7.7, 139, 索尼的故事 
2360817, 19.4, 9.1, 19, 论生产的制度结构 
25887120, 21.9, 6.9, 144, 星巴克 
5999508, 23.8, 7.8, 90, 丰田模式 
1409275, 30.4, 7.0, 856, 蒙牛内幕 
1396394, 22.9, 8.7, 40, 创业中的陷阱 
3313327, 49.9, 8.6, 3552, 跌荡一百年（上） 
1342332, 19.9, 7.5, 54, 執行力 
5336012, 23.1, 7.3, 123, 再造卓越 
24902403, 31.2, 9.2, 106, 忙总管理笔记 
3107123, 18.5, 7.7, 35, 上海1000天 
3198694, 18.0, 7.7, 32, 铁血并购 
26603835, 16.0, 6.6, 49, 下一个倒下的会不会是华为 
1485568, 25.4, 8.2, 86, 德胜员工守则 
26668824, 15.8, 7.6, 22, 隐形冠军 
25958419, 20.2, 7.8, 45, 专利凶猛 
4713794, 17.7, 7.7, 30, 盛田昭夫（上） 
3134955, 23.7, 7.8, 87, 才经 
3734828, 24.1, 8.1, 74, eBay中国实践之启示 
3741402, 19.5, 7.6, 46, 做大私企 
3972722, 18.2, 7.5, 38, 上市公司的48大财务迷局 
2246288, 19.5, 7.2, 63, 小巨人 
1290157, 21.0, 7.7, 57, 只放一只羊 
1002310, 26.0, 6.8, 419, 走出华为 
25756203, 25.8, 8.1, 100, 底特律往事 
4062233, 25.7, 7.3, 211, 华为研发 
1313496, 22.8, 8.5, 45, 宏碁的世纪变革 
1229968, 19.4, 8.7, 23, 罗彻斯特城堡 
3423258, 21.4, 8.3, 40, 21世纪的隐形冠军 
10354428, 19.6, 7.9, 38, 鹰的重生 
2128914, 25.1, 8.4, 70, 塞氏企业传奇 
1424593, 22.9, 7.2, 131, 解构德隆 
11589946, 17.2, 7.9, 24, 势在人为 
5913086, 19.5, 6.4, 149, 给你一个公司看你怎么管？ 
3145859, 16.0, 6.6, 50, 论浑人 
4814831, 18.9, 7.9, 33, 红色华润 
1005291, 24.1, 7.6, 113, 非常营销：娃哈哈--中国成功的实战教案 
23155640, 24.5, 8.2, 73, 中国重组 
24851530, 16.3, 7.7, 23, 尚品宅配凭什么？ 
24737841, 30.9, 8.3, 207, 郎咸平说：让人头疼的热点 
1068738, 25.5, 8.0, 103, 沃森传 
1511481, 16.1, 7.7, 22, 哈佛商学院管理全书 
1960138, 15.2, 7.5, 21, 经理人制造 
6017206, 25.0, 8.5, 65, 营销时代 
3746259, 24.6, 8.3, 70, 汽车和我 
3069236, 12.7, 7.6, 12, 三井和三菱----日本资本主义与财阀 
26644449, 18.3, 7.5, 39, 牛奶咖啡管理学 
10758677, 13.7, 8.2, 11, 中国企业如何定战略 
1052642, 21.3, 6.9, 128, 紫牛 
6082434, 16.9, 7.7, 26, 西南航空模式 
2381069, 30.9, 7.5, 480, 第一团队 
4722182, 21.9, 7.1, 118, 从不竞争 
25717320, 19.2, 7.4, 50, 豪门兴衰 
3027214, 17.7, 7.3, 40, 新鲜 
1275932, 18.6, 8.2, 26, 再造宏碁 
1786651, 26.5, 8.0, 124, 我与商业领袖的合作与冲突 
3146180, 18.1, 6.8, 68, 李宁 
21318789, 20.2, 7.1, 80, 巧克力之战 
1137325, 16.5, 7.3, 31, 外企十年 
1181016, 18.8, 8.2, 27, 粤海重组实录 
5062967, 15.6, 6.6, 45, 向宝洁学什么 
1964400, 16.7, 6.9, 44, 你会问问题吗？ 
7175172, 16.7, 7.4, 30, 华为王朝 
4178324, 19.1, 7.2, 58, 平安心语 
2044286, 31.6, 7.9, 346, 中国的新革命 
6101207, 21.6, 7.7, 64, 日本最了不起的公司 2 
3885901, 16.2, 7.9, 20, 创业人生 
1311714, 19.2, 7.7, 40, ERP原理设计实施 
