Tag: 传记 

ID, Score, Rating, Votes, Title 
26657570, 45.8, 9.0, 1153, 活着为了讲述 
26699448, 36.0, 9.0, 256, When Breath Becomes Air 
26853060, 30.6, 9.3, 90, 我心深处 
26901257, 24.5, 9.5, 33, 三十年细说从头 (上下) 
6152040, 53.1, 9.1, 3108, 维特根斯坦传 
26838873, 32.8, 8.5, 235, 伍迪·艾伦谈话录 
19962936, 50.4, 8.7, 3394, 只是孩子 
26849305, 35.6, 8.9, 261, 成为乔布斯 
6798611, 62.8, 8.7, 25062, 史蒂夫·乔布斯传 
1037602, 55.5, 8.9, 5817, 别闹了，费曼先生 
20424526, 59.1, 8.9, 10251, 邓小平时代 
1083762, 58.0, 8.7, 11519, 人类的群星闪耀时 
26860776, 37.4, 8.5, 507, 鞋狗 
25883305, 45.7, 9.1, 1022, 阿拉伯的劳伦斯 
26782506, 33.3, 8.8, 197, 伊莎贝拉 
26657740, 38.7, 9.0, 385, 再度觉醒 
26120130, 38.7, 9.0, 387, 天才的编辑 
26682066, 33.1, 8.5, 250, 我的奋斗1 
1062343, 57.9, 9.2, 5702, 昨日的世界 
26840568, 34.2, 9.2, 164, 草疯长 
26759508, 41.4, 8.1, 1617, 硅谷钢铁侠 
1115353, 49.8, 8.3, 5386, 奇特的一生 
26929955, 34.5, 8.1, 475, 腾讯传 
26756140, 39.3, 9.9, 202, 行动的勇气 
1092149, 56.0, 8.7, 8389, 梵高传 
1076685, 51.0, 8.8, 3267, 李鸿章传 
1914636, 54.3, 8.4, 9997, 蛤蟆的油 
1792668, 54.9, 8.5, 9434, 苏东坡传 
1446407, 35.6, 8.7, 313, 发现的乐趣 
26262141, 39.4, 8.3, 887, 毛姆传 
26723433, 31.7, 7.6, 504, 冬日笔记 
1433346, 49.6, 8.7, 2987, 旁观者 
26905279, 21.5, 8.5, 36, 大人物的世界史 
25858095, 39.6, 8.7, 593, 我是你的男人 
4903265, 47.9, 9.1, 1422, 亲爱的提奥 
26666533, 41.4, 9.2, 481, 梵高手稿 
1448761, 45.3, 8.3, 2486, 像一块滚石 
25897707, 44.8, 9.0, 989, 沈从文的后半生 
26413154, 43.2, 9.0, 772, 李光耀观天下 
26354318, 36.1, 9.1, 239, 梵高传 
3111928, 47.4, 8.1, 4766, 安迪·沃霍尔的哲学 
10522003, 39.2, 8.3, 861, 艾伦·图灵传 
1051524, 39.3, 8.3, 880, 断头王后 
1061029, 48.3, 8.8, 2148, 杜尚访谈录 
26427244, 31.5, 8.9, 138, 我所缄默的事 
3888123, 49.2, 8.6, 3207, 写作这回事 
10598170, 49.4, 8.1, 6837, 我不要你死于一事无成 
1053174, 44.0, 8.6, 1350, 你干吗在乎别人怎么想？ 
3649661, 44.4, 8.7, 1298, 说吧，记忆 
26890735, 22.2, 9.5, 24, 帕斯捷尔纳克传（上、下） 
1191433, 39.9, 7.5, 2916, 我的前半生 
5920818, 21.9, 7.1, 117, 从20万到30亿 
2045811, 49.6, 9.0, 2066, 张国荣的时光 
5922204, 44.7, 8.3, 2238, 曾国藩的正面与侧面 
5288371, 44.4, 8.4, 1842, 蒋经国传 
26921229, 16.4, 8.3, 17, 霍华德·休斯传 
1780208, 39.0, 8.8, 488, 凯恩斯传 
1499783, 43.0, 8.3, 1661, 将心注入 
26835452, 23.8, 8.2, 65, 这就是莫奈 
26667007, 30.2, 9.2, 91, 思虑20世纪 
1485628, 46.1, 7.9, 5131, 毛泽东传 
1144865, 41.4, 9.1, 533, 见证 
19949881, 41.6, 8.8, 735, 绝非偶然 
26926618, 22.2, 9.9, 20, 史蒂夫·乔布斯传（漫画版） 
1313181, 46.6, 8.5, 2344, 富兰克林自传 
1313174, 43.5, 8.5, 1399, 荣格自传 
26695251, 29.4, 9.1, 86, 痛苦与狂喜：众神之巅 
26930200, 18.5, 9.5, 14, 孔子归来 
26918822, 28.7, 9.7, 54, 我眼中的末代皇帝（爱新觉罗•溥杰夫人口述史） 
4741216, 47.9, 7.3, 21622, 我的奋斗 
26136989, 30.9, 8.3, 206, 王阳明大传：知行合一的心学智慧（全三册） 
26804200, 25.5, 8.7, 61, 希姆莱兄弟 
6868806, 25.6, 8.3, 83, 出版人 
26310659, 33.5, 8.9, 188, 莎士比亚 
1065156, 29.3, 8.0, 206, 我生活的种种模式 
26834573, 24.1, 8.2, 68, 这就是凡·高 
5437424, 33.0, 8.0, 403, 杜月笙传（上.中.下） 
2364215, 46.1, 8.5, 2183, 此地无人生还 
