Tag: 儿童文学 

ID, Score, Rating, Votes, Title 
1007914, 67.6, 8.7, 54386, 窗边的小豆豆 
4826530, 52.4, 9.1, 2795, 我亲爱的甜橙树 
25831096, 39.7, 8.9, 493, 梦书之城 
1007952, 51.4, 9.4, 1719, 蓝熊船长的13条半命 
26832470, 33.8, 8.6, 257, 独生小孩 
1161662, 27.8, 8.1, 143, 兔子坡 
1982200, 51.6, 8.7, 4090, 爱德华的奇妙之旅 
1036274, 59.5, 8.5, 20120, 夏洛的网 
1433640, 61.8, 9.3, 8874, 猜猜我有多爱你 
2361768, 61.0, 9.3, 7909, 爷爷变成了幽灵 
1064841, 52.8, 9.0, 3352, 绿山墙的安妮 
1041128, 55.7, 8.5, 10725, 天蓝色的彼岸 
3594151, 51.6, 8.1, 10122, 柑橘与柠檬啊 
1907739, 52.9, 8.6, 5829, 当世界年纪还小的时候 
1052990, 56.5, 8.9, 6782, 草房子 
26918931, 19.3, 8.3, 28, 彼得兔 
1072319, 53.4, 8.5, 7338, 长腿叔叔 
26921701, 18.0, 8.5, 20, 岛王 
26738072, 23.4, 8.4, 53, 这就是二十四节气 
1001136, 57.6, 8.8, 9338, 彼得·潘 
4860554, 41.4, 8.6, 882, 淘气包马小跳系列 
1012189, 41.2, 8.9, 622, 柳林风声 
25745287, 28.8, 9.2, 74, 眼 
1192700, 41.4, 9.0, 587, 永远讲不完的故事 
1004088, 55.7, 9.0, 5291, 长袜子皮皮 
3608170, 48.5, 8.0, 6774, 我想吃一个小孩 
1270150, 52.7, 9.3, 2316, 风与树的歌 
1026035, 57.7, 9.1, 6265, 你看起来好像很好吃 
4049269, 53.1, 9.5, 1969, 狐狸的窗户 
5988558, 42.7, 8.3, 1579, 深夜小狗神秘事件 
3689118, 45.2, 8.3, 2427, 梦想家彼得 
1077778, 49.9, 8.1, 7361, 爱的教育 
1542939, 51.6, 9.6, 1436, 哈尔罗杰历险记(全套共14册) 
3023897, 38.0, 9.2, 291, 希腊三部曲Ⅰ 追逐阳光之岛 
1433572, 49.0, 9.2, 1508, 随风而来的玛丽阿姨 
1046209, 68.9, 9.1, 34410, 安徒生童话故事集 
10560097, 40.3, 9.3, 377, 不一样的卡梅拉（1-10册） 
4097264, 46.1, 9.0, 1198, 小兔彼得和他的朋友们（全3册） 
26328457, 29.4, 8.4, 145, 童话心理学 
5299807, 38.9, 8.6, 589, 当世界还不存在的时候 
2120339, 47.7, 8.6, 2485, 是谁嗯嗯在我的头上 
1318622, 49.4, 8.8, 2541, 青铜葵花 
1030469, 48.6, 8.2, 5071, 青鸟 
1855231, 45.8, 8.6, 1810, 银河铁道之夜 
1397331, 49.4, 8.9, 2236, 爷爷一定有办法 
2050767, 49.8, 8.6, 3532, 绿野仙踪 
26266165, 29.2, 8.7, 111, 圣诞老爸的来信 
11597314, 32.1, 8.0, 344, 我被爸爸绑架了 
1064532, 47.2, 8.5, 2604, 秘密花园（2册） 
1119839, 61.4, 9.1, 11011, 王尔德童话 
1912993, 44.2, 9.2, 728, 海蒂 
1941301, 60.2, 9.2, 8029, 365夜故事（上下） 
1008459, 46.1, 9.0, 1195, 毛毛 
4219125, 45.0, 8.3, 2328, 坟场之书 
1254588, 63.8, 8.9, 21259, 城南旧事 
1873569, 49.3, 9.3, 1414, 郑渊洁童话全集(33卷) 
1257365, 58.5, 8.9, 9320, 活了100万次的猫 
2266772, 36.9, 9.1, 270, 绿色童话 
