Tag: 励志 

ID, Score, Rating, Votes, Title 
1775691, 63.0, 8.3, 51811, 少有人走的路 
26210487, 50.2, 9.1, 1998, 强风吹拂 
26882355, 31.9, 8.3, 244, 去别处 
3609132, 60.3, 8.5, 23118, 把时间当作朋友 
26761696, 45.3, 7.8, 5159, 精进 
1048007, 56.2, 8.2, 19037, 高效能人士的七个习惯（精华版） 
26921116, 31.0, 9.8, 70, 活着就很伟大 
1056295, 57.1, 8.3, 18807, 人性的弱点全集 
26831234, 41.8, 8.7, 848, 不属于我们的世纪 
4953695, 55.6, 8.0, 24655, 拆掉思维里的墙 
3826899, 52.2, 8.6, 5179, 布鲁克林有棵树 
10786473, 55.4, 8.2, 16525, 自控力 
11622283, 63.5, 9.2, 13004, 滚蛋吧!肿瘤君 
26914640, 33.1, 9.6, 106, 你配得上更好的人生 
1033778, 56.8, 8.2, 21352, 富爸爸，穷爸爸 
1269900, 50.2, 8.2, 6669, 活法 
3688489, 48.6, 7.8, 9616, 异类 
1135734, 46.3, 8.6, 1976, 追寻生命的意义 
25917140, 39.8, 7.2, 4768, 不要让未来的你，讨厌现在的自己 
26924263, 30.5, 9.8, 65, 你就要很独特 
26362975, 35.4, 8.0, 628, 藏在这世间的美好 
3266968, 48.8, 7.3, 26288, 秘密 
26907515, 32.2, 9.7, 87, 一问一世界（青少年版） 
26900945, 29.1, 9.5, 64, 世界很小，而你刚好发光 
2008284, 58.8, 8.7, 13118, 佐贺的超级阿嬷 
10598170, 49.5, 8.1, 6839, 我不要你死于一事无成 
25870384, 44.4, 8.4, 1845, 你的生命有什么可能 
4010196, 56.3, 8.1, 23302, 世界因你不同 
1115353, 49.8, 8.3, 5387, 奇特的一生 
26656779, 35.1, 7.5, 1117, 当你的才华还撑不起你的梦想时 
25948154, 36.8, 7.7, 1186, 扛得住，世界就是你的 
26931365, 22.2, 9.3, 26, 邓文迪：女人明白要趁早 
26921601, 24.0, 8.5, 55, 人生的84000种可能 
26590267, 36.4, 7.5, 1460, 工作前5年，决定你一生的财富 
25735727, 48.8, 8.2, 5217, 站在两个世界的边缘 
2194123, 56.9, 8.4, 15403, 相约星期二 
