Tag: 台湾 

ID, Score, Rating, Votes, Title 
6388661, 66.9, 8.8, 40964, 这些人，那些事 
26916781, 31.4, 9.5, 89, 当下四重奏 
4842446, 59.9, 8.7, 15574, 巨流河 
5337248, 58.4, 8.9, 9192, 台北人 
3369793, 67.1, 8.7, 50117, 亲爱的安德烈 
4124727, 58.2, 8.1, 32542, 孤独六讲 
3995526, 69.5, 8.7, 73498, 目送 
26808364, 33.7, 8.1, 413, 四季红 
1076654, 54.7, 8.7, 6781, 孽子 
1426971, 61.8, 8.8, 18279, 野火集 
26590901, 30.1, 8.4, 163, 一百年漂泊 
4207781, 63.7, 8.8, 24597, 孩子你慢慢来 
26831788, 38.5, 8.0, 1101, 旅行与读书 
5337243, 52.9, 8.6, 5880, 纽约客 
5317075, 50.5, 7.2, 46237, 蔡康永的说话之道 
26781744, 30.8, 7.2, 699, 台北女孩看大陆 
1791664, 53.5, 8.8, 4886, 千江有水千江月 
4159088, 50.6, 7.8, 14062, 理想的下午 
4773224, 52.4, 8.3, 8425, 生活十讲 
4113090, 51.0, 7.4, 33314, 我们台湾这些年 
25762598, 40.2, 8.8, 590, 尽头 
26883163, 24.0, 8.5, 55, 好一座浮岛 
5040220, 53.7, 9.0, 3854, 蒋勋说红楼梦（第一辑） 
26662811, 32.0, 8.3, 251, 痖弦诗集 
1351678, 51.7, 9.0, 2839, 夏宇詩集／Salsa 
26657573, 32.2, 8.3, 259, 眼前 
1038476, 47.3, 8.7, 2052, 小说稗类 
26584734, 38.9, 8.4, 727, 乐之本事 
20433554, 44.4, 9.2, 752, 关山夺路 
20433556, 43.4, 8.7, 1098, 昨天的云 
25961455, 32.5, 8.4, 247, 重读 
3880832, 49.7, 8.2, 6146, 认得几个字 
5367304, 50.0, 8.3, 5514, 城邦暴力团（上） 
3662594, 49.6, 8.1, 6967, 荒人手记 
5423772, 38.8, 7.8, 1500, 西夏旅馆 
5288371, 44.4, 8.4, 1842, 蒋经国传 
2295324, 51.3, 8.6, 4485, 地下乡愁蓝调 
25764295, 43.4, 8.4, 1568, 百年好合 
1949068, 51.3, 8.4, 5985, 最好的时光 
26371292, 40.0, 8.1, 1271, 不在他方 
1958227, 57.8, 8.2, 25301, 那些年，我们一起追的女孩 
1029111, 65.8, 8.9, 28988, 哭泣的骆驼 
4208780, 48.5, 8.1, 5775, 流浪集 
11527634, 41.8, 7.7, 3080, 蒙马特遗书 
20433553, 41.8, 8.8, 764, 怒目少年 
6937888, 45.4, 8.5, 1928, 树犹如此 
1760548, 57.7, 9.2, 5526, 三毛作品集 
1291570, 43.9, 8.9, 948, 简媜散文 
1371839, 20.1, 8.0, 39, 月球姓氏 
11527635, 41.8, 8.1, 1750, 鳄鱼手记 
26813986, 25.7, 8.0, 107, 如果可以这样做农民 
2377012, 49.5, 8.6, 3352, 聆听父亲 
24875976, 40.3, 8.2, 1186, 失落的优雅 
2377014, 41.9, 8.2, 1567, 阅读的故事 
1072189, 45.8, 8.8, 1438, 百年思索 
4621342, 42.7, 7.8, 3171, 世纪末的华丽 
1066462, 65.8, 8.4, 69171, 向左走·向右走 
26738797, 34.9, 8.0, 567, 小说课（壹） 
4246151, 46.8, 8.0, 4974, 厨房里的人类学家 
25986158, 38.3, 8.3, 733, 桃花井 
3644095, 43.6, 7.9, 3185, 越读者 
19963470, 34.5, 8.0, 534, 掉伞天 
6041686, 46.2, 8.3, 2860, 父后七日 
1906681, 48.5, 8.8, 2209, 猎人们 
1361264, 70.7, 9.0, 53335, 撒哈拉的故事 
26293322, 32.2, 8.4, 235, 杨牧诗选 1956-2013 
3911404, 35.0, 8.5, 344, 一把青 
1372679, 35.7, 9.1, 222, 如夢之夢 
