Tag: 外国名著 

ID, Score, Rating, Votes, Title 
1068920, 76.2, 9.3, 73176, 飘（上下） 
1085860, 69.0, 8.9, 48345, 基督山伯爵 
1083428, 71.1, 8.8, 80150, 傲慢与偏见 
2154960, 65.5, 8.7, 38516, 一个陌生女人的来信 
1141406, 69.2, 8.5, 101520, 简爱 
1205054, 65.0, 8.9, 25713, 悲惨世界（上中下） 
1119522, 64.3, 8.4, 54293, 呼啸山庄 
1064275, 62.8, 8.3, 50177, 老人与海 
1007433, 56.4, 8.1, 23514, 红与黑 
1051193, 62.6, 8.6, 28438, 麦琪的礼物 
1007772, 53.9, 8.2, 12711, 双城记 
1024197, 61.3, 8.3, 39165, 巴黎圣母院 
1013380, 60.0, 8.1, 45017, 茶花女 
1205370, 59.5, 8.1, 40899, 羊脂球 
1010472, 52.5, 8.4, 7302, 安娜·卡列尼娜（上下） 
1013469, 51.2, 8.6, 4419, 战争与和平（全四册） 
1083477, 49.9, 7.8, 12203, 包法利夫人 
1005918, 51.5, 7.9, 13973, 堂吉诃德 
1174721, 45.6, 8.4, 2275, 丧钟为谁而鸣 
1255288, 52.5, 8.0, 13947, 复活 
2174410, 42.3, 8.2, 1659, 名利场 
1014144, 47.9, 8.3, 3881, 大卫·科波菲尔（上下） 
1006197, 56.8, 8.4, 15253, 哈姆莱特 
1051714, 47.8, 8.2, 4411, 等待戈多 
2364762, 41.0, 8.7, 743, 唐璜（上下册） 
1012637, 53.6, 8.2, 12219, 牛虻 
1427288, 54.8, 8.4, 10811, 小妇人 
1254731, 55.6, 8.8, 6855, 欧·亨利短篇小说选 
1013502, 54.0, 7.6, 39351, 钢铁是怎样炼成的 
1011228, 46.3, 8.3, 2948, 远大前程 
1203251, 54.0, 8.1, 15457, 雾都孤儿 
1035848, 58.9, 8.6, 15696, 一千零一夜 
1279212, 43.5, 7.5, 6007, 十日谈 
1430530, 48.6, 8.2, 5086, 汤姆叔叔的小屋 
26745030, 38.1, 8.8, 426, 陌生女人的来信 
1035478, 46.8, 8.6, 2142, 静静的顿河（全四册） 
1885262, 45.1, 8.6, 1619, 笑面人 
1085021, 50.2, 8.2, 6680, 蝴蝶梦 
1203244, 51.6, 8.2, 8562, 三个火枪手 
1035477, 48.8, 7.8, 9970, 德伯家的苔丝 
1016003, 58.4, 8.0, 40849, 鲁滨逊漂流记 
1186350, 46.2, 7.8, 6124, 红字 
24935031, 38.9, 9.3, 303, 战争与和平 
1258498, 56.9, 8.3, 18210, 项链 
1034922, 49.8, 8.9, 2398, 莎士比亚喜剧悲剧集 
1373788, 40.3, 8.2, 1180, 玩偶之家 
1066217, 32.6, 7.8, 467, 坎特伯雷故事 
1119528, 49.1, 7.9, 8858, 高老头 
1098639, 39.6, 8.3, 916, 纯真年代 
1000856, 49.1, 7.9, 8899, 我是猫 
1031741, 53.4, 7.8, 23696, 欧也妮·葛朗台 
1012117, 45.9, 8.2, 3142, 仲夏夜之梦 
1049957, 50.9, 8.6, 4225, 浮士德 
1093098, 43.4, 7.8, 3578, 爱玛 
1201947, 41.0, 8.1, 1521, 哈克贝里·费恩历险记 
2161691, 49.0, 8.3, 4650, 伊索寓言 
1034106, 49.4, 8.1, 6782, 威尼斯商人 
1168737, 34.8, 8.4, 365, 妇女乐园 
1152701, 46.7, 7.7, 7931, 漂亮朋友 
1186392, 56.3, 8.7, 8777, 约翰·克利斯朵夫 
1009285, 46.5, 7.6, 9133, 童年 
1130069, 35.4, 8.0, 624, 巨人传 
1082147, 49.9, 9.0, 2147, 热爱生命 
1397467, 45.5, 7.9, 4551, 理智与情感 
1035475, 39.8, 8.2, 1077, 好兵帅克历险记 
1185636, 35.5, 7.4, 1406, 娜娜 
1010898, 46.1, 7.6, 8378, 格列佛游记 
1883353, 55.1, 8.8, 6312, 野性的呼唤 
1022632, 55.3, 8.7, 7465, 罪与罚 
1047138, 51.2, 7.7, 18971, 少年维特的烦恼 
