Tag: 建筑 

ID, Score, Rating, Votes, Title 
26848051, 41.6, 8.8, 735, 造房子 
4082434, 46.4, 9.3, 922, 穿墙透壁 
1009270, 48.9, 8.8, 2365, 中国建筑史 
5408858, 49.9, 8.9, 2444, 建筑家安藤忠雄 
26697311, 32.5, 8.4, 248, 重新发现日本 
1319910, 50.5, 9.2, 1871, 华夏意匠 
3389460, 40.1, 8.9, 530, 空间的诗学 
1070711, 54.3, 8.7, 6377, 城记 
1850710, 47.5, 8.6, 2393, 街道的美学 
1507170, 46.9, 9.0, 1357, 外部空间设计 
1266269, 38.1, 8.1, 899, 建筑十书 
2247913, 46.0, 9.2, 959, 建构文化研究 
2382994, 44.2, 8.0, 3106, 负建筑 
1436276, 49.2, 8.7, 2799, 建筑：形式、空间和秩序 
3908344, 39.0, 9.0, 405, 图像中国建筑史 
1394534, 47.1, 9.2, 1131, 勒·柯布西耶全集 
1793535, 44.7, 8.6, 1517, 不只中国木建筑 
1393903, 48.5, 8.7, 2486, 交往与空间 
3449304, 37.6, 8.5, 529, 哈佛大学建筑系的八堂课 
1257325, 46.0, 8.2, 3213, 安藤忠雄论建筑 
1637486, 45.6, 8.1, 3461, 建筑师的20岁 
1124895, 43.6, 9.0, 819, 中国古代建筑史 
1444563, 38.1, 8.9, 383, Delirious New York 
1041650, 45.2, 8.7, 1474, 现代建筑 
1578504, 46.6, 8.7, 1824, 建筑学教程：设计原理 
1912129, 34.9, 9.0, 215, 营造法式 
2036993, 45.4, 8.1, 3314, 幸福的建筑 
6905341, 38.2, 9.1, 328, 贝聿铭全集 
1177968, 38.0, 8.5, 567, 建筑的永恒之道 
2260454, 40.9, 9.1, 491, 建构建筑手册 
1052178, 44.3, 8.5, 1602, 走向新建筑 
26936071, 22.8, 8.4, 48, 营造天书 
6889351, 37.7, 8.7, 436, 建筑的诗学 
20389595, 37.3, 9.4, 223, 间隔的秩序与事物的区分 
2363716, 45.5, 8.5, 1970, 破土 
26681392, 32.0, 8.1, 303, 去山里盖座小屋吧 
1157145, 37.5, 8.7, 423, 建筑模式语言（上下） 
1051370, 44.2, 8.2, 2319, 中国古建筑二十讲 
4100551, 47.1, 8.6, 2257, 建筑师成长记录 
5290498, 41.8, 8.6, 951, 自然的建筑 
1114862, 41.0, 9.4, 378, 江南园林志 
20561931, 36.2, 8.2, 577, 恋爱中的建筑 
2381804, 43.8, 8.5, 1485, 透明性 
19977973, 27.7, 8.8, 81, 空间·时间·建筑 
26818027, 21.9, 8.4, 41, 日本名所解剖书 
20267534, 17.6, 8.6, 18, 走进建筑 走进建筑史 
3730043, 41.0, 9.2, 456, 北京古建筑地图（上册） 
1492433, 38.9, 8.1, 1039, 建筑的复杂性与矛盾性 
6394943, 28.6, 9.0, 81, 西方建筑史 
4214537, 40.7, 8.8, 644, 思考建筑 
5275474, 38.3, 8.2, 831, 反造型 
1048014, 43.3, 8.5, 1365, 外国古建筑二十讲 
3054127, 40.4, 7.7, 2382, 十宅论 
3215829, 36.3, 8.3, 520, 住宅读本 
3933045, 38.7, 8.7, 510, 旅途上的建筑 
25806352, 34.5, 8.3, 385, 梁思成与他的时代 
3410829, 45.1, 8.6, 1614, 给青年建筑师的信 
3565628, 38.2, 9.1, 326, 大紫禁城 
1905122, 36.9, 8.4, 519, 城市建筑学 
22404951, 35.4, 9.0, 231, 建筑：篠原一男 
3835810, 39.0, 8.6, 595, 建筑氛围 
3094355, 42.4, 8.9, 753, 异规 
3624464, 39.5, 9.4, 306, 図解アトリエ・ワン 
26866570, 14.4, 7.8, 15, 你的建筑有多重？ 
10550784, 36.6, 9.2, 235, “匀质”的秩序与“清晰的建造” 
1661655, 25.5, 8.9, 54, 山西古建筑通览 
1496384, 42.4, 8.2, 1694, 图解思考 
1496360, 43.6, 8.1, 2400, 建筑空间组合论 
26360790, 31.8, 8.5, 202, 万神殿堂 
20495120, 33.9, 8.5, 286, 上海邬达克建筑地图 
2655389, 31.5, 9.5, 90, Structure as Space 
2972597, 41.1, 8.4, 1053, 路易斯.I.康的空间构成 
