Tag: 张小娴 

ID, Score, Rating, Votes, Title 
26864773, 34.3, 8.9, 213, 任你行 
26901257, 24.7, 9.5, 34, 三十年细说从头 (上下) 
25897884, 30.1, 9.0, 103, 13．67 
26870405, 30.9, 7.9, 306, 龙头凤尾 
3642673, 55.3, 8.0, 23091, 我执 
1458164, 52.0, 8.3, 7877, 她是女子，我也是女子 
26787813, 32.1, 8.4, 232, 纸上染了蓝 
1018577, 61.0, 8.9, 13753, 霸王别姬 青蛇 
1316606, 49.2, 8.6, 3162, 無愛紀 
3344676, 58.4, 8.1, 34115, 常识 
1358404, 32.3, 7.5, 639, 穿KENZO的女人 
26303995, 30.3, 8.5, 155, 飞毡 
1261153, 54.8, 8.4, 10754, 青蛇 
3311009, 47.6, 7.2, 24885, 原来你非不快乐 
26591565, 32.5, 8.1, 331, 香港重庆大厦 
2287123, 44.5, 8.3, 2155, 時裝時刻 
5289756, 51.0, 7.9, 12685, 爱的地下教育 
2022979, 59.5, 8.1, 41159, 喜宝 
6527141, 44.6, 8.2, 2518, 停车暂借问 
2230208, 53.5, 8.1, 13982, 我的前半生 
11505930, 32.4, 7.3, 847, 杀鹌鹑的少女 
4154985, 41.0, 8.2, 1328, 天工开物·栩栩如真 
3521168, 39.2, 7.0, 6083, 谢谢你离开我 
22993177, 26.6, 9.3, 50, Reminiscence―李麗珍(ロレッタ・リー)写真集 
2282081, 43.5, 8.0, 2725, 香港味道1 
1045247, 51.9, 7.7, 21426, 面包树上的女人 
6392678, 39.4, 7.5, 2637, 想念 
6127284, 36.7, 8.5, 452, 酒徒 
1370750, 46.6, 8.6, 2076, 突然我記起你的臉 
6002887, 38.4, 7.5, 2149, 突然十年便过去 
3410812, 41.5, 7.4, 4775, 死在这里也不错 
1867095, 34.1, 8.8, 224, 粵語（香港話）教程 
26552069, 28.5, 9.5, 59, 黑暗之城 
4861485, 38.2, 7.2, 3400, 就算天空再深 
1394855, 36.5, 7.8, 974, 王家卫的映画世界 
4215678, 38.6, 7.9, 1272, 我城 
6048071, 42.9, 8.6, 1132, 七声 
3864464, 35.8, 8.3, 479, 我愛過，所以我活過 
3621252, 44.5, 7.4, 8817, 曾经 
1021914, 39.6, 8.2, 1032, 香港电影的秘密 
1831760, 38.4, 8.0, 1085, 弱水三千 
5276620, 41.1, 7.8, 2337, 什么都没有发生 
24855510, 28.6, 9.0, 82, 香港簡史 
26714703, 26.9, 7.2, 308, 我们香港这些年 
3866002, 40.6, 7.2, 5703, 我所爱的香港 
4841303, 41.6, 7.6, 3464, 人情·世故 
1367220, 26.9, 8.4, 96, 像我這樣的一個讀者 
4031698, 46.3, 7.8, 6231, 读者 
2974903, 44.0, 8.1, 2562, 香港味道2 
1316612, 39.0, 8.6, 600, 我們如此很好 
24706897, 32.3, 7.4, 723, 我这一代香港人 
6556296, 38.7, 8.3, 797, 亚洲教父 
26590273, 28.5, 7.8, 215, 你会想念你自己吗 
6904615, 35.8, 7.0, 2857, 再不相爱就软了 
1705507, 48.3, 8.0, 6473, 胭脂扣 
1461583, 51.1, 9.3, 1837, 火鳳燎原 1 
1731521, 46.5, 8.2, 3477, 生死桥 
4736082, 39.2, 7.9, 1430, 像我这样的一个女子 
1919723, 39.4, 8.4, 798, 龍應台的香港筆記 @ 沙灣徑25號 
22015881, 31.5, 7.4, 616, 7749 
6100990, 41.7, 7.7, 3028, 访问 
1032581, 50.8, 8.4, 5521, 胭脂扣 生死桥 
26593037, 31.5, 7.9, 341, 苏丝黄的世界 
21354012, 24.1, 8.9, 43, 何藩 昨日香港 
25923364, 31.7, 8.7, 166, 微喜重行 
4218689, 37.0, 8.2, 664, 哀悼乳房 
1316605, 39.7, 8.7, 603, 温柔与暴烈 
3776157, 45.6, 7.8, 5410, 破事儿 
3053868, 48.8, 7.9, 8391, 永不永不说再见 
1316607, 43.0, 8.5, 1300, 媚行者 
5910921, 31.4, 6.8, 1501, 坦白说，亲爱的 
26713941, 21.9, 8.6, 36, 瑪嘉烈與大衛的綠豆 Margaret and David - Green Bean 
3322406, 36.3, 8.7, 351, 中文解毒 
1473957, 29.3, 7.9, 226, 慢慢快活 
1471809, 41.7, 7.7, 3060, 饺子 
7051393, 36.3, 7.6, 1233, 俗 
3035733, 34.8, 8.3, 405, 蜂蜜綠茶 
1453084, 29.1, 8.1, 182, 潮骚 
3103858, 40.0, 9.4, 330, 粉末都市 
1766119, 34.9, 8.7, 279, 银河映像·难以想像 
4309094, 36.6, 8.3, 552, 体育时期 
6097374, 32.9, 8.1, 355, 橄欖香 
25747192, 31.4, 7.7, 421, 原谅我一生不羁放纵爱自由 
19967508, 29.1, 6.7, 1011, 我开始轻视语言 
2045811, 49.6, 9.0, 2067, 张国荣的时光 
2284090, 46.3, 7.5, 10430, 开到荼蘼 
21965475, 31.9, 7.1, 1023, 爱上几个人渣 
1316614, 39.6, 8.7, 598, 七種靜默 
3574418, 44.0, 8.7, 1212, 张国荣：禁色的蝴蝶 
14449069, 34.9, 8.0, 565, 春在绿芜中 
3866325, 40.2, 9.5, 311, 宇宙不安學會暨門小雷繪圖筆記本 
2115040, 50.8, 8.0, 10321, 玫瑰的故事 
1030153, 46.9, 7.5, 11954, 她比烟花寂寞 
6441134, 25.3, 7.9, 109, 地圖集 
3314380, 30.8, 8.8, 132, 相遇 
5253517, 35.5, 8.1, 570, 大逃港 
4273408, 28.8, 7.8, 229, 一段愛情，兩個人成長 
26779398, 20.8, 9.7, 18, WKW 
2981577, 26.6, 9.1, 56, 南海十三郎 
5913963, 32.8, 8.4, 261, 香港电影百年 
25839405, 20.5, 8.1, 39, 四分之三的香港 
1028780, 47.5, 7.6, 11042, 三个A Cup的女人 
11538656, 34.4, 8.8, 237, 烈佬傳 
25921542, 20.0, 8.5, 28, 瑪嘉烈與大衛的蒼蠅 
3429859, 38.0, 8.7, 462, 哀歌 
1122285, 30.7, 8.3, 199, 李碧华经典作品集 
1353741, 41.0, 8.5, 923, 十二女色 
3105410, 34.0, 8.8, 221, 房間 
1775629, 32.7, 9.3, 123, City of Darkness 
1371801, 42.1, 8.6, 989, 七宗罪 
1009931, 43.4, 7.7, 4182, 潘金莲之前世今生 诱僧 
3289827, 35.0, 7.4, 1267, 关于岁月的隐秘情事 
1779729, 22.0, 8.9, 31, 邵氏电影初探 
1353132, 42.1, 8.6, 991, 沉默。暗啞。微小。 
3081237, 15.8, 7.6, 22, 三級片導演手記（上）（下） 
1058098, 32.8, 8.0, 386, 张小娴作品集 
26315320, 22.5, 8.4, 45, 灰鸽试飞 
25856219, 21.4, 7.9, 53, 瑪嘉烈與大衛的最初 
5245585, 33.0, 7.9, 451, 词家有道 
6314053, 36.2, 7.5, 1382, 毫无代价唱最幸福的歌 
26834749, 17.2, 8.7, 16, 香港三年 
1849808, 30.9, 7.8, 339, 似是故人来 
1358395, 34.8, 9.2, 181, 杜可風春光乍洩攝影手記 
2320804, 28.6, 8.1, 166, 香港地产业百年 
3268790, 27.3, 8.9, 71, 倪匡短篇 
1080152, 40.8, 8.1, 1470, 樱桃青衣 
10455864, 35.0, 7.3, 1454, 知情识趣 
20493910, 23.6, 8.6, 48, 一代宗師 (限量典藏版) 
26840846, 12.4, 7.9, 10, 王實味 
3854484, 45.8, 8.8, 1435, 这是爱 
1874418, 38.6, 7.9, 1279, 奇幻夜 
2076588, 29.0, 8.1, 177, 香港史 
6759066, 31.9, 7.4, 676, 生于天桥底 
3033673, 36.7, 7.5, 1532, 爱恋无声 
26752665, 21.2, 6.4, 228, 一些无可厚非的小事 
6965468, 35.5, 8.1, 567, 香港有个荷里活 
1048177, 35.0, 8.0, 584, 董桥散文 
3918036, 37.9, 7.7, 1458, 日月 
3045175, 45.1, 8.0, 3652, 爱上了你 
4892882, 30.6, 7.5, 459, 许鞍华说许鞍华 
24743163, 33.7, 7.3, 1111, 世界将我包围 
6784859, 47.1, 9.3, 1018, KYLOOE·忧郁的蜻蜓 
4742948, 34.5, 8.4, 346, 缝熊志 
10569797, 27.1, 8.1, 127, 争气 
1370264, 34.5, 8.4, 349, 對倒 
3858961, 32.4, 7.3, 858, 蔡澜眼中的八婆与美女 
1863619, 46.4, 9.3, 918, 与他共度61世 
4230583, 34.9, 9.3, 170, 《There&#39;s a dark dark wood inside my head》 
4908970, 32.1, 7.4, 693, 风格练习 
1316608, 36.4, 8.7, 357, 烈女圖 
6727861, 24.5, 8.2, 74, 7749：四十九個我試過／聽過／想過的創作練習 
11516400, 25.5, 8.9, 54, 消費森林×品牌再生 
1361268, 45.4, 8.2, 2877, 朝花夕拾 
6744661, 34.3, 8.2, 411, 末日酒店 
6308142, 26.5, 7.4, 224, 穿Kenzo的女人 
26359540, 17.2, 7.9, 24, 瑪嘉烈與大衛的前度 
3888039, 36.8, 8.7, 376, 中國字體設計人：一字一生 
10345192, 22.2, 7.8, 66, 女人就是女人 
3056628, 24.3, 8.4, 61, 香港企业购并经典 
10554294, 32.5, 8.4, 247, 英华沉浮录 1 
1393907, 34.8, 8.6, 298, 揚眉女子 
2150352, 35.6, 8.1, 572, 路漫漫 
3033671, 36.5, 7.5, 1476, 江湖有事 
6727862, 20.6, 8.5, 31, 後九七香港粵語流行歌詞研究 
6847831, 20.5, 8.8, 26, 鄉土香港 
2301075, 31.0, 9.1, 109, 灰掐 
4011283, 32.2, 7.8, 434, 中国香港 
10354912, 27.1, 6.9, 473, 吹绉一池春水 
1772173, 35.6, 7.4, 1444, 诱僧 
26832527, 25.0, 8.7, 56, 小王子的領悟 
26273350, 15.9, 8.1, 17, 何藩 香港回忆录 
3920235, 34.0, 7.4, 1036, 等待香港 
1057601, 44.2, 7.8, 4193, 半饱 
5261729, 37.9, 7.7, 1476, 志明与春娇 
2137153, 30.6, 8.0, 262, 四代香港人 
3003579, 30.9, 7.3, 619, 蔡澜品女人 
1006418, 45.9, 8.8, 1467, 老夫子 
2150811, 32.6, 7.8, 468, 你總有愛我的一天 
1639470, 25.1, 8.6, 61, 回顾香港电影三十年 
3156483, 28.0, 8.9, 79, 董桥文集① 
1081604, 41.5, 7.8, 2494, 秦俑 满洲国妖艳——川岛芳子 
25753961, 22.4, 6.7, 205, 假如我们什么都不怕 
1064880, 45.7, 9.2, 917, 麦兜·微小小说 
4760262, 32.8, 7.6, 627, 香港电影演义 
6523973, 31.1, 7.6, 447, 衣锦夜行 
26595343, 23.0, 7.4, 109, 江湖老友 
24852749, 28.5, 7.7, 238, 浣熊 
1499500, 26.2, 9.2, 50, 张彻 
10426643, 24.2, 6.9, 246, 我看见的你是我自己 
2072908, 27.6, 8.4, 108, Y 
1818537, 23.9, 8.1, 72, 寫在家國以外 
20396039, 28.4, 8.6, 105, 武侠大宗师：张彻 
6742738, 28.9, 8.8, 98, 剩食 
4014185, 31.2, 8.8, 141, 執正中文 
1364800, 23.7, 9.4, 31, 費穆 
10544201, 19.8, 8.2, 32, 六七暴動 
1829846, 41.2, 9.2, 465, 偽科學鑑證1 
1416888, 23.7, 8.2, 64, 也斯的香港 
11505929, 27.6, 7.0, 466, 洗手间里的主权 
5910922, 29.8, 7.3, 496, 狐狸尾巴 
20499673, 39.9, 7.9, 1622, 味道·人民公社 
1011882, 41.7, 7.6, 3586, 两个人住 
24318959, 21.9, 7.2, 106, 交加街38号 
3881360, 37.2, 9.0, 306, L.I.F.E. 
7051701, 30.0, 8.3, 175, 野蛮夜歌 
5984003, 29.1, 7.1, 555, 暧昧的瞬间 
3439437, 44.5, 7.7, 5175, 阿修罗 
5984020, 32.2, 7.4, 713, 温柔的路途 
1321820, 41.3, 8.4, 1090, 烟花三月 
4280962, 24.5, 8.7, 52, 站錯邊 
3826621, 24.7, 9.3, 38, 我們·你們·他們三書完整套裝 
1352335, 22.1, 8.1, 52, 小城無故事 
25917090, 20.8, 8.5, 32, 城境 -- 香港建筑1946-2011 
1025176, 42.9, 7.6, 4492, 设计私生活 
6813397, 28.3, 7.0, 538, 香港制造 
6894203, 30.0, 7.5, 402, 大胆爱 
1466389, 41.6, 8.1, 1696, 我的我的天 
4101761, 25.8, 9.2, 47, 雷聲與蟬鳴 
1349822, 36.1, 9.8, 141, 張國榮的電影世界 1 
2070128, 41.3, 9.2, 474, 偽科學鑑證2之殺出香港 
1361266, 34.7, 7.5, 1026, 川島芳子 
3540982, 24.1, 7.8, 94, 後殖民食物與愛情 
10456975, 31.8, 8.4, 221, 刀下留人 
1002895, 30.2, 7.5, 416, 亦舒作品集(共60册) 
6791661, 29.7, 7.8, 271, 戏剧浮生 
2063988, 29.4, 8.7, 115, 時間繁史‧啞瓷之光（上） 
2060432, 39.2, 7.1, 5071, 红颜露水 
