Tag: 思想 

ID, Score, Rating, Votes, Title 
1054685, 68.3, 9.0, 36546, 沉默的大多数 
26826605, 34.1, 9.3, 151, 加缪手记 
1003479, 65.7, 9.1, 21175, 中国历代政治得失 
5375620, 58.7, 8.8, 11215, 失控 
26692468, 41.7, 8.6, 933, 智识分子 
1767945, 63.7, 8.8, 24718, 一只特立独行的猪 
2143904, 49.6, 8.9, 2335, 进化心理学 
1014578, 63.4, 9.0, 17228, 我的精神家园 
1012307, 52.8, 9.1, 3003, 规训与惩罚 
1068912, 46.8, 8.6, 2132, 中国文化的深层结构 
1004699, 53.7, 8.9, 4440, 作为意志和表象的世界 
1036541, 51.5, 8.7, 4075, 疯癫与文明 
25978763, 43.0, 8.9, 832, 僧侣与哲学家 
14439405, 40.8, 8.9, 583, 哲学的故事 
1963912, 59.3, 8.8, 12240, 正见 
1015748, 48.1, 8.9, 1842, 开放社会及其敌人（全二卷） 
2025235, 50.2, 9.1, 2020, 顾准文集 
1400195, 49.6, 8.7, 2981, 论自由 
1269900, 50.2, 8.2, 6669, 活法 
1005193, 51.5, 8.6, 4665, 重新认识你自己 
1012032, 54.3, 8.6, 7376, 查拉图斯特拉如是说 
1021273, 57.8, 8.8, 9708, 中国哲学简史 
1084435, 43.8, 8.5, 1472, 策略思维 
1426971, 61.8, 8.8, 18278, 野火集 
1905742, 46.0, 8.8, 1472, 金枝（上下册） 
1045716, 52.7, 8.7, 4876, 人生中不可不想的事 
1418180, 57.9, 8.9, 8527, 思维的乐趣 
1787729, 42.6, 8.4, 1375, 单向度的人 
1460340, 49.3, 8.9, 2205, 人性的，太人性的 
1058131, 44.6, 8.4, 1925, 金融炼金术 
1033248, 49.9, 8.9, 2423, 幸福之路 
2212371, 52.1, 9.0, 3022, 先知 
3055719, 48.4, 8.7, 2472, 经济学的思维方式（第11版） 
1017238, 51.4, 8.8, 3500, 美学散步 
1964774, 57.5, 9.0, 6902, 论语 
3431988, 44.2, 9.1, 812, 人的境况 
1995655, 41.5, 9.2, 493, 演员自我修养(第一部) 
26363926, 36.6, 8.6, 402, 何为良好生活 
3025921, 45.2, 7.7, 5917, 黑天鹅 
1030898, 45.9, 8.8, 1454, 复杂 
1491719, 28.5, 8.3, 136, 论红楼梦 
1022318, 46.4, 8.7, 1776, 爱弥儿 
1762869, 57.7, 8.9, 8203, 如彗星划过夜空 
6558202, 46.3, 9.0, 1240, 容忍与自由 
4773224, 52.4, 8.3, 8422, 生活十讲 
1002690, 50.7, 8.8, 3107, 陈寅恪的最后20年 
1203421, 42.2, 9.3, 497, 王阳明全集（全二册） 
26867512, 23.9, 8.9, 42, Homo Deus 
3006742, 38.7, 8.5, 636, 改变 
1139360, 49.7, 9.1, 1877, 毛泽东选集 第一卷 
1010204, 49.3, 8.5, 3706, 宽容 
1016864, 45.8, 8.9, 1284, 士与中国文化 
26390229, 41.9, 8.0, 2048, 把生命浪费在美好的事物上 
1041452, 44.3, 8.4, 1823, 存在与虚无 
4002701, 51.8, 8.4, 6519, 朱镕基答记者问 
2032141, 49.5, 8.9, 2284, 陈寅恪魏晋南北朝史讲演录 
26737694, 33.1, 8.0, 408, 西风东土 
1039258, 39.3, 8.8, 514, 西方政治思想史 
26828226, 25.8, 9.1, 50, 加缪手记：第二卷 
1015375, 47.7, 8.7, 2207, 现代化的陷阱 
5336008, 37.5, 8.3, 640, 瞬变 
26769136, 28.4, 8.7, 97, 为什么长大？ 
7057936, 39.8, 8.4, 847, 批判性思维 
1024785, 43.3, 9.1, 712, 西方现代思想史 
1608873, 46.1, 9.2, 968, 山海經 
1049136, 45.0, 8.6, 1595, 数学：确定性的丧失 
1475128, 34.8, 8.8, 251, 人的潜能和价值 
25867785, 34.5, 8.8, 239, 正义之心 
10877051, 45.7, 9.0, 1123, 顾城哲思录 
3260902, 43.6, 8.8, 1012, 智慧书 
17153313, 36.6, 8.9, 303, 哲学导论 
26828229, 24.9, 9.4, 37, 加缪手记：第三卷 
25928708, 42.2, 8.6, 1004, 佛祖都说了些什么? 
5922204, 44.7, 8.3, 2238, 曾国藩的正面与侧面 
2980795, 43.2, 7.7, 4045, 内向者优势 
1657455, 46.3, 8.6, 1973, 论人类不平等的起源和基础 
1311280, 51.2, 9.0, 2616, 灵魂的事 
26905389, 35.4, 8.5, 365, 人生所有经过的路，都是必经之路 
3116096, 41.7, 8.4, 1168, 象与骑象人 
26136989, 30.9, 8.3, 206, 王阳明大传：知行合一的心学智慧（全三册） 
25742296, 33.4, 8.1, 387, 有限与无限的游戏 
1079104, 49.1, 8.6, 3153, 尼采：在世纪的转折点上 
1907199, 53.0, 8.6, 5969, 扫起落叶好过冬 
1873802, 35.3, 9.2, 193, 人的行為 
1077688, 34.9, 9.0, 214, 逻辑新引・怎样判别是非 
1005813, 43.9, 9.0, 855, 自由秩序原理 
1456524, 44.5, 7.9, 3819, 这个世界会好吗 
3662234, 35.4, 8.6, 334, 日本的思想 
1027030, 43.1, 8.4, 1497, 常识 
1016930, 45.1, 9.0, 1039, 论法的精神（上） 
2209227, 43.6, 8.3, 1839, 一个孤独漫步者的遐想 
10779604, 36.6, 8.8, 334, 图灵的秘密 
1829799, 49.1, 8.7, 2740, 爱的觉醒 
20475794, 41.4, 8.1, 1620, 身体知道答案 
1465543, 46.1, 8.8, 1518, 异端的权利 
1072189, 45.8, 8.8, 1438, 百年思索 
1254278, 43.6, 8.7, 1129, 思想录 
3795033, 38.4, 9.0, 367, 数学天书中的证明 
20273773, 38.0, 8.2, 789, 人生的意义 
6100919, 43.0, 9.1, 679, 治史三书 
3788399, 35.5, 9.7, 138, 复分析 
1051919, 48.9, 9.3, 1327, 庄子今注今译（全三册） 
1918220, 39.2, 8.4, 769, 性与性格 
6720539, 37.8, 8.3, 678, 断层线 
1828292, 38.0, 8.6, 509, 黑暗时代的人们 
3391717, 44.5, 8.1, 2837, 中国好人 
3823020, 36.7, 8.8, 337, 性、生态、灵性 
1315260, 33.5, 8.7, 222, 时代的精神状况 
