Tag: 推理 

ID, Score, Rating, Votes, Title 
3006581, 66.1, 8.9, 30634, 无人生还 
26892080, 42.1, 9.0, 647, 猎豹 
5038409, 59.1, 9.0, 8914, 金色梦乡 
3259440, 79.6, 9.1, 172632, 白夜行 
26923390, 37.6, 9.0, 323, 长夜难明 
26356515, 42.5, 8.2, 1724, S. 
26729776, 45.2, 8.2, 2782, 雪人 
3211779, 74.8, 8.9, 118994, 嫌疑人X的献身 
26797395, 34.8, 8.2, 449, 夏日启示录 
1827374, 67.5, 9.0, 32406, 东方快车谋杀案 
3646172, 64.8, 8.4, 58557, 恶意 
3836566, 51.4, 8.5, 5236, 玫瑰的名字 
1040211, 72.1, 9.2, 46836, 福尔摩斯探案全集（上中下） 
25897884, 30.1, 9.0, 103, 13．67 
5269222, 50.7, 8.5, 4694, 一朵桔梗花 
26265745, 46.1, 8.2, 3233, 清明上河图密码 
26928435, 19.2, 7.9, 35, 语言的第七功能 
26760976, 39.7, 8.4, 843, 怒 
4098259, 25.2, 7.1, 240, 嬗变 
26746839, 39.3, 8.5, 695, 清明上河图密码3 
4074636, 56.5, 7.6, 65281, 放学后 
3920130, 58.1, 8.6, 13630, 告白 
3013903, 50.2, 8.1, 7838, 漫长的告别 
26662757, 24.8, 8.7, 55, 六桩不可能犯罪 
2297697, 61.3, 8.6, 23142, ZOO 
3187737, 58.0, 8.4, 18652, 占星术杀人魔法 
26871657, 34.4, 7.7, 748, 第十三天 
1807516, 61.5, 8.9, 14869, 罗杰疑案 
1818347, 60.4, 8.7, 17014, 尼罗河上的惨案 
3347997, 54.9, 8.5, 9443, X的悲剧 
25732311, 38.2, 9.0, 355, 64 
6746289, 55.1, 8.4, 11464, 新参者 
26854188, 23.3, 8.3, 56, 罪恶生涯 
26118072, 47.0, 7.7, 8378, 祈祷落幕时 
3112726, 51.9, 8.5, 5751, 希腊棺材之谜 
3026875, 48.0, 8.7, 2318, 幕后凶手 
3683898, 44.9, 7.5, 7897, 向日葵不开的夏天 
4009552, 53.4, 7.6, 34945, 幻夜 
3140801, 54.0, 8.1, 15477, 姑获鸟之夏 
26367367, 41.6, 8.6, 910, 宵待草夜情 
26911453, 28.1, 9.2, 66, 惩罚者 
26902564, 15.1, 8.8, 11, 岁月有张凶手的脸 
6249670, 50.2, 8.8, 2872, 首无·作祟之物 
26811407, 35.9, 7.9, 771, 殉罪者 
3286829, 45.8, 8.0, 4127, 脑髓地狱 
26638267, 34.9, 8.4, 369, 变调二人羽织 
25954353, 38.7, 7.6, 1956, 所罗门的伪证 
26874773, 25.0, 8.4, 69, 黑夜的空白 
26733712, 22.3, 8.3, 47, 湖上幽灵 
4038615, 45.2, 9.3, 776, 阿加莎·克里斯蒂侦探推理“波洛”系列（全32册） 
26367370, 30.1, 8.2, 197, 那时没有王，各人任意而行 
3162513, 55.2, 8.5, 9928, 魍魉之匣（上） 
3879026, 49.8, 8.2, 6274, 死亡通知单 
26757433, 29.1, 7.4, 377, 来信勿拆 
1040771, 66.8, 8.2, 123220, 达·芬奇密码 
26413027, 47.2, 7.5, 12639, 虚无的十字架 
4140380, 47.5, 8.7, 2126, 第七重解答 
26742634, 29.9, 8.1, 207, 白昼的死角 
10580802, 46.0, 8.2, 3225, 模仿犯BOOK1 
26284304, 46.1, 8.1, 3749, 簪中录 
5326849, 45.9, 8.1, 3659, 奥杜邦的祈祷 
1400030, 45.1, 8.7, 1443, 推理的迷宫 
3124386, 48.0, 9.0, 1607, 大唐狄公案 
3813194, 47.3, 7.9, 6326, 火车 
1158934, 51.0, 8.5, 4929, 钟表馆幽灵 
3102324, 51.7, 7.7, 20927, 秘密 
4292149, 54.3, 8.5, 8572, 龙文身的女孩 
4038672, 53.9, 8.9, 4567, 络新妇之理（上） 
26576515, 40.4, 8.1, 1370, 清明上河图密码 2 
4067626, 48.7, 8.1, 5972, 重力小丑 
6041089, 46.5, 8.3, 3022, 家鸭与野鸭的投币式寄物柜 
4034009, 49.4, 8.3, 5025, 剪刀男 
4067621, 53.9, 8.2, 12717, 暗黑童话 
5395724, 49.3, 8.5, 3696, 华丽人生 
4580972, 51.7, 7.7, 20819, 流星之绊 
6719724, 45.5, 8.1, 3389, 死了七次的男人 
3348010, 52.5, 8.5, 6347, Y的悲剧 
26314930, 39.8, 8.6, 677, 杀手界·疾风号 
3615035, 32.0, 7.4, 679, 埃及十字架之谜 
1867064, 45.4, 7.7, 6184, 八百万种死法 
4928387, 47.9, 7.5, 14379, 单恋 
5939312, 49.3, 8.2, 5727, 超·杀人事件 
26365847, 42.3, 7.6, 4033, 美人为馅 
4242406, 51.2, 8.5, 5070, 达芬奇密码 
25955474, 43.4, 8.0, 2682, 坏小孩 
4075352, 30.0, 8.4, 162, 消失！ 
26285818, 42.7, 8.7, 982, 虹の歯ブラシ 上木らいち発散 
1027767, 43.3, 8.2, 1975, 时间的女儿 
25737793, 41.3, 8.5, 968, 阳光劫匪 
26828112, 28.9, 7.6, 288, 镜狱岛事件 
6087394, 32.9, 8.7, 203, 东野圭吾精选集-全10册 
4152754, 51.7, 7.7, 20634, 时生 
3162527, 55.7, 8.7, 7956, 魍魉之匣（下） 
4277347, 46.8, 7.9, 5824, 解体诸因 
26637688, 32.1, 7.4, 700, 元年春之祭 
5347699, 48.5, 7.8, 9413, 彷徨之刃 
21324173, 38.2, 8.7, 475, 第三时效 
4264003, 46.2, 7.4, 12360, 名侦探的守则 
3615061, 49.5, 7.5, 19782, 宿命 
5904212, 49.6, 8.2, 6035, 心理罪 
3310627, 42.4, 8.4, 1317, 繁花将尽 
25912734, 42.7, 7.2, 8768, 他来了，请闭眼 
4753783, 46.8, 7.4, 14105, 分身 
25892399, 46.0, 7.9, 5016, 余生皆假期 
26673089, 26.5, 7.5, 200, 二流小说家 
24531011, 41.4, 7.6, 3364, 无声的证词 
4038673, 53.9, 9.0, 3980, 络新妇之理（下） 
4882013, 40.9, 8.1, 1476, 异常 
