Tag: 文化 

ID, Score, Rating, Votes, Title 
25985021, 66.4, 9.3, 17296, 人类简史 
26819477, 41.7, 9.0, 615, 东京本屋 
26708306, 41.3, 8.7, 784, 北欧，冰与火之地的寻真之旅 
26816981, 35.6, 8.7, 312, 十二幅地图中的世界史 
3162991, 60.7, 9.6, 5199, 艺术的故事 
26853835, 45.6, 8.8, 1381, 丝绸之路 
26698223, 39.5, 9.2, 366, 永恒的时光之旅 
26921971, 24.9, 9.3, 39, 时间之书 
4238362, 69.1, 8.6, 82620, 送你一颗子弹 
5375620, 58.7, 8.8, 11214, 失控 
20440644, 64.5, 9.2, 15233, 文学回忆录（全2册） 
1027191, 66.3, 9.0, 26831, 历史深处的忧虑 
1795079, 60.0, 9.2, 7724, 乡土中国 
1034067, 54.9, 8.8, 6087, 美的历程 
1813841, 58.7, 8.8, 11190, 枪炮、病菌与钢铁 
1062193, 58.7, 8.6, 15184, 娱乐至死 
1446959, 39.5, 8.8, 528, 唐代的外来文明 
26695174, 47.5, 9.0, 1484, 灯塔 
5366248, 57.8, 8.3, 21455, 你一定爱读的极简欧洲史 
26889865, 34.4, 7.5, 980, 我不知道该如何像正常人那样生活 
26854325, 26.7, 8.6, 79, 喜剧作家 
3070464, 21.9, 8.4, 41, 日本料理神髓 
1022238, 57.7, 8.2, 24998, 菊与刀 
1393447, 49.3, 9.1, 1751, 忧郁的热带 
3707886, 46.1, 9.0, 1204, 中国通史 
6712255, 51.4, 8.8, 3497, 天真的人类学家 
4124727, 58.2, 8.1, 32527, 孤独六讲 
25902942, 49.4, 9.0, 2010, 文明之光（第一册） 
26848146, 32.9, 7.8, 494, 民国太太的厨房 
26782825, 22.5, 9.4, 26, 时尚通史 
25746578, 46.3, 9.2, 1004, 大英博物馆世界简史（全3册） 
26893634, 28.2, 9.1, 72, 树之生命木之心 
26840568, 34.2, 9.2, 164, 草疯长 
4146756, 47.1, 8.5, 2567, 浮生取义 
26835895, 26.4, 8.7, 71, 猫的私人词典 
1005492, 54.7, 8.9, 5186, 光荣与梦想 
26933798, 27.9, 9.1, 69, 我在故宫修文物 
25886351, 42.8, 7.9, 2744, 耶路撒冷三千年 
26791617, 36.8, 8.0, 800, 大好河山可骑驴 
1068912, 46.8, 8.6, 2132, 中国文化的深层结构 
1001885, 58.6, 8.5, 17459, 带一本书去巴黎 
26835827, 27.3, 8.9, 71, 想象地名私人词典 
1003284, 54.8, 8.1, 17886, 退步集 
26363926, 36.6, 8.6, 402, 何为良好生活 
3344676, 58.4, 8.1, 34107, 常识 
1014825, 60.2, 9.0, 10535, 我也有一个梦想 
1022060, 64.9, 8.3, 72818, 狼图腾 
26848651, 26.2, 9.0, 56, 从历史中醒来 
25752592, 40.2, 8.9, 535, 从黎明到衰落（上下） 
26697311, 32.5, 8.4, 248, 重新发现日本 
1012611, 59.7, 8.3, 29452, 乌合之众 
26865732, 19.8, 8.8, 23, 纳粹医生 
2747765, 48.5, 8.9, 1947, 中国古代文化常识 
22806583, 43.1, 8.7, 1038, 国家的常识 
1905742, 46.0, 8.8, 1472, 金枝（上下册） 
1962923, 55.7, 8.6, 9295, 西班牙旅行笔记 
1203426, 62.2, 9.0, 14248, 人间词话 
1870268, 49.8, 8.7, 3089, 美国大城市的死与生（纪念版） 
1056315, 60.2, 8.8, 14145, 总统是靠不住的 
5990251, 54.3, 8.5, 8480, 西藏生死书 
4082434, 46.4, 9.3, 922, 穿墙透壁 
