Tag: 欧美 

ID, Score, Rating, Votes, Title 
2052049, 52.9, 9.0, 3449, 海伯利安 
26672693, 48.6, 9.0, 1769, 一个叫欧维的男人决定去死 
26390426, 37.1, 8.3, 597, 比利战争 
26662757, 24.8, 8.7, 55, 六桩不可能犯罪 
26840504, 28.0, 7.7, 220, 人人都有妄想症 
26300508, 43.4, 8.7, 1105, 万物的签名 
1442869, 54.3, 8.9, 4848, 献给阿尔吉侬的花束 
1939182, 48.1, 8.0, 6305, 美国众神 
1088812, 47.3, 8.3, 3470, 第二十二条军规 
5321895, 44.3, 8.3, 2060, 那些忧伤的年轻人 
1874411, 48.6, 8.5, 3310, 乞力马扎罗的雪 
3006581, 66.1, 8.9, 30634, 无人生还 
1827374, 67.5, 9.0, 32402, 东方快车谋杀案 
1140727, 57.6, 8.8, 9355, 安德的游戏 
6797396, 48.0, 8.5, 2958, 焚舟纪 
1187842, 55.2, 9.0, 4885, 你一生的故事 
4120475, 50.5, 9.3, 1687, 加缪全集 （小说卷） 
4908885, 64.3, 9.0, 19862, 局外人 
3347997, 54.9, 8.5, 9443, X的悲剧 
25829693, 59.5, 9.0, 9405, 永恒的终结 
1242927, 39.8, 9.7, 251, 英国文学名篇选注 
4140380, 47.5, 8.7, 2125, 第七重解答 
3326892, 55.2, 8.6, 8527, 圣诞忆旧集 
2301475, 41.6, 8.4, 1157, 人间食粮 
26369210, 42.2, 8.5, 1143, 黑猫侦探 I：阴影之间 
1258490, 61.9, 9.2, 10238, 基地 
2364762, 41.0, 8.7, 743, 唐璜（上下册） 
11535042, 38.8, 8.2, 906, 请以你的名字呼唤我 
26108007, 34.5, 7.8, 673, 我已经结婚了  我心情还不好 
1316648, 57.9, 8.3, 21550, 查令十字街84号 
1292416, 61.1, 8.5, 26379, 香水 
1049957, 50.9, 8.6, 4225, 浮士德 
1768642, 46.6, 9.2, 1047, 博尔赫斯短篇小说集 
4175473, 46.9, 8.6, 2196, 波斯少年 
21346008, 45.8, 8.5, 2062, 米格尔街 
3191247, 48.2, 8.7, 2377, 好兆头 
5920385, 53.5, 8.2, 11855, 肠子 
1872158, 49.1, 8.2, 5552, 蝇王 
7046857, 38.5, 8.3, 763, 长日留痕 
3816895, 38.1, 8.1, 902, 雪崩 
3608235, 55.7, 8.5, 10824, 失物之书 
2340059, 38.2, 7.6, 1805, 心理控制术 
3013903, 50.2, 8.1, 7837, 漫长的告别 
1818347, 60.4, 8.7, 17013, 尼罗河上的惨案 
1440972, 58.8, 9.1, 7386, 博尔赫斯小说集 
1417385, 49.2, 8.9, 2169, 博尔赫斯诗选 
2969263, 41.1, 8.5, 940, 跳房子 
3348010, 52.5, 8.5, 6347, Y的悲剧 
1083429, 48.6, 8.7, 2538, 爱伦·坡短篇小说集 
2973335, 43.9, 8.6, 1331, 微暗的火 
12404751, 40.8, 8.6, 808, 遥远地球之歌 
2036569, 41.0, 8.2, 1322, 愤怒的葡萄 
1066165, 56.4, 9.3, 4019, 卡尔维诺文集（第三卷） 
5387467, 43.4, 8.4, 1562, 三口棺材 
5993314, 48.8, 8.0, 7154, 安吉拉·卡特的精怪故事集 
10282582, 41.1, 8.3, 1186, 隐形怪物 
24523682, 31.6, 7.6, 489, 裸体午餐 
1084794, 35.3, 8.4, 400, 法官和他的刽子手 
6789605, 58.9, 9.0, 8670, 树上的男爵 
4220020, 46.1, 8.8, 1502, 相助 
1067049, 43.7, 8.8, 1032, 孩子，把你的手给我 
1140726, 46.7, 8.2, 3621, 计算中的上帝 
2361768, 61.0, 9.3, 7909, 爷爷变成了幽灵 
4292149, 54.3, 8.5, 8572, 龙文身的女孩 
5321896, 36.9, 8.3, 580, 危险的关系 
26328639, 32.7, 7.4, 793, 一份不适合女人的工作 
1818583, 50.5, 9.1, 2097, 斯·茨威格中短篇小说选 
1047325, 42.7, 9.2, 584, 老妇还乡 
5366382, 51.7, 8.7, 4195, 夜航西飞 
24382569, 55.4, 8.6, 8801, 一桩事先张扬的凶杀案 
6861517, 42.8, 8.5, 1260, 时时刻刻 
3732346, 42.2, 8.1, 1870, 疯狂实验史 
4882159, 46.5, 7.6, 9077, 橘子不是唯一的水果 
3402999, 47.9, 8.5, 2951, 到灯塔去 
1772786, 51.9, 8.6, 4954, 真名实姓 
1481311, 49.0, 8.7, 2690, 沙丘 
2980471, 46.7, 8.2, 3616, 赎罪 
1030554, 44.6, 8.5, 1689, 恶心 
2158684, 55.0, 9.0, 4724, 象棋的故事 
3393056, 46.8, 8.2, 3682, 流动的盛宴 
4820710, 69.6, 9.3, 28028, 1984 
3131814, 45.4, 8.7, 1522, 笔记大自然 
2142574, 44.8, 8.7, 1375, 时光中的时光 
1867064, 45.4, 7.7, 6184, 八百万种死法 
1013225, 58.3, 8.3, 23338, 生活在别处 
2971734, 40.2, 7.3, 4375, 一把雨伞给这天用 
2568067, 41.4, 8.1, 1621, 中性 
1945004, 39.0, 8.6, 596, 近距离 
4105446, 52.8, 8.1, 12454, 十一种孤独 
6003394, 41.2, 8.2, 1368, 爱，始于冬季 
1051714, 47.8, 8.2, 4411, 等待戈多 
1076330, 47.9, 8.9, 1777, 奥狄浦斯王 
6797700, 37.3, 8.4, 560, 自我与本我 
1859108, 50.9, 8.8, 3252, 白痴 
2255871, 41.3, 8.7, 779, 冠军早餐 囚鸟 
1858513, 70.6, 8.9, 61383, 月亮和六便士 
4027219, 42.0, 7.8, 2753, 宠物公墓 
5446490, 48.9, 8.7, 2683, 宇宙奇趣全集 
1394364, 60.0, 8.8, 13703, 银河系漫游指南 
1794620, 56.6, 7.8, 43101, 芒果街上的小屋 
1464203, 64.7, 9.4, 11855, 冰与火之歌（卷二） 
1023709, 47.3, 8.3, 3502, 被背叛的遗嘱 
1032369, 43.9, 9.1, 773, 花卉圣经 
5940829, 43.3, 8.1, 2285, 写在身体上 
1917078, 55.4, 8.6, 8826, 风之影 
3315879, 57.1, 8.6, 11670, 恶童日记 
1411023, 33.1, 8.3, 299, 独居日记 
1213546, 57.5, 8.3, 20035, 变形记 
6857344, 52.3, 8.5, 6093, 夜莺与玫瑰 
1468997, 44.9, 8.6, 1573, 守望灯塔 
2061444, 44.3, 8.6, 1419, 幽灵之家 
3264211, 45.5, 8.6, 1726, 犹大之窗 
3537590, 55.8, 8.3, 15135, 朗读者 
5366275, 55.5, 8.4, 12077, 我怎样毁了我的一生 
10565151, 45.2, 7.5, 8507, 我是个年轻人 我心情不太好 
5980585, 40.6, 8.3, 1097, 走在蓝色的田野上 
4891108, 41.6, 8.4, 1154, 爱伦坡惊悚小说全集 
6010144, 42.4, 8.3, 1497, 动物寓言集 
1829226, 69.1, 9.1, 35259, 肖申克的救赎 
1399992, 49.2, 8.9, 2172, 天渊 
3831788, 48.1, 8.0, 6329, 逃离 
10749924, 41.6, 8.2, 1474, 天真的和感伤的小说家 
2996596, 51.1, 8.4, 5794, 特别的猫 
1292322, 45.8, 8.2, 3101, 群星，我的归宿 
3788397, 39.5, 8.5, 721, 豺狼的日子 
1807516, 61.5, 8.9, 14868, 罗杰疑案 
1271212, 52.1, 8.8, 3932, 死者代言人 
4246979, 46.7, 8.1, 4191, 窄门 
6967983, 41.7, 8.2, 1507, 罪行 
1017839, 41.6, 7.9, 2218, 带着鲑鱼去旅行 
1865765, 45.7, 8.5, 2020, 童年的终结 
2056749, 58.5, 8.1, 34480, 时间旅行者的妻子 
2280027, 42.1, 7.6, 3816, 自杀俱乐部 
1146267, 51.6, 8.8, 3598, 深渊上的火 
24541883, 49.2, 8.1, 6497, 消失的爱人 
6789551, 52.1, 8.8, 3885, 不存在的骑士 
3871911, 48.3, 8.4, 3597, 大树 
4856199, 34.3, 7.4, 1095, 而河马被煮死在水槽里 
5391766, 42.6, 7.5, 4969, 忽然七日 
3310627, 42.4, 8.4, 1317, 繁花将尽 
1082518, 58.2, 7.9, 47926, 麦田里的守望者 
2036561, 51.1, 8.4, 5790, 城堡 
1849791, 48.8, 8.5, 3390, 铁皮鼓 
1077638, 42.0, 8.0, 2082, 耻 
3112726, 51.9, 8.5, 5751, 希腊棺材之谜 
1082159, 47.4, 8.2, 4109, 沉默的羔羊 
2161892, 51.8, 8.5, 5576, 九故事 
26371317, 51.1, 8.2, 7845, 24个比利 
4870150, 44.9, 8.3, 2298, 44号孩子 
3092871, 36.9, 8.3, 580, 欧洲：一堂丰富的人文课 
2382544, 39.7, 8.7, 607, 园圃之乐 
1958685, 44.5, 8.4, 1899, 美的历史 
4898534, 37.8, 8.4, 607, 爵士时代的故事 
1027767, 43.3, 8.2, 1975, 时间的女儿 
6097966, 49.5, 8.1, 6954, 发条橙 
1437129, 39.9, 8.1, 1250, 悠游小说林 
5993310, 53.3, 9.0, 3641, 直捣蜂窝的女孩 
