Tag: 法学 

ID, Score, Rating, Votes, Title 
5375977, 29.6, 9.1, 88, 英格兰宪政史 
26916794, 14.1, 7.7, 15, 车浩的刑法题 
26694947, 25.4, 9.1, 47, 中国公司法 
4201004, 36.4, 9.4, 196, 民法思维 
1074822, 36.2, 9.0, 263, 法学方法论 
1013488, 43.4, 9.0, 795, 论犯罪与刑罚 
1054816, 36.7, 9.2, 240, 法律与革命 
10829270, 33.5, 8.3, 322, 法的门前 
1029794, 42.2, 8.5, 1127, 法治及其本土资源 
1014737, 40.1, 8.2, 1127, 政法笔记 
1316771, 33.4, 8.7, 218, 最好的辩护 
26636503, 27.6, 8.6, 92, 正义的慈悲 
1626467, 33.2, 9.3, 132, 民法学说与判例研究 
1324621, 41.9, 9.3, 477, 宪法学导论 
2267824, 39.6, 8.4, 822, 制度是如何形成的 
25848747, 30.4, 8.5, 158, 审判为什么不公正 
1074037, 35.0, 9.3, 172, 法律、立法与自由(第二、三卷) 
25794646, 28.9, 8.4, 134, 你的权利从哪里来？ 
1114108, 35.9, 7.7, 1000, 西窗法雨 
26699004, 30.6, 9.0, 110, 掩饰 
1400888, 38.4, 8.4, 675, 法律与宗教 
25838004, 31.8, 8.8, 155, 法学论文写作 
20380464, 32.9, 7.8, 501, 谁来守护公正 
1550704, 39.5, 9.2, 362, 法律思维与民法实例 
1039771, 37.6, 8.9, 356, 法哲学原理 
10770743, 36.0, 9.4, 184, 林达作品集（全九册) 
1836950, 35.5, 9.0, 237, 法律的概念 
4240969, 45.4, 8.6, 1707, 民主是一种现代生活 
25961876, 29.1, 8.3, 150, 断臂上的花朵 
6820487, 32.0, 9.3, 111, 合同法总论 
2009914, 41.7, 8.8, 754, 为权利而斗争 
24295788, 23.2, 8.7, 42, 我的辩词与梦想 
25891213, 44.2, 8.8, 1122, 七号房的礼物 
1861059, 35.0, 8.7, 285, 陆地与海洋 
4908340, 30.9, 8.2, 228, 合理的怀疑 
1065053, 30.9, 8.8, 134, 在事实与规范之间 
24838223, 29.6, 7.8, 265, 皇上走了 
