Tag: 爱情 

ID, Score, Rating, Votes, Title 
10594787, 69.2, 8.9, 49914, 霍乱时期的爱情 
26872990, 37.8, 7.9, 1099, 余生，请多指教 
1068920, 76.2, 9.3, 73179, 飘（上下） 
26451351, 44.9, 8.6, 1567, 爱情和其他魔鬼 
3026879, 59.8, 8.8, 13269, 爱的艺术 
1437973, 48.1, 8.7, 2334, 亲密关系 
26733854, 40.4, 8.7, 675, 明天也是小春日和 
3071717, 64.9, 8.8, 29585, 爱你就像爱生命 
26846721, 31.4, 8.8, 145, 如何在爱中修行 
1090043, 68.0, 8.5, 82938, 倾城之恋 
26905360, 34.0, 9.4, 138, 夜莺 
1046265, 66.5, 8.0, 178480, 挪威的森林 
2154960, 65.5, 8.7, 38519, 一个陌生女人的来信 
1400705, 63.1, 8.1, 78887, 情人 
23008971, 59.2, 9.0, 8963, 平如美棠 
1086249, 62.9, 8.6, 30295, 荆棘鸟 
26922895, 33.4, 9.8, 97, 其实你没那么爱他 
1083428, 71.1, 8.8, 80154, 傲慢与偏见 
26879486, 30.1, 7.8, 294, 最初不过你好 
1082334, 64.2, 8.3, 64588, 穆斯林的葬礼 
10432334, 39.1, 8.3, 854, Me Before You 
10560798, 55.6, 8.7, 7899, 面纱 
1316648, 57.9, 8.3, 21541, 查令十字街84号 
1141406, 69.2, 8.5, 101526, 简爱 
1080370, 65.4, 8.6, 45009, 情书 
26356948, 44.9, 7.0, 21700, 摆渡人 
26752646, 29.9, 8.0, 231, 天意 
26811147, 40.9, 8.6, 812, 月族 
2056749, 58.5, 8.1, 34479, 时间旅行者的妻子 
1014278, 61.9, 8.4, 36289, 红玫瑰与白玫瑰 
1119522, 64.3, 8.4, 54299, 呼啸山庄 
3765331, 51.1, 8.6, 4373, 恋人絮语 
1963684, 63.4, 8.6, 32735, 半生缘 
26849731, 31.7, 8.1, 286, 看了高兴的爱情故事 
26787941, 38.2, 7.3, 2848, 玛格丽特小镇 
21360827, 45.8, 9.0, 1153, 朱生豪情书全集 
26899836, 25.1, 8.5, 66, 不如，重新开始 
1444900, 46.7, 8.7, 1865, 爱的五种语言 
26889862, 28.6, 8.6, 109, 我还是很喜欢你 
1045352, 53.7, 8.7, 5768, 二十首情诗与绝望的歌 
25924242, 46.4, 8.9, 1398, 爱在黎明破晓前&amp;爱在日落黄昏时 
26798331, 34.9, 8.9, 235, 醒来觉得甚是爱你 
4313207, 52.7, 8.5, 6561, 致D 
26861449, 32.0, 9.4, 103, 阁楼里的女孩 
26892411, 35.1, 8.9, 240, 人类要是没有爱情就好了 
3879301, 62.8, 8.1, 73790, 微微一笑很倾城 
26384985, 34.0, 7.3, 1183, 我有个恋爱想和你谈下 
1461903, 64.0, 8.0, 114041, 何以笙箫默 
1079252, 50.3, 8.2, 6824, 爱情笔记 
26577690, 38.5, 8.5, 608, 伪装成独白的爱情 
4154988, 47.5, 8.0, 5654, 纯真博物馆 
3426869, 63.3, 8.3, 54633, 三生三世 十里桃花 
26914805, 24.0, 9.5, 31, 九幽 
1066462, 65.8, 8.4, 69170, 向左走·向右走 
26689063, 39.2, 8.2, 973, 卡罗尔 
1465324, 56.4, 7.7, 51204, 洛丽塔 
24541883, 49.2, 8.1, 6495, 消失的爱人 
5916880, 64.1, 8.6, 36588, 华胥引（全二册） 
3673651, 52.3, 7.7, 23525, 岛 
2022979, 59.5, 8.1, 41149, 喜宝 
2209098, 60.9, 7.9, 78732, 致我们终将逝去的青春 
3017857, 61.2, 8.5, 26823, 金锁记 
26848052, 31.1, 8.8, 140, 别爱上任何人 
26897494, 29.5, 9.4, 72, 香初上舞 
3010133, 55.7, 8.4, 12562, 琥珀·恋爱的犀牛 
1006073, 48.3, 7.6, 13005, 七月与安生 
26889498, 24.2, 8.9, 44, 小确幸不如大欢喜 
1791664, 53.5, 8.8, 4886, 千江有水千江月 
26907263, 26.4, 9.4, 46, 全世界我只想和你在一起 
26335687, 34.4, 7.6, 853, 我在最温暖的地方等你 
26591906, 41.2, 8.3, 1209, 浮生梦 
1013380, 60.0, 8.1, 45023, 茶花女 
26880577, 28.7, 8.3, 141, 世界上到底有没有百分之百的异性恋 
6813370, 37.5, 8.2, 716, 雾中回忆 
26905604, 31.4, 9.7, 78, 此刻不爱的人，都有罪 
1223845, 47.4, 7.6, 10883, 男人来自火星 女人来自金星 
26896979, 29.8, 8.7, 122, 嫡谋 
26840828, 24.8, 8.4, 67, 古拉格之恋 
3054373, 51.7, 9.2, 2237, 荷西 我爱你 
26146992, 41.5, 7.4, 4792, 我们为什么会分手？ 
2669319, 50.0, 9.0, 2204, Flipped 
26680113, 47.3, 8.6, 2325, 那个不为人知的故事 
1008074, 50.0, 7.5, 22014, 失乐园 
25747921, 52.3, 7.2, 67719, 从你的全世界路过 
3537590, 55.8, 8.3, 15131, 朗读者 
4105424, 33.8, 7.8, 592, 恋爱中的男人 
1807769, 46.6, 8.8, 1625, 假如你愿意你就恋爱吧 
26853361, 37.2, 8.7, 403, 夜旅人 
2230208, 53.5, 8.1, 13982, 我的前半生 
11535042, 38.8, 8.2, 906, 请以你的名字呼唤我 
3010130, 51.4, 7.7, 19734, 悲观主义的花朵 
6890671, 47.4, 8.2, 4110, 一天 
1072319, 53.4, 8.5, 7337, 长腿叔叔 
6052834, 42.0, 8.2, 1584, 亲密关系 
20270670, 44.7, 8.3, 2213, 为何爱会伤人 
26365847, 42.3, 7.6, 4028, 美人为馅 
10807374, 48.9, 8.7, 2649, 浮生若梦1 
1400707, 52.2, 8.1, 11217, 广岛之恋 
3268399, 56.4, 8.5, 12058, 上海堡垒 
26666917, 29.9, 7.8, 282, 笼中的爱人 
1393218, 52.4, 9.1, 2793, 大明宫词 
1016300, 55.8, 7.2, 142804, 梦里花落知多少 
1018577, 61.0, 8.9, 13752, 霸王别姬 青蛇 
10345585, 28.9, 7.3, 411, 与往事说再见 
4175473, 46.9, 8.6, 2196, 波斯少年 
3506871, 51.9, 7.6, 26482, 曾有一个人，爱我如生命 
1159939, 60.0, 8.5, 21865, 一个陌生女子的来信 
25716611, 44.8, 8.5, 1748, 花街往事 
25890145, 41.4, 8.4, 1117, 线 
1261153, 54.8, 8.4, 10752, 青蛇 
26866648, 26.8, 8.2, 111, 吃了再爱，还是爱了再吃？ 
26915101, 24.2, 8.5, 56, 桃花尽处起长歌 
1958227, 57.8, 8.2, 25295, 那些年，我们一起追的女孩 
26358169, 30.7, 7.3, 599, 那时，我们还不怕相爱 
11501640, 48.3, 8.4, 3579, 柔软 
26758995, 32.3, 8.3, 264, 罗茜计划 
2331434, 54.6, 7.7, 36478, 原来你还在这里 
26931365, 22.2, 9.3, 26, 邓文迪：女人明白要趁早 
1972266, 46.5, 7.7, 7646, 余欢 
26893021, 29.9, 9.5, 72, 我来过你爱过的世界 
11527634, 41.8, 7.7, 3079, 蒙马特遗书 
4238754, 57.3, 8.0, 33168, 失恋33天 
26866300, 34.9, 9.1, 197, 光芒纪·微光 
2567919, 59.0, 8.3, 26215, 匆匆那年（上下） 
5394486, 39.6, 7.3, 3867, 爱情没那么美好 
26878059, 26.6, 9.5, 45, 人若犯我（全二册） 
1529893, 61.9, 8.0, 76542, 莲花 
3391246, 48.7, 8.2, 5146, 潮骚 
3061282, 49.8, 7.6, 17370, 山月不知心底事 
11506941, 46.0, 7.9, 5032, 我们始终牵手旅行 
1919201, 60.7, 8.5, 24672, 七夜雪 
26707942, 33.6, 7.2, 1268, 知更鸟女孩 
1005521, 56.7, 8.1, 24792, 伊豆的舞女 
2243213, 57.3, 7.9, 40256, 山楂树之恋 
25833051, 29.8, 8.6, 132, 幸福的婚姻 
26357479, 28.7, 6.0, 3657, 我与世界只差一个你 
26840198, 22.9, 8.7, 40, 爱让我们更好了 
1047138, 51.2, 7.7, 18972, 少年维特的烦恼 
1065970, 57.1, 7.8, 47939, 彼岸花 
6732193, 50.5, 7.9, 11466, 十年一品温如言 
26652086, 30.6, 8.3, 195, 你的一切好与坏我都眷恋 
26654687, 36.1, 8.0, 710, 你是我的命运 
6897140, 43.1, 8.3, 1693, The Fault in Our Stars 
1468997, 44.9, 8.6, 1573, 守望灯塔 
26847907, 29.3, 7.8, 250, 见过爱情的人 
6404040, 39.9, 8.1, 1250, 三行情书 
1322455, 56.0, 8.8, 7231, 遥远的救世主 
1792984, 49.5, 8.2, 5957, 一个女人的史诗 
26183848, 36.6, 7.3, 2045, 完美关系的秘密 
3266349, 39.4, 8.3, 891, 恋情的终结 
3290028, 45.7, 8.5, 2038, 孤城闭 
26914106, 15.3, 7.8, 18, 醉流年 
1962929, 57.6, 8.0, 35158, 佳期如梦 
26889630, 25.8, 8.6, 69, 对这个残酷的世界说情话 
26884309, 33.2, 9.5, 114, 可我还是喜欢你 
25696089, 43.4, 7.4, 7067, 1980年代的爱情 
4143051, 49.6, 8.6, 3419, 荆棘之城 
2376306, 52.5, 7.8, 20213, 第三种爱情 
26609809, 31.9, 6.8, 1666, 火车上的女孩 
2267883, 50.5, 7.9, 11626, 色，戒 
3521168, 39.2, 7.0, 6081, 谢谢你离开我 
4241870, 51.4, 7.7, 19724, 我在回忆里等你 
5321896, 36.9, 8.3, 580, 危险的关系 
26590271, 39.4, 8.6, 634, 我的鸵鸟先生 
26282087, 33.2, 7.8, 527, 把所有失眠的夜都给你 
26394204, 32.4, 8.4, 242, 爱情故事 
3908240, 45.5, 7.8, 5389, 情人 
6392678, 39.4, 7.5, 2637, 想念 
1051193, 62.6, 8.6, 28441, 麦琪的礼物 
26431215, 37.8, 8.3, 673, Lens·目客002：我这样爱你 
4901590, 43.8, 7.7, 4518, 初夏荷花时期的爱情 
1856285, 51.0, 7.3, 41230, 人生若只如初见 
3065232, 45.0, 8.0, 3594, 藏地白皮书 
26873207, 26.7, 8.9, 65, 爱是唯一的真相 
1310112, 39.8, 8.3, 960, 诫律 
25913147, 31.3, 7.7, 409, 因为深爱，所以放手 
1108590, 21.6, 8.8, 31, 周恩来邓颖超通信选集 
1045247, 51.9, 7.7, 21423, 面包树上的女人 
25912734, 42.7, 7.2, 8765, 他来了，请闭眼 
5299766, 41.7, 8.5, 1046, 青梅竹马 
3674353, 49.2, 7.7, 12884, 沥川往事 
26276279, 43.3, 7.8, 3537, 苦妓回忆录 
26925656, 31.0, 9.8, 70, 《我和你，那一场风花雪月的事》 
4832482, 30.7, 7.9, 297, 真实的颜色 
1886385, 54.7, 8.1, 17479, 来不及说我爱你 
23795254, 47.0, 8.0, 5169, 骄阳似我 
26741658, 22.5, 7.0, 147, 我的奇妙男友2 
4173402, 46.6, 8.4, 2687, 昨日之旅 
3183785, 48.6, 7.7, 11490, 爱你，是我做过最好的事 
1049477, 50.3, 8.0, 9424, 一半是海水一半是火焰 
26836228, 24.4, 8.4, 62, 江山美人谋·终章 
24882309, 41.1, 7.7, 2689, 与我长跑十年的女友嫁人了 
26915707, 17.1, 8.3, 19, 世界需要更好的你 
26688714, 24.4, 8.0, 84, 记忆里，微笑的你 
5248289, 38.0, 7.7, 1486, 岁月的泡沫 
1255624, 67.3, 8.8, 43389, 神雕侠侣 
1397467, 45.5, 7.9, 4551, 理智与情感 
26255776, 40.5, 8.0, 1570, 一厘米的阳光 
26236436, 32.4, 7.2, 990, 我们夜里在美术馆谈恋爱 
21242062, 49.9, 8.2, 6357, 长相思 
26449387, 30.2, 7.5, 424, 玩命爱一个姑娘 
20488770, 36.0, 7.6, 1167, 恋爱中毒 
1011702, 47.0, 8.1, 4390, 廊桥遗梦 
6507262, 33.7, 7.5, 842, 如何让你爱的人爱上你 
26285423, 28.5, 8.1, 161, 亲密关系的秘密 
