Tag: 王小波 

ID, Score, Rating, Votes, Title 
1054685, 68.3, 9.0, 36564, 沉默的大多数 
1089243, 68.5, 8.8, 52338, 黄金时代 
1767945, 63.7, 8.8, 24727, 一只特立独行的猪 
1014578, 63.4, 9.0, 17229, 我的精神家园 
3071717, 64.9, 8.8, 29598, 爱你就像爱生命 
1883991, 55.4, 9.3, 3462, 王小波全集 
1418686, 58.0, 8.6, 13550, 红拂夜奔 
1418180, 57.9, 8.9, 8527, 思维的乐趣 
1085883, 58.2, 8.6, 14024, 青铜时代 
1082578, 52.7, 9.0, 3333, 理想国与哲人王 
1807769, 46.6, 8.8, 1626, 假如你愿意你就恋爱吧 
1082150, 56.0, 8.3, 15657, 白银时代 
3518332, 56.5, 8.9, 6824, 绿毛水怪 
3264665, 49.3, 8.6, 3252, 三十而立 
3264642, 51.4, 8.7, 3978, 似水流年 
1763806, 50.6, 8.5, 4582, 万寿寺 
1096790, 54.4, 8.6, 7445, 黑铁时代 
1082577, 51.9, 8.7, 4334, 黑铁时代 
1812895, 46.8, 8.2, 3700, 东宫·西宫 
1777932, 53.0, 8.6, 5901, 寻找无双·东宫西宫 
2339264, 41.8, 8.6, 953, 人为什么活着 
3264644, 48.1, 8.8, 2076, 地久天长 
10546136, 40.0, 8.3, 986, 我的兄弟王小波 
4902836, 37.5, 8.7, 424, 王小波小说全集：白银时代 2010 黑铁时代 
1764991, 53.5, 8.9, 4263, 我的阴阳两界·革命时期的爱情 
19986372, 43.8, 8.7, 1172, 沉默的大多数 
10443515, 39.7, 8.8, 542, 绿毛水怪 
1822857, 52.0, 9.0, 2983, 王小波全集（第二卷 杂文） 
24716172, 35.1, 8.8, 264, 黄金时代 
1477437, 50.5, 8.9, 2692, 唐人故事 
3176760, 46.1, 8.4, 2466, 革命时期的爱情 
6902319, 41.9, 9.0, 634, 夜行记 
2015357, 50.2, 9.1, 2021, 王小波全集（第六卷） 
1807349, 39.3, 8.6, 632, 个人尊严 
1753077, 41.8, 9.3, 464, 王小波文集 
3264655, 42.6, 8.5, 1202, 未来世界 
1438536, 45.3, 8.9, 1183, 王小波经典作品 
3518333, 42.4, 8.8, 837, 寻找无双 
1273895, 38.6, 8.9, 419, 似水柔情 
1883990, 46.0, 8.8, 1477, 白银时代/2010/黑铁时代 
3518334, 44.7, 8.8, 1213, 我的阴阳两界 
1436716, 51.4, 9.1, 2417, 黄金时代白银时代 
24716171, 35.0, 8.6, 309, 沉默的大多数 
1767310, 49.8, 9.0, 2122, 黄金时代 黑铁时代 
1082193, 42.7, 9.0, 716, 怀疑三部曲 
3258802, 40.0, 8.6, 700, 盛装舞步 
1202550, 43.4, 8.8, 984, 地久天长 
4039903, 43.1, 9.2, 618, 王小波全集（第六卷 中篇小说） 
7154690, 35.6, 8.3, 467, 王小波全集 第一卷 
10199131, 38.0, 8.9, 377, 似水柔情 
10426427, 33.3, 8.4, 281, 白银时代 
6902317, 38.5, 8.6, 547, 革命时期的爱情 
24716173, 25.3, 8.5, 68, 青铜时代 
24708200, 29.1, 8.3, 152, 万寿寺 
26701731, 24.1, 8.3, 64, 爱你就像爱生命 
1822866, 44.8, 8.7, 1369, 王小波全集(第五卷) 
2018527, 44.5, 8.9, 1053, 王小波全集(第八卷) 
2016626, 42.6, 8.9, 772, 王小波全集(第七卷):中篇小说 
2364742, 42.3, 9.0, 675, 王小波散文 
1442455, 40.7, 8.8, 639, 王小波作品精选 
10426425, 38.8, 8.6, 578, 寻找无双 
25871633, 25.1, 8.2, 82, 革命星空下的“坏孩子” 
3518331, 33.6, 8.3, 327, 大学四年级 
1983487, 42.3, 8.6, 1030, 王小波全集(第九卷) 
24708197, 29.1, 8.8, 101, 革命时期的爱情 
4039233, 38.6, 8.9, 417, 王小波全集（第八卷 短篇小说） 
26260603, 24.0, 8.0, 78, 你为什么活着 
19986373, 36.8, 8.8, 346, 我的精神家园 
26872704, 23.3, 8.7, 43, 爱你就像爱生命/王小波全集 
3201977, 19.1, 8.6, 23, 唐人秘传故事 
4039235, 38.7, 8.7, 513, 王小波全集（第五卷 长篇小说 剧本） 
24716174, 29.8, 8.3, 170, 我的精神家园 
1438928, 41.4, 9.2, 479, 王小波文集(4卷) 
26107482, 26.7, 8.5, 86, 王小波全集（第九卷 书信集） 
1883989, 41.8, 9.0, 617, 早期作品 唐人故事 似水柔情 
1987262, 36.1, 8.3, 506, 王小波全集(第十卷):未竟稿 
1280543, 34.8, 7.6, 925, 一个特立独行的人 
4023216, 34.0, 8.8, 220, 王小波散文精选 
26280552, 27.4, 8.3, 113, 我是一只骆驼 
26107480, 23.2, 8.6, 45, 王小波全集（第六卷 短篇小说） 
23780838, 31.2, 9.0, 121, 沉默的大多数 
1221392, 24.3, 6.9, 248, 王小波门下走狗·第三波 
1752258, 30.3, 9.1, 98, 王小波文存 
3536512, 33.2, 9.2, 141, 王小波文集 
24840593, 31.6, 7.5, 557, 李银河:我的生命哲学 
10443516, 27.1, 8.6, 85, 我的精神家园 
1404429, 27.5, 8.7, 84, 沉默的大多數 
26280552, 27.4, 8.3, 113, 我是一只骆驼 
24708197, 29.1, 8.8, 101, 革命时期的爱情 
