Tag: 神话 

ID, Score, Rating, Votes, Title 
26889848, 37.3, 9.1, 286, 山海经全译 
26710042, 32.8, 9.1, 143, 多莱尔的希腊神话书 
26842937, 32.6, 8.9, 162, 全怪谈（全三册） 
26904095, 23.4, 8.2, 61, 博物学家的神秘动物图鉴 
2049866, 40.9, 9.0, 542, 山海经校注 
7174792, 36.6, 8.5, 446, 千面英雄 
7014927, 40.8, 8.8, 652, 中国神话传说 
1823533, 46.7, 8.7, 1870, 山海经 
2117496, 31.2, 8.3, 218, 中国神话史 
26718529, 30.3, 8.1, 225, 奥丁的子女 
26700808, 25.6, 7.2, 232, 海怪简史 
26351113, 31.3, 7.7, 413, 中国民间传说 
1736919, 36.2, 9.3, 206, 印度古代史诗摩诃婆罗多.全译本(1-6卷) 
4178476, 35.5, 9.3, 184, 中国神怪大辞典 
20399443, 32.8, 8.9, 168, 中国神话传说词典 
2267630, 47.5, 8.3, 3590, 凯尔特的薄暮 
1603984, 41.1, 8.1, 1551, 希腊神话故事 
2006842, 31.0, 8.8, 137, 失落的天书 
5980360, 51.8, 8.1, 10370, 曾许诺 
1982553, 39.0, 9.1, 366, 古本山海经图说（上下） 
1794138, 40.1, 8.6, 717, 北欧神话ABC 
1212469, 50.7, 8.9, 2752, 荷马史诗·伊利亚特 
1205392, 31.1, 7.8, 356, 古事记 
4714014, 24.8, 8.2, 78, 神话 
6851587, 32.7, 8.3, 280, 神话的力量 
1880825, 41.8, 8.2, 1526, 希腊神话 
1958863, 42.5, 8.5, 1198, 搜神記 
1185912, 39.4, 8.4, 797, 变形记 
1448632, 33.7, 8.7, 231, 埃达 
26286060, 32.9, 8.3, 293, 神在人间的时光:希腊神话欣赏 
26314736, 29.8, 8.6, 132, 希腊神话 
10468727, 38.0, 9.1, 318, 梵歌引.世间月 
1100142, 34.2, 8.4, 328, 吉尔伽美什 
26694225, 22.1, 8.3, 45, 神话与意义 
26636873, 29.2, 8.5, 130, 山海经 精美绘本 
1085481, 30.0, 9.0, 101, 萨迦 
1043613, 41.4, 8.4, 1117, 工作与时日 神谱 
26865730, 32.2, 7.5, 624, 小顾聊神话 
1214876, 17.4, 8.2, 21, 神话求原 
26718553, 20.3, 8.8, 25, 追随直觉之路 
25784780, 30.1, 9.3, 84, 凯尔特乡野叙事：一八八八 
1085567, 30.3, 8.0, 249, 罗摩衍那 
1488740, 33.4, 8.4, 287, 中国古代神话 
1035848, 58.9, 8.6, 15699, 一千零一夜 
6104723, 29.8, 8.6, 132, 英雄的旅程 
26844217, 20.3, 8.2, 35, 仙与道:神仙信仰与道家修身 
1009938, 45.4, 7.8, 5215, 封神演义 
26409654, 20.8, 6.6, 160, 怪物考 
10541078, 24.1, 8.0, 80, 二十世纪的四种神话理论 
25811177, 31.1, 8.5, 177, 众神的星空 
26826819, 12.3, 7.3, 13, 地狱为什么充满硫黄的臭味 
1048569, 37.8, 8.3, 676, 希腊古典神话 
19897857, 21.0, 8.4, 35, 神话研究（上） 
1069473, 29.1, 8.9, 94, 中国古史的传说时代 
2012529, 25.1, 8.6, 61, 中国的神话传说与古小说 
1836272, 40.4, 8.7, 678, 山海经 
5996724, 25.2, 9.2, 43, 阿尔戈英雄纪(全两册) 
4836523, 30.0, 8.3, 177, 印度神话 
24835026, 25.9, 8.7, 65, 伊利亚特 
2037987, 33.4, 8.2, 353, 摩诃婆罗多的故事 
6424415, 31.7, 7.2, 844, 山海经密码 
1315243, 28.3, 7.7, 231, 希腊罗马神话 
1374252, 19.8, 9.1, 20, 神话何为 
1023624, 22.7, 6.7, 220, 中国神仙排行榜 
2053303, 28.3, 8.5, 111, 神话学 
1070236, 19.3, 8.5, 25, 宗教与神话 
2274861, 29.9, 8.0, 230, 100名画：古希腊罗马神话 
1087813, 23.6, 8.1, 68, 萨迦选集（上下） 
1837817, 26.9, 7.5, 218, 绿野仙踪 
1980859, 23.5, 8.6, 47, 希腊宗教研究导论 
1725476, 26.0, 8.1, 103, 中国神话研究初探 
1669795, 24.3, 8.4, 61, 中国神话哲学 
1220792, 22.3, 6.7, 202, 亚瑟王传奇 
2310672, 26.0, 7.7, 147, 诸神的起源 
1912531, 32.1, 8.3, 252, 玄怪錄 續玄怪錄 
26644354, 12.6, 7.4, 13, 日本的众神 
3376908, 38.9, 8.2, 915, 图解日本妖怪大全（上下） 
1088144, 25.6, 8.6, 67, 诸神流窜 
2117916, 19.2, 8.1, 31, 比较神话学 
24884314, 17.6, 8.2, 22, 七夕 
