Tag: 科学 

ID, Score, Rating, Votes, Title 
26697350, 47.5, 9.2, 1204, 极简宇宙史 
1291204, 57.0, 9.4, 3873, 哥德尔、艾舍尔、巴赫 
26314627, 46.3, 8.9, 1388, 万物：创世 
26772731, 44.7, 8.3, 2207, 七堂极简物理课 
1467022, 63.2, 9.2, 12450, 上帝掷骰子吗 
1034282, 62.2, 8.8, 19356, 时间简史 
1102715, 57.1, 9.1, 5752, 从一到无穷大 
1292405, 51.5, 8.6, 4672, 自私的基因 
3930318, 50.9, 9.0, 2510, 超越时空 
1225983, 54.9, 8.8, 6125, 万物简史 
6952036, 50.9, 9.2, 1989, 对伪心理学说不 
25986341, 50.0, 8.4, 4815, 万万没想到 
1320282, 52.5, 9.1, 2855, 什么是数学 
1446407, 35.6, 8.7, 313, 发现的乐趣 
26364209, 42.7, 8.1, 2059, 那些古怪又让人忧心的问题 
26733566, 28.1, 8.1, 152, 知识大融通 
26593084, 40.1, 8.3, 1013, 迷人的材料 
10750155, 55.2, 8.7, 7412, 数学之美 
26901529, 21.9, 9.3, 25, 怎样观察一棵树 
26814078, 30.4, 7.8, 311, 万物解释者 
3117464, 44.6, 8.6, 1492, 平行宇宙 
1034279, 53.0, 8.6, 5960, 果壳中的宇宙 
1322358, 48.4, 9.0, 1707, 费马大定理 
26830979, 22.9, 9.1, 32, 宇宙 
7647487, 48.9, 8.7, 2644, 时间的形状 
1070820, 42.3, 8.7, 924, 上帝与新物理学 
26685563, 29.4, 9.4, 71, 演化 
26890706, 17.4, 8.4, 19, 科学与宗教的领地 
6750347, 41.3, 9.2, 477, 演化 
3071402, 46.6, 8.7, 1828, 物理世界奇遇记 
1046620, 43.7, 8.9, 929, 我们为什么生病 
6855803, 36.1, 7.9, 800, 奇点临近 
26844877, 27.1, 8.7, 79, 神秘的量子生命 
1053174, 44.0, 8.6, 1350, 你干吗在乎别人怎么想？ 
1400030, 45.1, 8.7, 1443, 推理的迷宫 
10539147, 37.0, 9.2, 249, 宇宙的结构 
10522003, 39.2, 8.3, 861, 艾伦·图灵传 
26413155, 38.7, 8.7, 514, 星际穿越 
26184242, 28.8, 8.4, 132, 无穷的开始 
3392046, 52.3, 8.2, 9712, 当彩色的声音尝起来是甜的 
1016827, 37.3, 9.1, 285, 阿西莫夫最新科学指南（上下册） 
26679862, 33.9, 9.3, 146, 生命的跃升 
3144300, 36.8, 9.2, 243, 通向实在之路 
1500045, 37.6, 8.7, 432, 猜想与反驳 
1049136, 45.0, 8.6, 1595, 数学：确定性的丧失 
24720345, 27.5, 9.0, 69, 反叛的科学家 
26876074, 25.6, 8.3, 83, 大脑使用指南 
26820506, 23.9, 8.6, 50, 给世界的答案 
26861003, 30.6, 9.6, 74, 黑洞简史 
1071384, 41.0, 8.5, 933, 物种起源 
5422665, 43.2, 8.0, 2594, 大设计 
1277169, 43.0, 9.0, 747, 古今数学思想（一） 
24736494, 34.4, 8.5, 309, 地理学与生活（插图第11版） 
25817569, 25.4, 8.5, 69, 世界观 
3732346, 42.2, 8.1, 1870, 疯狂实验史 
1062309, 41.3, 9.0, 571, 基因组 
22993873, 35.1, 8.5, 346, 宇宙之书 
26652354, 28.0, 8.4, 116, 世界重启 
1206206, 40.9, 8.2, 1301, 皇帝新脑 
1986050, 39.5, 8.8, 532, 哲学 科学 常识 
1834728, 40.2, 8.8, 590, 人工智能的未来 
1120886, 41.3, 8.9, 632, 黑洞与时间弯曲 
1072767, 42.0, 9.1, 581, 宇宙 
10531723, 35.0, 8.6, 311, 爱因斯坦传 
3931106, 34.2, 8.8, 229, 宇宙秘密：阿西莫夫谈科学 
1507315, 39.7, 9.0, 450, 自然哲学之数学原理 
26320244, 30.9, 8.7, 145, 巫师、外星人和星舰 
25924311, 34.8, 8.4, 367, 盲眼钟表匠 
5352345, 30.2, 9.1, 97, 黑洞战争 
6861475, 30.2, 9.3, 85, 意识探秘 
26865821, 17.7, 8.4, 20, 文明的滴定 
