Tag: 科幻 

ID, Score, Rating, Votes, Title 
2567698, 73.9, 8.8, 124869, 三体 
1187842, 55.2, 9.0, 4885, 你一生的故事 
25829693, 59.5, 9.0, 9405, 永恒的终结 
5363767, 75.1, 9.2, 73722, 三体Ⅲ 
3066477, 75.1, 9.2, 74274, 三体Ⅱ 
1442869, 54.3, 8.9, 4848, 献给阿尔吉侬的花束 
26586492, 57.2, 8.9, 7656, 火星救援 
1258490, 61.9, 9.2, 10238, 基地 
1394364, 60.0, 8.8, 13703, 银河系漫游指南 
2052049, 52.9, 9.0, 3449, 海伯利安 
26921237, 18.3, 9.1, 16, 果壳里的一百五十九个宇宙 
25752955, 51.6, 9.0, 2812, 来自新世界 （上下） 
26811147, 40.9, 8.6, 813, 月族 
26264967, 50.6, 8.3, 6108, 神们自己 
6518605, 55.6, 9.3, 3534, 三体全集 
1192090, 62.6, 8.7, 24103, 球状闪电 
26787943, 28.0, 8.4, 116, 消失的殖民星球 
26895400, 30.1, 9.2, 90, 镜像人之末世如你 
26295450, 43.5, 8.7, 1114, 软件体的生命周期 
26791409, 33.7, 8.7, 229, 奇爱博士 
24107596, 42.9, 8.0, 2446, 神经漫游者 
10488563, 51.1, 8.7, 3771, 宇宙尽头的餐馆 
20279665, 43.5, 9.2, 656, “太空漫游”四部曲 
26280924, 41.3, 8.4, 1091, 看海的人 
24715686, 45.8, 8.7, 1607, 仿生人会梦见电子羊吗？ 
2340609, 53.1, 9.0, 3529, 2001太空漫游 
24538715, 46.9, 8.6, 2184, 艾比斯之梦 
20470849, 43.4, 8.3, 1768, 神的九十亿个名字 
1146267, 51.6, 8.8, 3598, 深渊上的火 
3774646, 40.9, 8.2, 1314, 平面国 
1418999, 56.5, 9.2, 4603, 银河英雄传说 
4202422, 49.7, 8.3, 5295, 云图 
26779789, 34.1, 8.8, 226, 安德的游戏·三部曲 
1481311, 49.0, 8.7, 2690, 沙丘 
24715669, 43.8, 8.9, 937, 少数派报告 
26807576, 35.4, 8.4, 401, 赡养人类 
3816883, 40.7, 8.3, 1111, 黑暗的左手 
11511232, 44.4, 8.9, 1029, 大师的盛宴 
26935435, 21.3, 9.3, 23, 大裂 
6744648, 44.0, 8.8, 1083, 与拉玛相会 
10608453, 38.2, 8.7, 473, 盲视 
25808977, 38.1, 8.4, 635, 全息玫瑰碎片 
1140727, 57.6, 8.8, 9355, 安德的游戏 
26722307, 32.5, 7.9, 408, 暗夜独行客 
26791407, 30.5, 6.4, 2497, 孤独深处 
3198422, 46.2, 8.6, 1937, 光明王 
26210607, 45.9, 8.4, 2399, 时间移民 
24153098, 34.1, 7.5, 918, 差分机 
3266609, 57.7, 8.8, 9465, 流浪地球 
26806567, 21.7, 8.5, 37, 高能预警 
26767242, 32.5, 8.6, 207, 亲爱的阿道夫 
26868921, 24.6, 8.7, 53, 新新日报馆：机械崛起 
3041463, 46.1, 8.3, 2820, 时间回旋 
1399992, 49.2, 8.9, 2172, 天渊 
1440243, 42.9, 8.7, 1015, 索拉里斯星 
19938026, 44.8, 8.5, 1760, 生命，宇宙以及一切 
25736982, 36.2, 9.4, 189, 菲利普·迪克作品集（全5册） 
3290026, 43.8, 8.7, 1174, 火星编年史 
26320244, 30.9, 8.7, 145, 巫师、外星人和星舰 
1085470, 58.0, 8.4, 18499, 海底两万里 
2143016, 48.0, 9.1, 1438, 我，机器人 
1772786, 51.9, 8.6, 4954, 真名实姓 
12404751, 40.8, 8.6, 808, 遥远地球之歌 
1865765, 45.7, 8.5, 2020, 童年的终结 
26046043, 40.9, 8.3, 1160, 人类灭绝 
3268399, 56.4, 8.5, 12058, 上海堡垒 
10763170, 41.1, 8.5, 946, 发条女孩 
26783055, 19.5, 8.8, 22, 科幻电影导论 
1391510, 46.6, 9.2, 1048, 机器人短篇全集（上下） 
26534892, 29.7, 8.2, 182, 未来的序曲 
1258489, 58.7, 9.3, 5574, 第二基地 
10767124, 48.8, 8.6, 2986, 乡村教师 
1321790, 41.4, 8.1, 1636, 华氏451 
25978738, 31.9, 8.8, 159, 机器人大师 
10532684, 32.1, 9.1, 130, 赶往火星 
3816895, 38.1, 8.1, 902, 雪崩 
1258491, 57.8, 9.2, 5603, 基地与帝国 
26834592, 27.2, 8.8, 75, 夏日遇见狄更斯 
26108260, 33.6, 8.4, 298, 思维的形状 
21690283, 40.8, 8.2, 1288, 再会，谢谢所有的鱼 
26739275, 21.5, 8.7, 32, 6号泵 
25725500, 26.6, 7.5, 206, 虚拟偶像爱朵露 
1440442, 36.5, 8.7, 360, 完美的真空 
25832600, 32.4, 8.1, 326, 冬至草 
26672867, 20.5, 8.8, 26, 烈火的召唤 
1161852, 51.2, 8.2, 7991, 天意 
11612052, 29.2, 8.3, 154, 路边野餐 
1195590, 51.2, 8.6, 4420, 带上她的眼睛 
4887589, 40.7, 8.0, 1649, 梦侦探 
11498196, 33.4, 7.9, 483, 黑暗的速度 
26790752, 19.2, 8.2, 29, 第六大陆 
26590999, 32.9, 8.0, 393, 伤心者 
2064688, 41.4, 8.3, 1253, 异乡异客 
26652880, 30.0, 7.4, 454, 遗落的南境1：湮灭 
1316584, 40.9, 8.7, 738, 玩具修理者 
26271843, 27.2, 8.4, 101, 死亡迷局 
25977519, 30.7, 7.8, 326, 屠杀器官 
24935042, 38.4, 7.4, 2538, 时间之墟 
4882004, 24.8, 8.4, 67, 阿西莫夫论科幻小说 
24843834, 37.0, 7.6, 1409, 羊毛战记 
6541263, 33.4, 7.6, 702, 枪，偶尔有音乐 
25941893, 39.1, 8.3, 844, 安迪密恩的觉醒 
26435482, 26.1, 7.5, 186, 博物馆行星 
26805833, 24.6, 8.2, 75, 时间深渊 
1900903, 36.2, 9.3, 206, 阿西莫夫科幻小说 
26261589, 27.4, 8.2, 123, 上帝眼中的微尘 
26389898, 27.3, 9.2, 59, 银河帝国：帝国三部曲 
24840349, 35.1, 8.2, 469, 幽灵舰队 
2049339, 39.8, 8.3, 963, 变化的位面 
4814392, 37.1, 8.0, 846, 光逝 
20501664, 32.3, 7.7, 498, 荒潮 
26677364, 25.8, 8.0, 109, 雪国列车 
26849200, 20.0, 9.3, 19, 离开地球表面 
26389897, 32.1, 9.6, 92, 银河帝国：机器人五部曲 
26431296, 18.7, 7.4, 45, 科幻电影写作 
26675529, 24.8, 8.0, 91, 爱因斯坦与上海神秘人 
25816893, 35.5, 8.1, 566, 微宇宙的上帝 
11639956, 35.5, 9.2, 200, 星际迷航：联邦星舰进取号完全图解 
1258485, 49.7, 8.9, 2358, 基地续集1·基地边缘（上下） 
25822107, 23.6, 8.3, 58, 未来考古学 
1258488, 50.5, 9.0, 2372, 基地前传2·迈向基地（上下） 
26579776, 27.1, 8.5, 91, 基里尼亚加 
1474041, 12.9, 7.7, 12, Mona Lisa Overdrive 
3571732, 49.9, 8.4, 4700, 全频带阻塞干扰 
26249763, 26.7, 7.8, 155, 犹太警察工会 
25917727, 35.7, 8.8, 290, 神秘博士：沙达 
26833837, 19.8, 7.5, 52, 遗落的南境（三部曲） 
1439017, 38.9, 8.2, 913, 进入盛夏之门 
2340610, 45.5, 8.8, 1379, 2010太空漫游 
1258487, 50.9, 8.9, 2825, 基地前传1·基地前奏（上下） 
3636385, 44.2, 7.6, 5850, 超新星纪元 
26673252, 25.2, 8.2, 83, 致命拜访 
3262395, 37.5, 7.8, 1179, 垂暮之战 
1391508, 44.4, 8.6, 1445, 钢穴 
26299615, 22.6, 8.1, 57, 如何创作科幻小说与奇幻小说 
26309770, 28.4, 8.1, 158, 杀敌算法 
1258486, 48.7, 8.8, 2281, 基地续集2·基地与地球（上下） 
25977518, 30.5, 8.0, 254, 和谐 
26827210, 20.4, 8.1, 38, 林中秘族 
25709685, 48.9, 9.6, 976, 守望者 上 
26364303, 28.3, 7.6, 257, 亚特兰蒂斯：基因战争 
26811326, 14.6, 7.9, 15, 脑渊 
25982711, 24.2, 7.4, 141, 玩家一号 
3601195, 34.7, 7.9, 623, 彩虹尽头 
19935618, 30.3, 9.1, 98, 星球大战：千年隼号完全图解 
5395151, 34.6, 8.2, 432, 副本 
3105462, 34.3, 8.6, 275, 接触 
26648648, 26.8, 8.8, 70, 起风之城 
26791402, 21.4, 7.2, 95, 去远方 
11597324, 28.6, 7.6, 270, 游戏玩家 
11605558, 33.7, 8.2, 372, 六道众生 
5990493, 26.7, 7.3, 261, 流浪玛厄斯 
3244055, 33.0, 7.9, 447, 群 
1085533, 35.3, 8.3, 436, 时震 
26372813, 27.2, 8.5, 93, 帕莫·艾德里奇的三处圣痕 
5336223, 33.8, 7.0, 1829, 地铁 
6885709, 34.8, 8.0, 555, 未来闪影 
24944354, 35.5, 8.3, 457, 流吧！我的眼泪 
1391511, 42.7, 8.7, 975, 曙光中的机器人（上下） 
1391513, 44.9, 8.9, 1117, 机器人与帝国（上下） 
3431718, 44.6, 8.5, 1690, 卫斯理全集 
26617142, 30.0, 8.4, 161, 最后的猎巫人 
1075245, 42.5, 8.8, 848, 蚂蚁 
1418437, 50.1, 8.7, 3253, 安德的影子 
1391509, 43.3, 8.6, 1212, 裸阳 
26638272, 30.4, 7.2, 644, 天年 
19957024, 20.3, 7.6, 54, 湿婆之舞 
26598144, 26.9, 8.7, 77, 再生砖 
3136230, 29.5, 7.7, 293, 红火星（全两册） 
4720666, 40.7, 8.5, 880, 图夫航行记 
10570091, 33.2, 8.4, 277, 天堂的喷泉 
26777044, 22.2, 7.5, 84, 重启人 
4282061, 30.6, 7.8, 319, 科幻小说史 
25722933, 29.9, 7.8, 280, 穹顶之下（上下） 
1734009, 40.4, 8.5, 845, 沙丘之子 
26688708, 33.1, 8.8, 190, 大英雄时代 
6038876, 28.4, 8.6, 105, 科幻文学论纲 
25831464, 31.2, 6.9, 1192, 分歧者 
24699423, 28.0, 8.2, 135, 撒旦之锤 
3607224, 36.0, 8.5, 402, 实时放逐 
26352270, 30.8, 7.8, 335, 《三体》中的物理学 
25767894, 30.2, 8.2, 200, 武器浮生录 
2214337, 41.1, 8.9, 617, 星新一微型小说选 
4025049, 31.5, 7.8, 380, 末日之书 
5966315, 32.0, 9.2, 118, 呼吸--宇宙的毁灭 
4885073, 33.4, 8.2, 350, 脸上的门，口中的灯 
11597370, 31.7, 8.5, 196, 陶偶 
2158991, 25.5, 9.2, 45, More Than Human 
5395149, 34.6, 8.0, 536, 宇宙过河卒 
1959340, 35.9, 8.3, 484, 时间机器（中英双语） 
1906155, 39.0, 8.5, 662, 爱因斯坦赤道 
6016230, 32.7, 7.9, 428, Y先生的结局 
6265750, 38.2, 7.2, 3374, 三体X 
19977751, 30.6, 8.5, 165, 图案人 
26320237, 21.2, 7.8, 55, 苍穹浩瀚1：利维坦觉醒（上、下） 
1467492, 44.5, 9.0, 942, Blame! 1 
19894099, 32.7, 8.1, 345, 毛毛星球 
1424756, 35.2, 8.0, 607, 人类曾经被毁灭 
24739619, 28.1, 7.7, 224, 飞翔吧！大清帝国 
26314798, 17.1, 6.4, 81, Nature杂志科幻小说选集 
4326055, 44.8, 8.4, 1979, 微纪元 
25976704, 10.9, 6.9, 12, 意识零界之 赎灵师 
3724680, 35.1, 7.3, 1499, 外星人就在月球背面 
1204488, 48.1, 8.4, 3471, 格兰特船长的儿女 
6779980, 40.0, 7.4, 3518, 天命 
1275907, 49.6, 8.3, 5204, 八十天环游地球 
26302565, 22.9, 8.7, 40, 百年法(上) 
26260066, 24.7, 8.5, 61, 没有你的天堂 
26743284, 15.3, 7.9, 17, 圣迭戈 
1146266, 39.7, 8.0, 1370, 被毁灭的人 
24853106, 28.6, 8.2, 151, 利维坦号战记Ⅰ——飞越阿尔卑斯 
1140728, 40.9, 8.6, 810, 索拉利斯星·K星异客 
26649737, 25.1, 9.5, 36, 中国科幻年度坐标 
1758746, 36.8, 7.9, 905, 苍穹微石 
3576412, 30.8, 8.4, 184, 海，另一个未知的宇宙 
3021566, 37.5, 7.9, 1028, 我是传奇 
1469242, 35.0, 7.5, 1093, 日本沉没 
2221889, 46.9, 8.3, 3274, 无限恐怖 
20470853, 28.5, 7.4, 336, 地光 
19976976, 38.4, 9.1, 338, 回憶愛瑪儂 
3345595, 44.8, 8.5, 1748, 猫城记 
26609776, 24.1, 8.9, 43, 最糟的宇宙，最好的地球 
20415302, 21.0, 7.3, 80, 未来的夏娃 
5391812, 35.0, 7.8, 743, 风港 
25907864, 47.6, 9.6, 818, 守望者 下 
1433694, 34.4, 8.0, 516, 金羊毛 
2340613, 38.2, 8.1, 915, 2061太空漫游 
26283241, 25.7, 7.2, 237, 光与暗的生灵 
1150862, 33.3, 8.8, 197, 星新一短篇小说集 
1315569, 32.9, 8.5, 239, 羚羊与秧鸡 
25892730, 20.9, 7.5, 65, 屍者的帝國 
26366597, 18.8, 8.5, 23, 阿瑟•克拉克中短篇科幻小说集 
1157681, 38.4, 8.0, 1078, 外星屠异 
4720669, 31.0, 7.8, 347, 废园天使 
26769984, 13.6, 7.8, 13, 奥杜瓦伊峡谷的七个故事 
24529566, 24.4, 7.5, 132, 发条人偶 
11519001, 27.6, 7.3, 313, 末日爱国者 
1980793, 35.0, 8.5, 339, 王晋康科幻小说精选（全4册） 
2146031, 34.3, 9.2, 167, 科幻世界文库（全六册） 
26392016, 35.4, 7.7, 903, 未来边缘 
1935232, 21.6, 9.3, 24, Dirk Gently&#39;s Holistic Detective Agency 
10732280, 26.2, 7.5, 187, 时间旋涡 
24745622, 28.3, 8.3, 131, 太空将来时 
1130892, 40.3, 8.7, 660, 幽灵5号 
3684656, 30.9, 7.5, 482, 环形世界 
25886180, 23.9, 7.6, 108, 血音乐 
1812047, 32.4, 8.2, 292, 宇宙墓碑 
26303964, 22.1, 7.5, 83, 泰坦棋手 
1125417, 35.5, 7.8, 809, 日暮 
2216512, 37.9, 7.7, 1467, 冒死记录 
26824306, 15.7, 7.5, 23, 被删除的人 
5988701, 22.4, 7.4, 97, 三日而亡 
3293448, 20.7, 9.4, 20, The Man from Earth 
25831055, 25.6, 7.0, 294, 逃出母宇宙 
3607222, 33.6, 8.4, 298, 弗诺·文奇科幻小说集 
3266663, 44.0, 8.2, 2251, 魔鬼积木·白垩纪往事 
1228395, 34.4, 7.8, 657, 化身博士 
26420540, 24.3, 8.7, 50, 平面宇宙 
6827865, 28.3, 7.1, 472, 火星照耀美国 
5245576, 28.9, 8.8, 99, 星球大战前传三部曲·漫画限量典藏版 
10491574, 27.3, 7.8, 172, 这完美的一天 
3908305, 35.1, 7.4, 1286, 宿主 
6129292, 23.7, 7.1, 172, 移動迷宮 
3552454, 26.7, 8.3, 100, 蓝火星（全两册） 
2079387, 29.6, 8.3, 165, 猿猴世界 
4025048, 29.1, 7.8, 242, 阿努比斯之门 
1465602, 36.4, 8.1, 660, 七重外壳 
1767300, 34.1, 7.6, 794, 寄生前夜 
20278368, 30.0, 7.7, 322, 行尸走肉 
11529448, 25.1, 7.4, 169, 一秒之后 
2363135, 25.2, 6.8, 349, 米与盐的年代 
4027244, 29.8, 8.3, 170, 玛士撒拉之子 
1525866, 40.6, 8.9, 567, 蚂蚁时代 
1065102, 28.9, 8.3, 145, 鲵鱼之乱 
26591916, 21.9, 7.6, 73, 时间狂想故事集 
24253393, 30.5, 7.5, 450, 中国2185 
1159012, 40.2, 8.5, 813, 浪漫服务公司 
3448116, 20.2, 8.7, 26, Story of Your Life 
24283160, 44.7, 8.7, 1345, 间客 
26596367, 26.2, 8.1, 107, 完美末日 
4178272, 26.7, 7.5, 209, 奇点天空 
11507219, 24.0, 8.6, 51, 吞食上弦月的獅子 
5943269, 26.5, 8.2, 105, 创世纪 
1443395, 21.3, 7.7, 60, 一个废物艺术家的自白 
26657597, 28.0, 8.7, 92, 人和吞食者 
21724366, 29.3, 8.3, 157, 安德的流亡 
26264178, 25.6, 8.5, 71, 梦歌 
25743150, 18.5, 7.0, 61, The Circle 
5939400, 31.3, 7.8, 368, 猎梦人 
25789151, 26.6, 7.6, 185, 刘慈欣谈科幻 
10864154, 33.8, 8.3, 338, 刘慈欣卷：天使时代 
10765750, 24.5, 7.0, 233, 去年是个好年吧 
2040646, 41.3, 9.0, 578, 银河铁道999 
1427342, 34.6, 8.6, 292, 记忆 
1441006, 24.3, 8.8, 47, 太阳的金色苹果 
3284411, 39.8, 8.2, 1071, 头发 
1665390, 39.4, 8.0, 1291, 银河系公民 
25977531, 19.2, 7.1, 65, 艾达 
5355324, 25.9, 7.0, 315, 时间轴 
25817165, 21.2, 7.4, 75, 科幻宇宙生存指南 
