Tag: 童话 

ID, Score, Rating, Votes, Title 
1084336, 79.7, 9.0, 211135, 小王子 
6857344, 52.3, 8.5, 6093, 夜莺与玫瑰 
1119839, 61.4, 9.1, 11011, 王尔德童话 
1007952, 51.4, 9.4, 1719, 蓝熊船长的13条半命 
1433640, 61.8, 9.3, 8874, 猜猜我有多爱你 
1041128, 55.7, 8.5, 10724, 天蓝色的彼岸 
1907739, 52.9, 8.6, 5829, 当世界年纪还小的时候 
1982200, 51.6, 8.7, 4090, 爱德华的奇妙之旅 
1036274, 59.5, 8.5, 20120, 夏洛的网 
1046209, 68.9, 9.1, 34410, 安徒生童话故事集 
3608208, 65.4, 8.6, 45268, 牧羊少年奇幻之旅 
26921701, 18.0, 8.5, 20, 岛王 
1072319, 53.4, 8.5, 7338, 长腿叔叔 
3608235, 55.7, 8.5, 10824, 失物之书 
1001136, 57.6, 8.8, 9338, 彼得·潘 
4049269, 53.1, 9.5, 1969, 狐狸的窗户 
5993314, 48.8, 8.0, 7154, 安吉拉·卡特的精怪故事集 
1043008, 65.5, 8.9, 27844, 格林童话全集 
3689118, 45.2, 8.3, 2427, 梦想家彼得 
4826530, 52.4, 9.1, 2795, 我亲爱的甜橙树 
1855231, 45.8, 8.6, 1810, 银河铁道之夜 
1270150, 52.7, 9.3, 2316, 风与树的歌 
1012189, 41.2, 8.9, 622, 柳林风声 
1035848, 58.9, 8.6, 15698, 一千零一夜 
2361768, 61.0, 9.3, 7909, 爷爷变成了幽灵 
1004088, 55.7, 9.0, 5291, 长袜子皮皮 
1192700, 41.4, 9.0, 587, 永远讲不完的故事 
25982794, 37.4, 7.1, 3406, 世界上所有童话都是写给大人看的 
4097264, 46.1, 9.0, 1198, 小兔彼得和他的朋友们（全3册） 
26907738, 25.9, 9.0, 54, 圣诞男孩 
3141960, 26.6, 9.1, 56, 世界童话精选百篇 
22693008, 33.2, 8.2, 339, 兔子共和国 
1982096, 44.6, 8.4, 1915, 关于来洛尼亚王国的十三个童话故事 
26260642, 27.7, 8.8, 81, 岩崎千弘绘本经典系列（全三册） 
6735972, 42.1, 8.2, 1604, 兔子什么都知道 
1433572, 49.0, 9.2, 1508, 随风而来的玛丽阿姨 
3338175, 45.3, 7.9, 4366, 诗翁彼豆故事集 
2050767, 49.8, 8.6, 3532, 绿野仙踪 
1006770, 44.4, 8.4, 1858, 卡尔维诺文集（第一卷 上下） 
5299807, 38.9, 8.6, 589, 当世界还不存在的时候 
3554154, 65.3, 9.0, 23073, 阿狸·梦之城堡 
1030469, 48.6, 8.2, 5071, 青鸟 
3137185, 43.0, 8.8, 921, 阿米I-星星的孩子 
20379682, 30.7, 9.0, 113, 最美最美的中国童话 
1064841, 52.8, 9.0, 3352, 绿山墙的安妮 
1467519, 54.3, 9.8, 1690, 世界童话名著连环画 
1064532, 47.2, 8.5, 2604, 秘密花园（2册） 
1008459, 46.1, 9.0, 1195, 毛毛 
1941301, 60.2, 9.2, 8029, 365夜故事（上下） 
1257365, 58.5, 8.9, 9320, 活了100万次的猫 
1310673, 50.0, 9.3, 1559, 遥远的野玫瑰村 
1873569, 49.3, 9.3, 1414, 郑渊洁童话全集(33卷) 
1765512, 60.1, 9.1, 9053, 海的女儿 
2151785, 28.0, 8.7, 91, 宫泽贤治杰作选 
