Tag: 网络小说 

ID, Score, Rating, Votes, Title 
26886310, 47.9, 9.1, 1428, 有匪1 
1873231, 70.9, 8.8, 77446, 明朝那些事儿（壹） 
1882933, 58.7, 8.1, 35706, 鬼吹灯之精绝古城 
1003000, 64.3, 8.4, 53961, 悟空传 
26863353, 36.8, 9.0, 288, 贩罪 
1948901, 64.7, 8.4, 57436, 盗墓笔记 
1461903, 64.0, 8.0, 114048, 何以笙箫默 
3426869, 63.3, 8.3, 54644, 三生三世 十里桃花 
3674537, 68.2, 9.1, 30705, 明朝那些事儿（1-9） 
2326571, 58.3, 8.6, 14124, 琅琊榜 
26680113, 47.3, 8.6, 2326, 那个不为人知的故事 
2209098, 60.9, 7.9, 78735, 致我们终将逝去的青春 
5916880, 64.1, 8.6, 36597, 华胥引（全二册） 
1020459, 61.6, 8.4, 34349, 此间的少年 
3606570, 46.4, 8.3, 2983, 鹤唳华亭 
26904479, 32.7, 8.2, 309, 余罪7 
26331014, 47.0, 8.3, 3327, 怨氣撞鈴1·食骨 
26284304, 46.1, 8.1, 3749, 簪中录 
25767862, 39.2, 7.1, 5069, 如果蜗牛有爱情 
1805988, 45.9, 8.5, 2093, 庆熹纪事 
1316622, 55.5, 8.4, 12246, 诛仙1 
26043287, 37.9, 8.0, 989, 我的拖延症女友 
3155622, 52.8, 8.3, 8922, 庆余年·壹 
26578003, 44.9, 8.2, 2623, 无心法师 第一卷 
1926103, 55.5, 8.0, 24098, 鬼吹灯之云南虫谷 
3290028, 45.7, 8.5, 2038, 孤城闭 
26763013, 45.8, 8.5, 2080, 魔道祖师 
2376306, 52.5, 7.8, 20214, 第三种爱情 
2078225, 46.1, 7.9, 5121, 孤芳不自赏 
4922018, 43.8, 7.6, 5392, 斗破苍穹 2 
6953273, 56.9, 8.6, 11187, 盗墓笔记 
20501270, 43.2, 8.6, 1183, 大唐明月1·风起长安 
26755836, 39.8, 8.0, 1379, 余罪3 
1962929, 57.6, 8.0, 35160, 佳期如梦 
26712106, 35.5, 8.4, 412, 开封志怪 
24714636, 30.3, 6.5, 1957, 锦绣未央（1、2、3） 
3674353, 49.2, 7.7, 12886, 沥川往事 
6139592, 47.9, 8.1, 5193, 11处特工皇妃 
20282520, 32.4, 7.9, 404, 首席医官 
3522694, 50.2, 8.6, 3727, 史上第一混乱·第一季神仙预备役 
1916726, 54.0, 7.9, 22113, 鬼吹灯之龙岭迷窟 
3889682, 45.9, 8.4, 2389, 饕餮娘子 
4212812, 49.7, 8.7, 3017, 紫川（全五册） 
1812439, 58.4, 8.1, 33514, 步步惊心 
25728092, 42.2, 9.1, 600, 小张和小丽 
3705820, 43.4, 7.5, 5902, 斗罗大陆（全14卷） 
1024217, 53.2, 7.4, 51616, 第一次的亲密接触 
26745286, 40.6, 8.5, 867, 七根凶簡 套裝 
10468852, 46.1, 8.6, 1920, 海棠依舊: 知否? 知否? 應是綠肥紅瘦 卷一 
26863501, 24.4, 9.0, 43, 花开成毒 
26412956, 30.6, 9.5, 79, 首席医官 
25714176, 39.7, 8.1, 1205, 雪中悍刀行 1 
2331434, 54.6, 7.7, 36482, 原来你还在这里 
4922017, 35.9, 7.1, 2427, 斗破苍穹 1 
1437858, 51.8, 8.7, 4247, 天行健（全4册） 
3236155, 45.5, 8.9, 1221, 韦帅望的江湖 
2057285, 59.1, 8.2, 31808, 盗墓笔记2 
10468727, 38.0, 9.1, 318, 梵歌引.世间月 
4224758, 46.5, 7.3, 15973, 花千骨（上下） 
3183785, 48.6, 7.7, 11490, 爱你，是我做过最好的事 
26873783, 23.1, 8.8, 39, 仇敌1 
26648636, 36.5, 8.3, 544, 成化十四年（套装全3册） 
26688712, 21.4, 7.3, 86, 他站在夏花绚烂里 
10561209, 48.5, 8.9, 1956, 全职高手1·放逐斗神 
26365847, 42.3, 7.6, 4033, 美人为馅 
1925218, 48.7, 7.4, 20927, 翻译官 
3584141, 47.9, 8.1, 5165, 流水迢迢（全两册） 
24283160, 44.7, 8.7, 1345, 间客 
3561591, 53.3, 8.0, 16031, 凤囚凰（上中） 
1938591, 52.4, 7.8, 19810, 鬼吹灯之昆仑神宫 
4136640, 38.5, 7.1, 4276, 盛开 
2143487, 44.8, 8.0, 3467, 茅山后裔1 
2048364, 54.7, 8.1, 17465, 独步天下（上下卷） 
2971446, 49.5, 8.4, 4384, 桃花债 上 
2004407, 54.5, 8.1, 16955, 后宫·甄嬛传Ⅰ 
2078219, 52.5, 8.0, 14007, 且试天下1 
1886385, 54.7, 8.1, 17480, 来不及说我爱你 
3015088, 39.8, 7.6, 2457, 极品家丁 1 
3061282, 49.8, 7.6, 17371, 山月不知心底事 
4135947, 47.0, 7.9, 6007, 天子谋 
4115227, 49.8, 7.5, 21217, 岁月是朵两生花 
26689989, 41.5, 8.0, 1878, 余罪2 
26793349, 34.7, 8.6, 294, 桃花债 
2149655, 49.4, 7.7, 13307, 鬼吹灯Ⅱ之一·黄皮子坟 
26732446, 31.1, 6.9, 1164, 你丫上瘾了 
2221889, 46.9, 8.3, 3274, 无限恐怖 
25832787, 39.2, 8.8, 501, 惊悚乐园1 
2129362, 50.7, 8.0, 10013, 帝王业（上下） 
25768277, 39.6, 8.0, 1330, 苗疆蛊事1 
26341728, 36.3, 8.4, 466, 山河表里 
26778494, 40.1, 9.2, 398, 大哥（下） 
3684873, 40.1, 8.5, 798, 长大 
2265312, 48.3, 7.7, 10777, 鬼吹灯Ⅱ之二·南海归墟 
26858009, 32.6, 7.8, 469, 余罪6 
2283084, 55.7, 8.2, 17459, 云中歌1 
4192766, 40.9, 7.7, 2599, 凡人修仙传（1-10） 
3034184, 50.3, 8.0, 9404, 鬼吹灯Ⅱ之四巫峡棺山 
23795254, 47.0, 8.0, 5172, 骄阳似我 
5984284, 37.0, 7.5, 1641, 斗破苍穹3·寻找异火 
1489555, 51.7, 7.8, 17079, 寂寞空庭春欲晚 
4766047, 46.8, 8.0, 4987, 祸国 
2009825, 51.0, 7.6, 22179, 绾青丝Ⅰ 
26853361, 37.2, 8.7, 405, 夜旅人 
2354969, 46.9, 8.2, 3727, 衣香鬓影 
25851002, 42.5, 8.1, 1973, 世界微尘里 
3903387, 48.0, 7.7, 10275, 香蜜沉沉烬如霜 
5068504, 35.9, 7.4, 1513, 十五年等待候鸟 
1748232, 50.2, 8.0, 9219, 忽而今夏 
10527811, 38.7, 8.5, 633, 官居一品（全七册） 
4842735, 44.8, 8.4, 2001, 海妖 
