Tag: 美国文学 

ID, Score, Rating, Votes, Title 
26425831, 56.5, 8.8, 7853, 斯通纳 
26831234, 41.8, 8.7, 848, 不属于我们的世纪 
6781808, 59.3, 9.2, 6929, 杀死一只知更鸟 
26890281, 40.7, 8.2, 1262, 漫长的中场休息 
26382433, 59.0, 8.2, 31520, 无声告白 
26864983, 30.4, 8.5, 159, 思家小馆的晚餐 
26340138, 56.1, 7.7, 48799, 岛上书店 
26366140, 22.9, 8.3, 52, M Train 
19962936, 50.4, 8.7, 3398, 只是孩子 
26264154, 43.1, 8.6, 1165, 悲伤与理智 
1424741, 60.1, 8.5, 22323, 心是孤独的猎手 
4010969, 54.5, 7.8, 29433, 当我们谈论爱情时我们在谈论什么 
1456311, 39.9, 8.5, 770, Of Mice and Men 
26871658, 29.0, 8.8, 100, 爱有失落时 
4105446, 52.8, 8.1, 12454, 十一种孤独 
26823134, 30.5, 8.1, 230, 困扰种种 
10537633, 37.0, 8.2, 660, 克苏鲁神话 
26431326, 44.9, 8.9, 1120, 所有我们看不见的光 
26732624, 35.4, 8.3, 448, 精神病患 
26765928, 36.4, 8.4, 480, 屠夫十字镇 
25829693, 59.5, 9.0, 9406, 永恒的终结 
26770722, 29.6, 8.2, 179, 一个人的面包屑生活 
26269845, 39.2, 8.1, 1102, 唯有孤独恒常如新 
10569619, 50.0, 8.5, 4187, 自由 
26801361, 35.3, 9.2, 195, 鹿苑长春 
26300508, 43.4, 8.7, 1105, 万物的签名 
1052074, 49.0, 8.7, 2725, 喧哗与骚动 
1962078, 34.1, 8.6, 268, 校园秘史 
26723433, 31.7, 7.6, 505, 冬日笔记 
26767242, 32.5, 8.6, 207, 亲爱的阿道夫 
6016234, 50.6, 8.8, 3057, 奇风岁月 
5920385, 53.5, 8.2, 11855, 肠子 
26689063, 39.2, 8.2, 976, 卡罗尔 
26430928, 30.0, 7.4, 460, 如何独处 
26787943, 28.0, 8.4, 116, 消失的殖民星球 
1092335, 62.0, 8.9, 16014, 教父 
6746290, 42.5, 8.9, 764, 奥丽芙·基特里奇 
4245064, 47.3, 8.6, 2349, 冷血 
26297872, 22.7, 8.2, 54, 北美殉道者花园 
24541883, 49.2, 8.1, 6500, 消失的爱人 
3151990, 51.9, 8.5, 5756, 达摩流浪者 
26371317, 51.1, 8.2, 7845, 24个比利 
2161892, 51.8, 8.5, 5576, 九故事 
26653000, 32.8, 8.1, 348, 金翅雀 
3393056, 46.8, 8.2, 3682, 流动的盛宴 
26722307, 32.5, 7.9, 408, 暗夜独行客 
26665498, 35.9, 7.5, 1310, 生命中最简单又最困难的事 
3090810, 42.8, 8.8, 887, 五号屠场 
3316438, 46.8, 8.3, 3175, 孤独及其所创造的 
3640067, 48.2, 8.7, 2377, 革命之路 
26264210, 35.0, 7.8, 740, 几乎没有记忆 
3327495, 40.9, 8.3, 1147, 万有引力之虹 
26813101, 32.4, 8.4, 242, 暗杀大师：寻找伦勃朗 
1438394, 35.1, 8.4, 382, 更多的人死于心碎 
3335362, 53.9, 8.5, 8032, 大教堂 
3926717, 50.1, 8.5, 4240, 雷蒙德·卡佛短篇小说自选集 
25900802, 35.1, 7.6, 968, 我在底层的生活 
26690624, 30.6, 8.6, 151, 她们 
1088812, 47.3, 8.3, 3470, 第二十二条军规 
26742636, 30.7, 9.0, 113, 鸟人 
26412776, 28.8, 7.9, 207, 巴塞尔姆的60个故事 
1883353, 55.1, 8.8, 6313, 野性的呼唤 
5321895, 44.3, 8.3, 2060, 那些忧伤的年轻人 
26755625, 30.7, 8.2, 219, 妈妈走的那一年 
1874411, 48.6, 8.5, 3310, 乞力马扎罗的雪 
26823150, 22.4, 7.7, 74, 脏工作 
10564102, 38.8, 8.1, 1025, 单身（50周年典藏纪念版） 
26789635, 29.0, 8.6, 117, 殡葬人的秘密 
4105444, 43.7, 8.5, 1467, 复活节游行 
26834592, 27.2, 8.8, 75, 夏日遇见狄更斯 
20444771, 37.0, 8.9, 325, 血色子午线 
26899141, 16.6, 7.8, 23, 千百种罪 
10763918, 30.7, 8.3, 200, 一路两个人 
2036569, 41.0, 8.2, 1322, 愤怒的葡萄 
2170030, 39.1, 8.0, 1215, 白鲸 
6861517, 42.8, 8.5, 1260, 时时刻刻 
26840502, 15.8, 8.5, 14, 翡翠城 
1174721, 45.6, 8.4, 2276, 丧钟为谁而鸣 
24715669, 43.8, 8.9, 937, 少数派报告 
4213981, 42.7, 8.4, 1379, 好人难寻 
5321892, 40.7, 8.8, 644, 不适之地 
2251691, 47.5, 8.7, 2115, 弗兰妮与祖伊 
26295450, 43.5, 8.7, 1114, 软件体的生命周期 
20493367, 42.7, 8.5, 1242, 爱伦·坡暗黑故事全集（上册） 
3821057, 52.3, 8.6, 5260, 搏击俱乐部 
2973335, 43.9, 8.6, 1331, 微暗的火 
6805144, 29.5, 7.9, 236, 老巴塔哥尼亚快车（套装上下册） 
4891196, 31.6, 7.7, 436, 智血 
5448179, 40.6, 8.0, 1619, 别的声音，别的房间 
1767750, 26.9, 9.0, 63, Infinite Jest 
10483439, 38.9, 8.4, 731, 上升的一切必将汇合 
26821757, 35.2, 8.4, 390, 他们说，我是幸运的 
2214350, 48.6, 8.4, 3793, 幻影书 
2669319, 50.0, 9.0, 2205, Flipped 
21778349, 40.1, 8.2, 1136, 苦水音乐 
1083429, 48.6, 8.7, 2538, 爱伦·坡短篇小说集 
26574813, 23.7, 9.1, 36, 婚变 
6060418, 39.8, 8.3, 961, 年轻的心在哭泣 
26258374, 33.4, 8.6, 240, 爱丽尔 
26346222, 35.0, 8.3, 419, 美好的事物无法久存 
6085417, 33.7, 8.4, 305, 遗产 
25805143, 33.5, 8.5, 264, 他方世界 
6440324, 38.9, 8.4, 733, 人各有异 
6124813, 31.9, 8.1, 296, 纽约兄弟 
24871651, 35.8, 8.8, 293, 爱达或爱欲 
6791412, 42.3, 8.8, 824, 炽焰燃烧 
2061644, 51.6, 8.2, 8580, 伤心咖啡馆之歌 
20375515, 36.4, 8.2, 596, 重生：桑塔格日记与笔记1947～1963 
