Tag: 职场 

ID, Score, Rating, Votes, Title 
2256039, 60.4, 7.8, 88427, 杜拉拉升职记 
26911011, 28.8, 8.3, 144, 名丽场 
24753751, 50.6, 8.1, 8389, 向前一步 
4326057, 45.9, 8.9, 1303, Excel图表之道 
26838695, 28.0, 8.2, 137, 12个工作的基本 
26641761, 33.4, 8.0, 436, 横向领导力 
26883144, 21.9, 8.3, 44, 清晰表达的艺术：打造高效的职场沟通 
3558629, 50.2, 8.4, 4933, 小强升职记 
25948154, 36.8, 7.7, 1186, 扛得住，世界就是你的 
5913475, 42.1, 8.2, 1615, 高难度谈话 
26807400, 37.7, 8.9, 362, 成功心理学 
26288194, 32.4, 9.1, 136, 权力与领导（第5版） 
26663916, 34.7, 8.2, 443, 沟通圣经 
1039311, 43.3, 8.4, 1533, 职场动物进化手册 
2158889, 36.5, 8.3, 544, 权力的48条法则 
26781120, 30.7, 8.2, 219, 优秀到不能被忽视 
26590171, 30.0, 7.3, 521, 做事的常识 
26379069, 28.9, 7.2, 468, 麦肯锡入职培训第一课 
11516220, 40.1, 8.6, 714, 第2份工作 
26590267, 36.4, 7.5, 1460, 工作前5年，决定你一生的财富 
5360180, 34.2, 8.5, 299, 说话就是生产力 
3896758, 38.4, 8.4, 675, 参谋助手论 
26882462, 24.9, 6.7, 372, 你从未真正拼过 
25980669, 29.9, 7.1, 663, 带人的技术 
6712457, 41.4, 8.2, 1436, 你早该这么玩Excel 
26388790, 30.9, 8.1, 248, 交办的技术 
3313363, 43.9, 8.5, 1509, 演说之禅 
6404010, 41.8, 7.9, 2306, 不懂项目管理，还敢拼职场 
26848745, 19.5, 8.3, 29, 转行：发现一个未知的自己 
10446295, 37.1, 8.1, 748, 权力 
3043491, 49.0, 7.7, 12259, 浮沉 
24745639, 36.2, 7.8, 918, 麦肯锡教我的写作武器 
3664754, 48.4, 8.1, 5709, 米娅，快跑 
5399425, 38.1, 8.4, 634, 销售就是要搞定人 
2309689, 49.8, 8.0, 8509, 圈子圈套1 
6428387, 38.3, 8.5, 595, 小艾上班记 
25731751, 34.5, 7.8, 668, 99%的新人，没用心做好的50件事 
26308014, 33.2, 7.4, 879, 联盟 
2250259, 43.8, 8.1, 2473, 这些道理没有人告诉过你 
20434393, 34.5, 8.0, 534, 销售无处不在 
24902403, 31.2, 9.2, 106, 忙总管理笔记 
4846035, 38.6, 7.6, 1930, 干法 
26895181, 23.4, 7.4, 118, 贵圈 
26922983, 19.2, 8.9, 20, 演讲的本质 
24746256, 31.7, 8.0, 316, 和秋叶一起学PPT 
4243135, 39.5, 7.4, 3172, 别告诉我你懂PPT 
5289426, 37.9, 7.4, 2269, 在云端 
3002878, 48.0, 8.7, 2320, 优势谈判 
4604592, 37.6, 7.5, 1828, 说服力 让你的PPT会说话 
11625032, 38.6, 7.4, 2658, 欢乐颂  第一季 
10586741, 41.0, 8.3, 1182, 关键对话 
25870384, 44.4, 8.4, 1845, 你的生命有什么可能 
10799765, 31.3, 7.6, 464, 盖洛普优势识别器2.0 
3808887, 42.1, 7.5, 4575, 做单 
26866300, 34.9, 9.1, 197, 光芒纪·微光 
1790456, 38.5, 7.5, 2188, 专业主义 
25957554, 43.6, 8.0, 2768, 在不安的世界安静的活 
26799348, 34.8, 8.5, 331, 演讲的力量 
3323987, 49.0, 7.3, 26915, 杜拉拉2华年似水 
20622712, 30.6, 6.9, 1057, 给你一个团队，你能怎么管？ 
26839363, 17.6, 7.1, 46, 请用数据说话 
26761859, 34.6, 7.9, 610, 精要主义 
25779342, 33.3, 7.7, 601, 麦肯锡教我的思考武器 
1311874, 34.5, 8.4, 344, 说服 
26770999, 28.7, 8.5, 119, 斯坦福大学创业成长课 
26892462, 26.7, 9.4, 48, 职场小白脱菜手册 
20366371, 31.5, 8.1, 277, 找我1 
6085181, 49.5, 8.1, 6933, 二号首长 
1827578, 44.9, 7.6, 6630, 输赢 
20470494, 29.4, 8.1, 192, 职场成人礼 
1958394, 37.6, 7.8, 1195, 工作DNA 
1038977, 40.9, 8.6, 815, 谈判是什么 
25827813, 30.2, 8.7, 130, 不会写，怎敢拼外企——TCS三级跳 解析商务英语写作经典案例 
4832553, 48.0, 8.2, 4540, 侯卫东官场笔记 
26589583, 25.1, 7.7, 126, 准备好了吗？开始工作吧！ 
26333046, 26.7, 7.4, 234, 替这个残酷世界给你的一记温柔耳光 
2063630, 31.1, 8.1, 257, 疯狂的功成名就 
3864320, 41.4, 7.7, 2867, 潜伏在办公室 
1911519, 38.9, 8.4, 731, 不得往生 
25750684, 28.0, 7.9, 180, 坚强工作，温柔生活 
24870849, 25.0, 6.8, 337, 不懂带人，你就自己干到死 
2339850, 37.2, 8.6, 445, 回家 
4773741, 46.0, 7.5, 9888, 杜拉拉3 
26723536, 21.4, 7.3, 87, 争辩力 
26920886, 14.9, 8.0, 15, 那些人人都懂的销售技巧，你就别再用了 
6960889, 32.3, 8.2, 287, PPT,要你好看 
26789037, 15.8, 7.2, 29, 让全世界都看见你 
3235517, 37.6, 7.8, 1205, 自慢 
26627873, 28.6, 7.2, 442, 格局逆袭 
20434432, 33.9, 7.4, 1015, 趁年轻.折腾吧 
25873066, 29.1, 7.1, 564, 麦肯锡工作法 
4100407, 47.0, 8.0, 5125, 浮沉2 
1277389, 38.7, 8.3, 790, 食荤者 
26919468, 15.1, 8.4, 13, 高情商沟通术 
3267887, 38.1, 7.6, 1759, 一个外企女白领的日记 
20616993, 30.3, 6.6, 1602, 洗脑术 
3359739, 44.6, 7.7, 5266, 格子间女人 
25742411, 32.1, 7.3, 807, 亲历投行 
4273386, 34.7, 7.8, 695, PPT演示之道 
10588814, 33.1, 8.4, 274, 魏斯曼演讲圣经1 
26780215, 19.3, 6.2, 185, 你的团队需要一个会讲故事的人 
1448392, 22.5, 8.4, 45, 把握你的职业发展方向 （第五版） 
20507359, 26.7, 7.5, 208, 不要一大早就刷微博 
2257609, 48.2, 8.0, 6380, 圈子圈套3 
20259330, 34.1, 6.9, 2340, 欢乐颂  第三季 
21214033, 26.0, 8.0, 112, 大手笔是怎样炼成的 
4758385, 34.2, 8.0, 503, 要么拯救世界，要么滚回家！[英汉对照] 
26215636, 33.6, 7.9, 504, 职场不逃跑 
1853323, 48.0, 7.9, 7197, 圈子圈套2 
25916588, 18.9, 6.8, 82, 向上汇报 
26857732, 14.1, 7.7, 15, 新鲜感 
21248826, 19.5, 7.6, 46, “升职超人”教你旋风成长法则 
26779688, 33.4, 8.4, 286, 做出好决定 
26708826, 22.0, 7.5, 82, 不懂说话，你怎么带团队？ 
25919339, 27.9, 7.5, 266, 失业这件小事儿 
7065290, 27.7, 7.4, 284, 我把一切告诉你1 
3373994, 25.6, 9.3, 43, 怎样对付小报告 
25938970, 30.5, 7.5, 450, 现在的泪，都是当年脑子进的水 
26207447, 23.9, 9.6, 29, 未生 
25720281, 22.1, 9.2, 27, 空降总监治乱记 
4988498, 27.3, 8.1, 132, 地头力 
19945741, 32.7, 8.0, 381, 趋势的力量 
10770543, 28.6, 8.2, 152, 职场竞争力 
10796954, 33.4, 7.7, 619, 商业模式新生代（个人篇） 
26832523, 17.7, 8.3, 21, 完全图解超实用思考术 
1055881, 30.9, 7.4, 545, 你的降落伞是什么颜色？ 
26293220, 30.4, 7.7, 347, 像TED一样演讲 
3432304, 49.7, 9.1, 1867, 大江东去（共三部） 
1004506, 32.4, 8.1, 325, 就业宝典 
26914073, 26.4, 9.4, 46, 小风暴1.0 
26833520, 17.0, 7.5, 30, 麦肯锡不外流的简报格式与说服技巧 
4246477, 30.1, 7.5, 414, 问题解决力 
2228271, 21.3, 7.8, 56, 职场小黑书 
6536593, 36.1, 8.4, 454, 领导梯队 
21329264, 28.1, 7.2, 397, 谁是谷歌想要的人才 
26836278, 21.3, 8.0, 48, 和秋叶一起学职场技能 
26665530, 28.1, 8.1, 150, 穿着高跟鞋奔跑 
26794518, 26.3, 7.8, 144, 25岁，如何规划你的人生 
6430918, 19.1, 7.3, 54, 20几岁要懂得的手段和心计大全集 
1396617, 34.1, 8.1, 441, 像青蛙一样思考 
3682751, 34.7, 7.7, 784, 谈判力 
26767030, 19.2, 7.3, 55, 关键洞察力 
3376907, 36.6, 7.8, 995, 思科九年 
24318966, 33.4, 8.4, 289, 我在哈佛的最后一堂课 
26895865, 16.4, 8.4, 16, 线下社交：网络之外，才是真正属于你的圈子 
4309469, 23.0, 9.4, 28, FYI For Your Improvement 
26350953, 21.3, 8.5, 35, 别怕，Excel函数其实很简单 
26681616, 25.5, 7.8, 123, 在人生拐角处 
26801475, 22.5, 8.3, 48, 一个HRD的真实一年 
2702253, 22.9, 8.7, 40, 怎样写领导讲话稿 
26798857, 34.5, 7.9, 595, 让未来现在就来 
6011734, 33.3, 7.6, 686, 说服力 
19977115, 34.0, 7.5, 903, 摸着石头过河 
1963831, 29.0, 7.6, 295, 像希拉里那样工作-像赖斯那样成功 
11527017, 29.2, 8.2, 168, 你早该这么玩Excel-II 
4886883, 33.0, 7.5, 736, 将才 
24881104, 21.3, 6.4, 236, 像间谍一样思考 
26771324, 19.2, 8.0, 33, 这样做指导，难带员工变能干 
26812639, 18.0, 7.6, 34, 99%的员工，没用心做足的55件事 
26145094, 28.4, 7.8, 211, 结构思考力 
