Tag: 营销 

ID, Score, Rating, Votes, Title 
1786387, 61.0, 8.6, 22060, 影响力 
1894695, 47.8, 9.0, 1555, 营销管理 
1017180, 49.8, 8.3, 5374, 定位 
3900987, 44.7, 7.7, 5361, 引爆点 
1031526, 50.8, 8.4, 5521, 一个广告人的自白 
3869711, 40.9, 8.2, 1298, 消费者行为学 （第8版·中国版） 
5914475, 43.1, 8.0, 2520, 无价 
20473412, 41.6, 8.0, 1917, 品牌洗脑 
24854628, 34.3, 7.9, 569, 文案创作完全手册 
1083403, 47.3, 8.0, 5413, 世界上最伟大的推销员 
26688605, 28.1, 6.9, 594, 认同感：用故事包装事实的艺术 
26541801, 39.1, 7.9, 1407, 增长黑客 
1913066, 38.1, 8.8, 425, 市场营销原理 
3320425, 33.7, 8.3, 331, 跨越鸿沟 
25942507, 43.7, 7.5, 6251, 参与感 
26270679, 40.8, 8.0, 1657, 零售的哲学：7-Eleven便利店创始人自述 
25779152, 38.1, 8.3, 707, 超级符号就是超级创意 
1000900, 38.9, 8.2, 920, 顾客为什么购买 
24541955, 43.5, 8.0, 2739, 史玉柱自述 
3794450, 38.5, 8.5, 608, 细节营销 
1013638, 36.0, 8.7, 330, 销售巨人1 
5399425, 38.0, 8.4, 632, 销售就是要搞定人 
25714687, 27.0, 9.2, 56, 文化战略 
4246667, 35.2, 7.6, 986, 粘住 
3631947, 37.5, 8.1, 814, 销售圣经 
20434393, 34.5, 8.0, 534, 销售无处不在 
6753830, 35.6, 7.8, 832, 文案训练手册 
10484709, 28.1, 8.2, 139, 让顾客自己来定价 
2151324, 30.9, 8.5, 173, 市场营销原理 
25804890, 32.2, 7.5, 629, 疯传 
26591077, 28.1, 8.1, 151, 销售就是要玩转情商：99%的人都不知道的销售软技巧 
22229485, 34.3, 7.8, 652, 需求 
3419122, 42.2, 8.4, 1270, 22条商规 
3063888, 39.5, 8.5, 719, 我的广告生涯&amp;科学的广告 
4216944, 40.2, 8.8, 595, 卖轮子 
6801742, 31.7, 7.5, 562, 人生定位 
3002878, 48.0, 8.7, 2320, 优势谈判 
4851372, 36.1, 8.4, 454, 怎样卖龙虾 
6509957, 33.7, 8.3, 331, 洞见 
2015536, 31.5, 8.1, 279, 消费者行为学 
3622624, 32.2, 8.3, 256, 绝对成交 
6851648, 29.3, 7.4, 392, 迷恋 
1101267, 35.0, 8.2, 466, 营销战 
1074945, 39.1, 8.5, 671, 奥格威谈广告 
24738953, 28.2, 7.1, 460, 疯狂的简洁 
26931324, 16.2, 8.1, 18, 运营笔记 
24872319, 31.6, 8.1, 284, 理性的非理性 
6999354, 35.4, 8.1, 552, 玩法变了 
26828718, 25.4, 8.8, 56, 社群营销 
6052860, 41.2, 7.2, 6463, 海底捞你学不会 
3932520, 40.4, 7.5, 3255, 免费 
26710938, 22.6, 6.9, 169, 爆款：如何打造超级IP 
26817189, 23.2, 8.2, 59, 谁偷走了我的客户（第2版） 
26782574, 20.7, 8.7, 28, 整合：实现商业转型的7大法则 
1085646, 26.9, 7.7, 176, 商业秀 
3625123, 32.0, 8.6, 190, 销售的革命 
26857846, 15.5, 7.5, 22, 销售洗脑 
3396111, 34.9, 7.9, 644, 网络营销实战密码 
