Tag: 讽刺 

ID, Score, Rating, Votes, Title 
1088812, 47.3, 8.3, 3471, 第二十二条军规 
10764363, 45.7, 9.2, 914, 是，大臣 
3394338, 54.0, 7.5, 49188, 他的国 
20425489, 41.6, 9.3, 454, 是，首相 
1058679, 55.1, 8.7, 7246, 人·兽·鬼 
19987957, 37.9, 7.3, 2665, 寡人有疾 
1029957, 32.4, 7.8, 454, 大狗:富人的物种起源 
1444225, 38.3, 7.3, 2895, 那么，爱呢？ 
5939312, 49.3, 8.2, 5728, 超·杀人事件 
3345595, 44.8, 8.5, 1749, 猫城记 
6539848, 31.5, 8.3, 229, 爱是一种病 
1962249, 37.4, 8.3, 630, 换位 
1042053, 45.0, 8.1, 3115, 儒林外史 
1212486, 40.7, 8.5, 888, 马克·吐温中短篇小说选 
4213995, 48.6, 7.7, 11513, 黑笑小说 
1987674, 25.0, 8.4, 69, 红房间 
10765457, 28.7, 7.8, 223, 高潮 
2033688, 29.0, 8.8, 100, 会说话的猪 
6791962, 36.8, 8.9, 312, 契科夫短篇小说精选 
4718973, 47.9, 7.8, 8417, 毒笑小说 
1491853, 47.0, 8.2, 3795, 变色龙 
1813973, 30.0, 8.9, 109, Politically Correct Bedtime Stories 
2053682, 26.3, 9.5, 43, 老舍幽默文集 
4898668, 36.1, 8.4, 451, 缺月梧桐 
26259092, 27.9, 7.5, 264, 山上有神 
1197838, 25.9, 7.6, 162, 老实人 
1022928, 27.6, 8.2, 127, 现在可以说了 
1959270, 40.3, 8.0, 1516, 小世界 
26586889, 37.0, 9.0, 295, 阿城精选集 
1042702, 34.8, 8.3, 405, 钦差大臣 
5321843, 36.3, 6.5, 8654, 假装的艺术 
1926594, 30.5, 8.8, 127, 羊奶煮羊羔 
1320188, 34.1, 7.7, 704, ￥19.99 
3143383, 31.4, 8.0, 304, 马伯乐 
3306340, 26.2, 8.9, 60, A Modest Proposal 
4139280, 30.4, 7.1, 740, 乔布斯的秘密日记 
6558214, 28.2, 7.5, 283, 反语 
25773634, 20.6, 8.2, 37, 爱孩子的男人 
26276283, 24.2, 7.7, 104, 人民公仆 
3774646, 40.9, 8.2, 1314, 平面国 
1000856, 49.1, 7.9, 8910, 我是猫 
3215539, 28.2, 7.9, 186, 蓝袍先生 
6863339, 29.2, 8.1, 184, 梦见街 
26668248, 15.8, 7.4, 25, 东野圭吾在坏笑 
1430000, 21.4, 8.1, 46, 野猫精 
5248331, 35.9, 7.9, 765, 庸见词典 
24289267, 27.8, 8.9, 77, Mox Nox 
1168541, 23.9, 7.5, 118, 死亡与国王的侍从 
4140451, 37.1, 8.4, 535, 潘达雷昂上尉与劳军女郎 
1144298, 29.7, 8.4, 153, 莫泊桑短篇小说选 
1084204, 25.7, 8.2, 91, 老实人 
1014531, 26.9, 8.2, 112, 十二把椅子 
1144294, 29.4, 8.6, 123, 唐吉诃德（上下册） 
2133033, 31.1, 7.1, 867, 漫画兔的自杀 
1092246, 46.5, 8.1, 4044, 百万英镑 
25765030, 21.6, 8.0, 51, 再也不得安宁 
1962248, 34.4, 8.3, 377, 好工作 
1453210, 53.0, 7.4, 50278, 一座城池 
25737817, 21.3, 8.0, 48, 黑色恶作剧 
6742586, 48.2, 7.8, 8858, 我不是潘金莲 
2030633, 18.0, 8.5, 20, 俏皮话 
25734531, 22.7, 8.4, 47, 斯文扫地 
1152701, 46.7, 7.7, 7933, 漂亮朋友 
2156635, 35.6, 7.5, 1240, 有人喜欢冷冰冰 
1453852, 30.1, 9.0, 103, 大红脸 
3574251, 30.7, 9.3, 91, 季诺疗法 
6893858, 23.8, 8.2, 65, 不朽者 
1258498, 56.9, 8.3, 18211, 项链 
1326853, 26.4, 8.4, 88, 钦差大臣 
3903121, 36.8, 8.9, 316, 第六病室 
1927504, 18.7, 7.3, 49, 萨基短篇小说选 
10539157, 23.7, 7.2, 155, 不如就上商学院 
2035179, 68.6, 9.2, 28057, 动物农场 
1182750, 34.0, 8.4, 317, 马克·吐温短篇小说选集 
2264071, 22.7, 8.6, 41, The Daily Show with Jon Stewart Presents America (The Book) Teacher&#39;s Edition 
1035475, 39.8, 8.2, 1077, 好兵帅克历险记 
4264003, 46.2, 7.4, 12361, 名侦探的守则 
6771942, 37.2, 9.2, 259, 1984 
3810675, 25.9, 7.2, 247, 大实话 
1330303, 21.8, 7.8, 61, 董贝父子 
1872343, 40.8, 8.5, 893, 絕望先生 01 
1891048, 21.3, 9.4, 22, 絕不付帳 
1010898, 46.1, 7.6, 8382, 格列佛游记 
3238521, 31.2, 8.9, 131, 王尔德童话 
1446557, 19.0, 8.1, 30, 里柯克幽默小品选 
2300532, 21.3, 8.1, 45, 契诃夫幽默讽刺小说选 
1420500, 38.6, 8.4, 697, 百万英镑 
2137525, 23.5, 7.8, 85, Tik-Tok 
1125640, 26.6, 8.0, 126, 不祥的蛋 
5366486, 25.2, 7.2, 214, 我如何成为一名畅销书作家 
5333069, 20.9, 7.5, 65, 唐僧写给观音的36封信 
3814266, 19.9, 7.4, 58, 居辽同志兴衰记 
3436130, 24.6, 8.3, 70, 大卫·考坡菲（下册） 
1783378, 25.1, 8.1, 88, 岂有此理 
1982096, 44.6, 8.4, 1915, 关于来洛尼亚王国的十三个童话故事 
1418686, 58.0, 8.6, 13550, 红拂夜奔 
4906151, 21.2, 8.3, 39, 白眼狼 
1143899, 35.6, 7.7, 935, 一点正经没有 
1055536, 37.5, 8.9, 350, 埃梅短篇小说选 
3770726, 43.0, 7.7, 3906, 草 
1029323, 23.6, 7.5, 112, 有多少爱可以胡来 
1000517, 53.9, 8.8, 5177, 故事新编 
1395228, 37.1, 8.5, 484, 五号屠场 
2037994, 26.2, 8.1, 107, 西游怪记 
6428818, 39.3, 8.4, 786, 田园交响曲 
1075929, 22.8, 8.0, 63, 我们都是木头人 
26277046, 12.8, 7.5, 13, 澡盆故事 
4903440, 39.3, 7.1, 5154, 名侦探的诅咒 
2265954, 37.8, 8.2, 763, 文学部唯野教授 
1049899, 25.0, 7.9, 102, 灰姑娘 
20278399, 17.9, 7.3, 42, 喜剧演员 
24540864, 43.5, 6.8, 24545, 第七天 
1788928, 27.6, 7.7, 200, 富人秀 
1088065, 62.5, 8.6, 28150, 阿Q正传 
1733250, 48.6, 8.4, 3804, 韩寒五年文集（上下） 
3871911, 48.3, 8.4, 3597, 大树 
2251415, 31.8, 9.0, 134, 谁家老婆上错床 
1274159, 27.7, 8.2, 128, 猫城记 小坡的生日 
4729520, 19.8, 7.0, 82, 鸟人 
1321789, 54.6, 8.5, 8903, 美丽新世界 
10590920, 12.8, 7.1, 16, 唐.吉诃德 
1090575, 48.4, 8.5, 3189, 金拇指 
6425566, 14.2, 7.1, 22, 西游无间道 
6966453, 16.4, 6.9, 42, 妻与罚 
1286901, 22.1, 8.5, 40, 李柯克幽默作品选 
3539819, 11.1, 6.2, 20, Pygmy 
3746014, 17.7, 7.8, 28, 爱伦·坡幽默小说集 
2021489, 34.1, 9.0, 190, 絕望先生 03 
6902639, 53.5, 7.9, 20117, 青春 
1483285, 39.1, 7.6, 2153, 有关品位 
20497889, 43.3, 7.4, 6933, 全世界人民都知道 
1063461, 16.7, 7.2, 35, 启蒙教授漫游记 
1849791, 48.8, 8.5, 3390, 铁皮鼓 
3136271, 57.5, 8.6, 12467, 罗生门 
20419266, 14.7, 7.6, 18, 蓝色城堡 
1966313, 11.9, 7.3, 12, 包法利夫人 
1015767, 45.7, 8.0, 4096, 门萨的娼妓 
1119528, 49.1, 7.9, 8860, 高老头 
5920385, 53.5, 8.2, 11858, 肠子 
1031354, 40.9, 8.0, 1705, 死魂灵 
10554709, 40.6, 8.6, 776, 第二十二条军规 
1112323, 29.5, 8.6, 125, 哈克贝利·费恩历险记 
4320888, 22.2, 8.7, 36, 外国中短篇小说藏本·莫泊桑 
2143762, 25.1, 7.3, 186, 男人底线 
2264071, 22.7, 8.6, 41, The Daily Show with Jon Stewart Presents America (The Book) Teacher&#39;s Edition 
1091777, 27.1, 7.8, 166, 格列佛游记 
2298769, 44.5, 8.1, 2821, 殷商舰队玛雅征服史 
2030633, 18.0, 8.5, 20, 俏皮话 
1185083, 19.4, 7.1, 68, 一脸猪相 
6435850, 27.3, 8.9, 71, 一九八四 
10862358, 11.5, 7.3, 11, 竞选州长 
2037994, 26.2, 8.1, 107, 西游怪记 
