Tag: 词典 

ID, Score, Rating, Votes, Title 
2385645, 12.4, 7.9, 10, Choose the Right Word 
1048943, 36.7, 9.2, 238, 古代汉语词典 
1197923, 27.1, 9.1, 61, 古希腊语汉语词典 
1094879, 21.1, 8.7, 30, 牛津哲学词典 
3276155, 21.6, 8.9, 29, 汉语外来词词典 
1229301, 32.3, 9.3, 116, 外研社日汉双解学习词典 
2106675, 32.5, 9.5, 104, 德英汉图解词典 
1884591, 34.4, 9.5, 137, 牛津英语搭配词典 
3698022, 24.0, 9.2, 36, 英语名言引喻典故 
6026255, 25.3, 8.1, 91, 拉丁语汉语简明词典 
1097764, 16.9, 8.6, 16, 英语委婉语词典 
3563617, 26.8, 9.5, 46, 阿拉伯语汉语词典 
1702515, 27.0, 9.3, 53, 牛津英语习语词典 
1107599, 21.9, 8.3, 44, 罗贝尔法汉词典 
4108555, 24.4, 9.6, 31, 韦氏高阶英语词典 
1100927, 28.2, 8.8, 88, 英语惯用法词典 
1236455, 21.6, 9.6, 21, 朗文简明英语联想活用词典 
2084469, 13.5, 7.6, 14, 切口大词典 
6000713, 26.1, 8.9, 59, 尔雅 
1445693, 15.2, 8.0, 16, 朗文无师自通英语词典 
1152969, 32.9, 9.5, 110, 意汉词典 
1229642, 23.4, 9.3, 31, 麦克米伦高阶美语词典 
1228696, 25.4, 9.0, 50, 牛津英语同义词词典 
3159772, 20.3, 8.9, 24, 法语词汇分类学习小词典 
1954030, 28.1, 9.2, 66, The Merriam-Webster Thesaurus 
1289312, 28.3, 9.5, 57, 英法德日汉图解词典 
1502998, 28.5, 9.6, 55, 牛津短语动词词典 
1585321, 24.5, 9.4, 35, 中国古陶瓷图典 
1202033, 35.4, 9.4, 168, 朗氏德汉双解大词典 
2158242, 24.8, 9.8, 30, Oxford Advanced Learner&#39;s Dictionary (7th Edition) 
1116375, 28.2, 9.3, 63, 现代语言学词典 
4220023, 28.1, 9.6, 52, 汉英大词典 
2117451, 22.8, 9.5, 26, Merriam Webster&#39;s Dictionary of Synonyms 
4070046, 16.1, 8.3, 16, 廣州話方言詞典 
25717207, 20.1, 9.0, 22, 柯林斯拉丁语-英语双向词典 
1950481, 21.8, 9.1, 27, Oxford Latin Dictionary 
26596948, 12.4, 7.9, 10, 希英词典（中级本/影印本） 
1461242, 24.5, 9.5, 33, DK牛津英汉双解大词典 
25809412, 16.8, 8.2, 19, 中国佛教文化简明辞典 
1199896, 29.9, 9.6, 67, 朗文当代英语辞典 
