Tag: 诗歌 

ID, Score, Rating, Votes, Title 
26631867, 35.4, 9.1, 214, 现实与欲望 
26888764, 28.6, 8.4, 128, 寂然的狂喜 
26759579, 37.3, 8.7, 412, 事物的味道，我尝得太早了 
11584574, 55.2, 8.5, 9830, 万物静默如谜 
3610681, 58.5, 9.2, 6160, 海子诗全集 
3597825, 53.9, 8.6, 6835, 我的孤独是一座花园 
26832913, 35.5, 8.1, 565, 二十亿光年的孤独 
26269845, 39.2, 8.1, 1104, 唯有孤独恒常如新 
1438816, 50.9, 9.1, 2223, 给青年诗人的信 
26772667, 30.4, 8.7, 135, 我坐在火山的最边缘 
1417385, 49.2, 8.9, 2169, 博尔赫斯诗选 
26309691, 46.4, 8.3, 2993, 月光落在左手上 
1045352, 53.7, 8.7, 5769, 二十首情诗与绝望的歌 
1058661, 63.6, 8.8, 24287, 飞鸟集 
1351678, 51.7, 9.0, 2839, 夏宇詩集／Salsa 
25913612, 42.8, 8.1, 2092, 给孩子的诗 
26677797, 26.6, 9.2, 53, 里尔克诗全集 珍藏版（全四卷） 
3297888, 48.9, 8.4, 3996, 云雀叫了一整天 
1011754, 62.4, 8.9, 17159, 海子的诗 
25744944, 43.9, 8.5, 1516, 既见君子 
1825855, 44.0, 8.8, 1087, 荒原 
26384735, 38.1, 9.0, 353, 致未来的诗人 
2212371, 52.1, 9.0, 3024, 先知 
1033825, 59.0, 8.7, 13502, 顾城的诗 
3544376, 54.2, 9.1, 3666, 顾城的诗顾城的画 
1026036, 52.5, 8.6, 5476, 北岛诗歌集 
26793129, 28.7, 8.9, 88, 电灯光 
26662811, 32.0, 8.3, 251, 痖弦诗集 
1045365, 48.1, 8.6, 2649, 恶之花 
26682576, 32.7, 8.6, 212, 给孩子读诗 
11516338, 45.1, 8.7, 1435, 我是你流浪过的一个地方 
26835830, 26.0, 8.8, 62, 死于黎明：洛尔迦诗选 
26851889, 20.2, 8.7, 26, 德语七人诗选 
1441980, 42.4, 9.0, 676, 特朗斯特罗姆诗全集 
5333599, 51.6, 8.2, 8600, 春天责备 
25801080, 41.2, 8.2, 1385, 我曾这样寂寞生活：辛波斯卡诗选2 
26309861, 40.6, 8.4, 976, 摇摇晃晃的人间 
26889424, 13.4, 7.9, 12, 爱是地狱冥犬 
4299250, 40.4, 8.6, 756, 读诗的艺术 
26793134, 27.4, 8.8, 78, 人之链 
1839508, 32.2, 9.1, 132, 石川啄木诗歌集 
2064632, 39.3, 9.0, 421, 开·闭·开 
4729502, 39.9, 9.2, 386, 现代诗歌的结构 
20425439, 37.1, 8.4, 540, 我们所有人 
1018881, 39.6, 9.0, 441, 穆旦诗全集 
2032523, 42.7, 8.5, 1230, 失乐园 
