Tag: 轻小说 

ID, Score, Rating, Votes, Title 
3920144, 44.3, 8.6, 1414, 春宵苦短，少女前進吧！ 
26926707, 21.4, 7.8, 57, 你的名字。 
4898551, 46.2, 8.2, 3308, 四叠半神话大系 
26314932, 36.9, 8.4, 520, 言叶之庭 
3908784, 49.2, 9.1, 1732, Fate/Zero Vol.1 [第四次圣杯战争秘话] 
4934551, 46.4, 8.5, 2271, 渴望死亡的小丑 
1357483, 50.8, 9.2, 1974, 空之境界（上） 
1438738, 46.6, 9.0, 1304, 奇诺之旅I 
24383185, 37.2, 8.0, 862, 冰菓 
2078401, 39.5, 8.5, 721, 狼與辛香料 
26819925, 30.8, 8.6, 156, 君の名は。 
1947653, 42.6, 8.4, 1363, 糖果子弹 
4098006, 23.2, 8.4, 51, 数学女孩 
6719081, 36.7, 8.0, 795, 刀剑神域 01 
24358626, 36.0, 8.0, 695, 古书堂事件手帖 01 
6793166, 37.8, 8.5, 543, 少女不十分 
1946063, 36.4, 8.5, 429, 雲之彼端. 約定的地方 
6852176, 22.9, 8.7, 40, 月の珊瑚 
1794287, 43.9, 8.5, 1508, 斬首循環 
3242948, 48.8, 9.1, 1625, 無頭騎士異聞錄 DuRaRaRa!! 01 
1357739, 50.3, 9.3, 1634, 空之境界（下） 
3189744, 37.9, 8.7, 452, 圖書館戰爭 
4263839, 35.7, 9.5, 163, 空之境界（下） 
1422079, 47.5, 9.0, 1484, 十二國記：月之影·影之海（上） 
6732543, 33.4, 7.6, 694, 如果高中棒球队女子经理读了彼得·德鲁克 
4263837, 37.6, 9.4, 234, 空之境界（中） 
1370144, 45.4, 8.6, 1718, 涼宮春日的憂鬱 
3276278, 30.3, 8.2, 203, 人類衰退之後 1 
25915106, 10.1, 6.9, 10, 有五個姊姊的我就註定要單身了啊 01 
25737796, 38.1, 8.9, 386, 库特利亚芙卡的排序 
2977158, 44.6, 8.9, 1062, 化物語 上 
5275430, 38.6, 8.6, 561, 夏日大作战 
1941571, 37.0, 8.5, 474, 欢迎加入NHK! 
2440159, 40.4, 8.9, 554, DDD 1 
3908795, 49.8, 9.3, 1518, Fate/Zero Vol.2 [王者们的狂宴] 
14278377, 34.2, 8.5, 300, 不堪抄 
26345629, 19.3, 8.3, 28, ロード・エルメロイII世の事件簿 1 
1858730, 34.7, 7.7, 786, 你我的崩壞世界 
2997267, 31.2, 7.7, 404, All You Need Is Kill 
3219415, 27.0, 9.2, 56, 精靈守護者 
11587620, 33.8, 8.6, 255, 果然我的青春戀愛喜劇搞錯了 01 
26696676, 21.9, 7.8, 62, 掟上今日子的備忘錄 
1967829, 38.2, 8.7, 472, 风住尘香 
1930701, 43.0, 8.7, 1035, 絞首浪漫派 
3877063, 30.6, 7.3, 592, 不適合少女的職業 
1779132, 45.9, 9.1, 1040, 涼宮春日的消失 
3238578, 39.7, 8.9, 491, 銀魂 3年Z班銀八老師 1 
4932789, 29.9, 8.0, 231, 第一辩手1·王牌庭辩队 
6006599, 27.6, 7.5, 250, 植物圖鑑 
3059294, 46.5, 8.6, 2043, 长安幻夜 
26383131, 27.4, 8.3, 113, 古书堂事件手帖 06 
4152806, 35.9, 9.1, 230, 水仙花 narcissu 
5275429, 35.7, 8.6, 347, 仰望半月的夜空 01 
3063301, 44.1, 9.0, 884, 傷物語 
1980670, 33.0, 8.5, 244, 殼中少女 
