Tag: 近代史 

ID, Score, Rating, Votes, Title 
3055477, 40.6, 8.4, 982, 西潮 
1289247, 38.7, 8.7, 512, 戊戌变法史事考 
4248275, 39.0, 8.6, 596, 革命与反革命 
5299857, 44.7, 9.0, 973, 国家记忆 
4139460, 33.9, 8.4, 311, 国民党高层的派系政治 
1437607, 35.2, 8.8, 268, 中国近百年政治史 
25752592, 40.2, 8.9, 535, 从黎明到衰落（上下） 
6984992, 33.7, 8.6, 250, 张力与限界 
1450065, 43.3, 8.4, 1545, 李宗仁回忆录（上下） 
26819014, 16.2, 8.0, 19, 历史的本色 
26022213, 34.9, 8.3, 411, 历史深处的民国 壹 晚清 
26262132, 25.0, 8.9, 50, 政教存续与文教转型 
10443525, 37.7, 8.6, 487, 清日战争 
3397128, 37.6, 8.7, 428, 1948：天地玄黄 
26574388, 28.4, 7.7, 237, 湖南人与现代中国 
10515051, 26.7, 9.4, 48, 中国近代外交的形成 
25928984, 33.8, 8.1, 418, 叶 
1477774, 39.8, 8.8, 553, 剑桥中华民国史（下卷） 
1280568, 40.1, 8.8, 579, 毛泽东与莫斯科的恩恩怨怨 
26803405, 17.5, 8.0, 24, 战争与革命交织的近代中国 
1009529, 40.6, 8.6, 779, 毛泽东、斯大林与朝鲜战争 
10618037, 17.7, 7.4, 37, 丁戊奇荒 
5416832, 41.8, 7.6, 3632, 辛亥：摇晃的中国 
24876899, 26.2, 9.2, 50, 顾维钧回忆录（全13册） 
25834602, 28.9, 8.4, 135, 戊戌变法的另面 
1821224, 33.1, 8.6, 226, 地域文化与国家认同 
25731990, 36.8, 8.3, 572, 我是落花生的女儿 
25788989, 28.9, 8.1, 174, 遗失在西方的中国史（三册） 
6860955, 36.1, 7.7, 1041, 太平天国 
3518433, 35.9, 8.1, 611, 毁灭的种子 
26775650, 21.2, 8.1, 44, 荣禄与晚清政局 
1023084, 35.1, 8.2, 474, 大门口的陌生人 
26413582, 25.6, 8.8, 58, 大棋局中的国共关系 
24316409, 39.4, 8.2, 1011, 忍不住的“关怀”（增订版） 
24838223, 29.6, 7.8, 265, 皇上走了 
25983635, 23.8, 8.3, 61, 驚弦：汪精衛的政治生涯 
3172360, 30.5, 8.8, 127, 花随人圣庵摭忆（上中下） 
1010512, 41.1, 8.6, 849, 1901年 
1005047, 39.7, 8.6, 673, 剑桥中华人民共和国史（上卷） 
23049134, 28.0, 8.5, 107, 躁動的帝國 
1776851, 32.3, 8.8, 168, 中国共产党成立史 
3656542, 25.5, 8.0, 103, 这一次，我们又挨打了 
25906968, 24.6, 8.1, 81, 治学的门径与取法 
25795609, 22.4, 8.7, 37, 梁启超 
26346697, 23.5, 9.1, 35, 世运推移与文章兴替 
26292179, 25.7, 8.1, 99, 张门才女 
3332889, 27.5, 8.3, 114, 近代读书人的思想世界与治学取向 
4882056, 31.5, 7.9, 343, 为什么是欧洲？ 
1046941, 27.3, 9.0, 67, 新编剑桥世界近代史.第1卷(精) 
1160760, 29.7, 8.2, 182, 庚子勤王与晚清政局 
6428469, 25.4, 8.0, 101, 非常与正常 
10580315, 35.4, 7.8, 794, 1912—1928：文武北洋•枭雄篇 
25754647, 25.0, 7.8, 112, 重构近代中国 
3413803, 28.3, 8.4, 122, 钏影楼回忆录 
7051132, 27.1, 8.1, 127, 美国在中国的失败 
20365139, 29.2, 8.0, 203, 父亲那场永不止息的战争 
26207181, 20.2, 8.7, 26, 自贡商人 
26840846, 12.4, 7.9, 10, 王實味 
4290353, 30.9, 8.5, 173, 沉没的甲午 
1046117, 30.3, 7.8, 305, 同治中兴 
2190997, 25.3, 8.1, 91, 龔楚將軍回憶錄（上、下） 
26285254, 22.9, 7.3, 118, 遗失在西方的中国史 
26336342, 17.1, 8.2, 20, 晚清人物与史事 
25786160, 23.4, 8.3, 57, 记忆的政治 
26896650, 19.8, 7.6, 49, 近代史的墮落·國共卷 
5346140, 28.0, 8.7, 92, 民国的政治逻辑 
5333575, 25.5, 7.7, 135, 看得见的城市 
5415463, 26.6, 7.9, 138, 满与汉 
3442805, 30.1, 8.3, 179, 革命逸史（全三册） 
1438562, 25.3, 9.0, 49, 派系分合与晚清政治 
2347935, 23.9, 8.1, 72, 從學生運動到運動學生 
26796711, 13.9, 7.4, 17, 东亚近代文明史上的梁启超 
10464953, 27.6, 8.8, 80, 戊戌变法史事考二集 
5447147, 39.5, 7.6, 2328, 货币战争3 
1937123, 32.4, 8.5, 220, 西安事变新探 
1071153, 33.1, 8.4, 272, 寻求富强 
6146403, 24.4, 9.0, 43, 中国近代财政史研究 
3358492, 29.8, 8.7, 123, 李鸿章与北洋舰队 
25382842, 25.7, 8.4, 78, 舍我其谁：胡适（第二部） 
4745305, 36.9, 7.5, 1606, 北洋裂变 
2331686, 16.8, 8.1, 20, 十九世纪中国的买办 
26276772, 13.2, 8.0, 11, 近代东亚翻译概念的发生与传播 
25819947, 21.5, 8.3, 41, 革命的张力 
2141041, 25.7, 9.0, 52, 辛亥革命前十年间时论选集 
25963466, 24.3, 8.4, 61, 巴黎和会与北京政府的内外博弈 
1009147, 29.3, 8.5, 133, 血路 
1227902, 26.7, 8.3, 99, 中国抗日战争正面战场作战记 
1074659, 29.0, 8.3, 149, 甲午战争前后之晚清政局 
3017954, 30.8, 8.4, 185, 晚清的士人与世相 
25768399, 24.4, 8.0, 84, 经典淡出之后 
26639550, 12.9, 7.4, 14, 地方的近代史 
