Tag: 郭敬明 

ID, Score, Rating, Votes, Title 
1016300, 55.8, 7.2, 142816, 梦里花落知多少 
1049189, 54.4, 7.4, 66714, 1995-2005夏至未至 
1059406, 52.3, 7.1, 87338, 幻城 
2062200, 43.0, 6.3, 81201, 悲伤逆流成河 
3191328, 46.1, 6.7, 58272, 小时代1.0折纸时代 
4920037, 42.3, 7.1, 9902, 临界·爵迹 I 
4920036, 42.6, 7.3, 7117, 临界·爵迹 Ⅱ 
1006881, 44.2, 6.7, 37100, 左手倒影，右手年华。 
4038164, 41.7, 6.5, 33321, 小时代2.0虚铜时代 
1041550, 41.4, 6.7, 19248, 爱与痛的边缘 
5915713, 29.3, 6.4, 1837, 爵迹•燃魂书 
6828611, 37.3, 6.4, 14090, 小时代3.0：刺金时代 
1037589, 37.1, 6.7, 6791, 天亮说晚安 
25745152, 30.4, 6.7, 1382, 愿风裁尘 
4638931, 33.0, 6.8, 2173, 小时代1.5·青木时代VOL.1 
1066681, 35.9, 6.9, 3468, 刻下来的幸福时光 
4638933, 34.0, 6.9, 2293, 小时代1.5·青木时代VOL.2 
26359469, 24.2, 7.5, 127, 我只能短暂地陪你一辈子 
1291774, 27.7, 7.0, 473, 郭敬明作品集 
1185473, 26.0, 6.3, 929, 郭敬明成长日记 
1027832, 34.6, 6.6, 4603, 猜火车 
1902593, 38.2, 7.2, 3413, 最小说（第一辑） 
4119322, 33.6, 7.6, 728, 夏至未至 
3133952, 35.8, 7.2, 2015, 最小说（2008 07） 
2179956, 37.3, 7.0, 4007, 左手倒影.右手年华 
20304684, 15.4, 6.8, 36, 爵迹 
6428335, 26.3, 6.8, 456, 小时代2.5锋银时代 
1082845, 34.8, 7.1, 1948, 一梦三四年 
23217342, 27.2, 7.2, 324, 故乡,或者城市 
3662820, 36.0, 7.4, 1564, 最小说(2009.21) 
1671453, 35.4, 7.0, 2625, 郭敬明音乐小说迷藏(CD) 
1449981, 33.1, 6.3, 6112, 无极 
2311695, 37.7, 7.2, 3037, 岛（Vol.09） 
4864202, 32.2, 7.1, 1104, 小时代1.5·青木时代VOL.3 
26818782, 17.7, 6.8, 61, 爵迹：雾雪零尘 
3014715, 37.2, 7.1, 3281, 岛（Vol.10） 
1288529, 20.6, 6.2, 261, 爱是寂寞撒的谎 
1290139, 14.9, 5.9, 81, 初恋 
26824352, 15.7, 6.5, 51, 爵迹：永生之海 
1961690, 35.7, 7.2, 2009, 最小说（第四辑） 
1069071, 37.0, 6.9, 4510, 岛 
6891410, 25.4, 6.5, 573, 最后我们留给世界的 
1364204, 37.4, 7.8, 1159, 夢裡花落知多少. 
25862448, 17.5, 6.0, 148, 怀石逾沙 
25855964, 22.3, 6.7, 204, 守岁白驹 
4846147, 30.4, 7.2, 648, 王牌大助理 
6017131, 28.4, 6.5, 1227, 下一站·伦敦 
1683759, 19.8, 5.5, 736, 青春散场 
26825974, 10.8, 7.2, 10, 十年后,我不认识你(捂脸)...... 
2977174, 47.7, 7.8, 8133, N.世界 
1420358, 19.5, 6.4, 147, 春末夏初 
1983931, 35.9, 7.3, 1762, 最小说（第五辑） 
5915726, 26.5, 7.5, 201, 临界·爵迹限量版 豪华礼盒 
1034136, 29.4, 6.7, 1106, 天下 
5411085, 28.5, 7.0, 565, 小时代1.5·青木时代VOL.4 
2137700, 34.4, 7.3, 1306, 最小说第九辑 
1058943, 38.9, 7.4, 2791, 岛（Vol.4） 
5915714, 24.5, 6.3, 631, 我们约会吧（全2册） 
2298304, 33.2, 7.4, 884, 最小说 
1902601, 38.5, 7.3, 3033, 岛（Vol.8） 
1459494, 40.1, 7.5, 3065, 岛（Vol.6） 
2263931, 34.1, 7.3, 1216, 最小说.第12辑 
4050771, 28.4, 7.2, 422, 第一届“THE NEXT·文学之新”新人选拔赛作品集（下） 
1082844, 29.6, 6.9, 843, 猜火车 
21241208, 19.4, 7.0, 75, 小时代2.5锋银时代 
1068333, 17.0, 5.5, 287, 幻城漫画版 
24722730, 20.5, 6.4, 194, 小时代电影全记录 
11505943, 21.1, 6.2, 297, 下一站·吉隆坡 
10732858, 23.6, 6.3, 496, 少数派报告 
20276083, 23.5, 6.6, 309, 下一站·济州岛 
3064305, 17.9, 6.8, 65, 青春·扬花·念念不忘 
3822249, 32.2, 7.2, 942, 第一届『THE NEXT·文学之新』新人选拔赛作品集（上） 
11583781, 21.1, 7.0, 109, 锋银时代-小时代2.5-VOL.3 
1002278, 12.9, 4.9, 212, 痴鸟 
11505942, 27.5, 6.5, 958, 下一站台北 
7163004, 23.7, 7.3, 139, 小时代2.5锋银时代VOL.2 
7174550, 13.6, 6.5, 30, 最漫画·爵迹号 
1069911, 12.6, 5.2, 107, 幻城之恋 
2973013, 28.8, 7.7, 255, 周杰伦@大灌篮 
6017133, 33.2, 6.8, 2244, 下一站·神奈川 
20254538, 29.9, 7.6, 351, 文艺风象 
4746554, 49.1, 7.9, 8834, 年华是无效信 
6864893, 14.2, 7.1, 22, 最漫画·封神号 
3812797, 40.4, 7.7, 2366, 关于莉莉周的一切 
20427187, 73.0, 8.8, 108305, 看见 
25778605, 11.8, 5.9, 32, 最小说2008.12 
20411257, 22.4, 7.8, 69, 文艺风赏.流言 
25902007, 19.9, 6.4, 163, 南风知我意 
11505944, 37.1, 8.3, 603, 天鹅·余辉 
3825658, 48.3, 7.8, 9027, 全世爱Ⅱ·丝婚四年 
11505946, 37.7, 7.3, 2555, 剩者为王Ⅱ 
1806718, 25.3, 8.2, 85, 天亮说晚安 
24857335, 33.1, 8.3, 299, 天鹅·永夜 
