Tag: 金庸 

ID, Score, Rating, Votes, Title 
1255625, 71.8, 9.1, 53337, 天龙八部 
1002299, 69.0, 8.9, 47747, 笑傲江湖（全四册） 
1255624, 67.3, 8.8, 43399, 神雕侠侣 
1044547, 66.2, 8.9, 31193, 射雕英雄传（全四册） 
1212893, 64.2, 8.8, 26571, 鹿鼎记（全五册） 
2218216, 58.8, 9.5, 4440, 金庸作品集 
1070851, 60.4, 8.5, 23520, 倚天屠龙记(共四册) 
3532347, 53.3, 9.5, 2019, 金庸全集 
1793132, 47.8, 7.5, 14210, 白马啸西风 
1076045, 49.0, 7.6, 14950, 连城诀 
1068308, 49.0, 7.6, 14864, 雪山飞狐 
1789842, 44.1, 7.4, 8133, 侠客行 
26892370, 14.7, 7.6, 18, 只怪众生太美丽：从金庸江湖中读出的现实人生 
1014533, 43.0, 7.2, 9475, 书剑恩仇录(上下) 
1052380, 47.3, 7.6, 10575, 飞狐外传(上下) 
1055976, 43.1, 7.2, 9550, 碧血剑（上下） 
10488635, 28.0, 7.2, 387, 金庸识小录 
24324704, 42.8, 8.0, 2413, 剑桥简明金庸武侠史 
1898836, 31.1, 7.5, 499, 金庸散文集 
24530426, 30.4, 8.0, 251, 金庸传(修订版) 
3128115, 33.5, 6.4, 5331, 鸳鸯刀 
1908392, 25.3, 8.2, 84, 金庸小說的女子 
3211103, 35.2, 7.2, 1791, 越女剑 
26383472, 31.4, 7.3, 688, 你我皆凡人 
25723968, 22.8, 7.5, 96, 寻他千百度 
4835660, 37.5, 9.3, 247, 神雕侠侣（套装共4册） 
25953725, 15.7, 7.0, 33, 明窗小札1963（上、下） 
3348115, 30.8, 7.6, 421, 我看金庸小说 
26416812, 15.0, 7.9, 16, 破译金庸密码 
5301570, 23.7, 8.8, 43, 董培新画说金庸 
26423508, 17.3, 7.1, 43, 忘则怎生便忘得·闲品金庸笔下的爱情 
25746620, 19.3, 8.3, 28, 倪匡看金庸 
1337296, 48.9, 8.9, 2066, 射鵰英雄傳 
1337319, 21.1, 7.2, 90, 金庸小说赏析 
1661409, 12.6, 7.4, 13, 从娱乐行为到乌托邦冲动 
1436865, 23.6, 7.4, 124, 三剑楼随笔 
3186975, 20.3, 7.6, 54, 人物金庸 
1088936, 30.1, 8.8, 118, 神雕侠侣·金庸武侠全集评点本（全四册） 
3348230, 22.1, 7.2, 110, 《天龙八部》欣赏举隅 
1029481, 22.5, 7.6, 82, 孤独之侠：金庸小说论 
2150596, 13.2, 5.9, 49, 金庸客栈·十年 
3186980, 17.7, 7.7, 30, 文学金庸 
25746620, 19.3, 8.3, 28, 倪匡看金庸 
1012894, 15.5, 6.5, 48, 金庸武学地图 
3179889, 13.9, 7.4, 17, 解构金庸 
6541393, 14.0, 6.8, 26, 金庸爱情三十六计 
3186976, 18.7, 8.0, 30, 浪漫金庸 
4066817, 12.5, 6.1, 32, 金庸传 
1916184, 19.4, 8.1, 32, 侠客行 
3190064, 19.8, 7.8, 42, 金庸笔下的人生 
1916188, 21.4, 8.8, 30, 神雕侠侣 
26423508, 17.3, 7.1, 43, 忘则怎生便忘得·闲品金庸笔下的爱情 
3186981, 19.2, 8.1, 31, 陈墨评金庸 
2214421, 24.0, 9.3, 34, 射雕英雄传 
3186973, 18.5, 7.8, 33, 陈墨评金庸 
1703468, 19.4, 7.5, 48, 侠客行 
10606407, 15.1, 7.2, 25, 金庸评传 
4218139, 17.6, 7.2, 42, 笑书神侠 
5958837, 19.3, 7.7, 41, 神雕侠侣漫画 
6938126, 13.4, 6.9, 21, 碧血剑（新修版）（全二册） 
