Tag: 金融 

ID, Score, Rating, Votes, Title 
5243775, 49.9, 9.0, 2165, 聪明的投资者 
26756140, 39.3, 9.9, 202, 行动的勇气 
1220853, 53.4, 8.3, 9897, 伟大的博弈 
25844463, 36.2, 8.8, 314, 摩根财团 
10799082, 45.9, 8.7, 1643, 投资最重要的事 
1058131, 44.6, 8.4, 1925, 金融炼金术 
26163553, 45.7, 8.7, 1583, 投资中最简单的事 
1021346, 51.4, 8.7, 3959, 股票作手回忆录 
5297291, 44.8, 8.4, 1994, 大而不倒 
1861934, 21.8, 8.5, 38, 时运变迁 
2081876, 50.6, 7.3, 38046, 货币战争 
4953707, 40.3, 8.2, 1185, 门口的野蛮人 
2005726, 46.6, 8.7, 1825, 货币金融学 
1013378, 46.4, 8.8, 1579, 证券分析 
1082512, 49.1, 9.4, 1232, 公司理财 
5408886, 42.5, 8.3, 1525, 大空头 
2015368, 39.2, 9.1, 378, 价值评估 
1972412, 43.6, 8.1, 2399, 说谎者的扑克牌 
3891900, 47.0, 7.7, 8432, 金融的逻辑 
23760469, 30.7, 8.9, 121, 投资银行、对冲基金和私募股权投资 
4217139, 36.7, 7.5, 1543, 高盛帝国（上） 
3043970, 41.1, 8.4, 1063, 漫步华尔街 
25926542, 44.0, 8.8, 1085, 一本书读懂财报 
1089991, 48.9, 9.1, 1641, 期货市场技术分析 
1046164, 43.3, 8.3, 1760, 巴菲特致股东的信 
25717107, 36.4, 8.8, 325, 红色资本 
3427304, 40.2, 8.9, 535, 美国货币史 1867—1960 
2382899, 40.5, 8.4, 955, 通向财务自由之路 
5914480, 40.3, 8.6, 737, 富可敌国 
26314075, 27.2, 9.3, 55, 信用创造、货币供求与经济结构 
10568233, 36.1, 9.0, 258, 策略投资 
1085935, 38.3, 8.0, 1053, 非理性繁荣 
26237302, 35.4, 7.3, 1591, 金钱有术 
1776987, 43.4, 9.0, 794, 期权、期货和其他衍生品（第5版） 
10765392, 28.0, 8.7, 92, 货币、银行信贷与经济周期 
3027464, 42.4, 8.6, 1049, 专业投机原理 
6720539, 37.8, 8.3, 678, 断层线 
25912159, 32.3, 8.7, 184, 当音乐停止之后 
6736909, 34.7, 8.7, 268, 投资交易笔记 
4748753, 33.4, 8.7, 218, 机构投资的创新之路 
1511636, 30.8, 8.8, 133, 价值投资 
26327897, 27.0, 8.1, 125, 压力测试 
26765359, 24.8, 7.9, 98, 金融是本故事书 
10439662, 40.2, 8.9, 531, 货币的教训 
6967535, 35.8, 7.7, 972, 资本之王 
2335844, 39.6, 9.1, 406, Margin of Safety 
5271687, 30.2, 8.6, 141, 金融市场与金融机构基础 
26032227, 34.0, 7.5, 894, 金融的解释 
25890247, 34.5, 8.4, 347, 风吹江南之互联网金融 
3276034, 34.1, 8.2, 393, 大衰退 
25843334, 32.7, 8.1, 342, 金融的本质 
25751995, 38.9, 8.5, 655, 还原真实的美联储 
1017213, 39.3, 8.4, 777, 金融学 
26876349, 32.3, 9.1, 133, 金融求职宝典：玩转金融业的正确姿势 
1068793, 32.7, 9.0, 153, 从资本家手中拯救资本主义 
4137182, 41.7, 8.3, 1315, 荣辱二十年 
2189613, 43.6, 8.4, 1630, 战胜华尔街 
1087737, 50.1, 8.9, 2498, 日本蜡烛图技术 
25767203, 35.8, 7.9, 751, 同业鸦片 
25850045, 34.3, 8.2, 413, Flash Boys 
21331443, 30.9, 8.0, 276, 中国是部金融史 
26290085, 40.9, 8.8, 665, 手把手教你读财报 
11525290, 34.5, 8.5, 314, 走出幻觉走向成熟 
4882119, 32.9, 8.2, 321, 价值起源 
1141543, 36.7, 7.8, 1013, 金融心理学 
5314887, 37.8, 8.2, 753, 邓普顿教你逆向投资 
3233988, 34.9, 8.5, 337, 资本的游戏 
25984361, 24.0, 9.3, 34, 主动投资组合管理 
6712293, 36.7, 8.2, 631, 宽客 
2139493, 35.8, 8.0, 672, 宽客人生 
26324497, 39.0, 8.1, 1054, 支付战争 
3836277, 41.3, 7.3, 5473, 货币战争2:金权天下 
1923472, 37.9, 8.5, 558, 大投机家 
1010197, 31.0, 8.3, 210, 金融战败 
3776705, 30.7, 9.0, 113, 金融时间序列分析 
1891639, 37.2, 8.6, 445, 赌金者 
1443196, 39.4, 8.1, 1134, 诚信的背后 
25875806, 26.3, 8.2, 101, 并购之王 
3265599, 37.1, 8.2, 672, 逃不开的经济周期 
7051700, 25.0, 8.3, 75, 共同基金常识 
2171619, 26.9, 8.7, 76, 投资学基础 
1149697, 35.7, 8.4, 423, 货币银行学 
26853577, 21.3, 8.0, 48, 胡作非为：人性之本与金融暴行 
3931857, 33.4, 8.7, 218, 十年轮回 
25800850, 30.9, 8.0, 273, 动荡的世界 
3725211, 24.5, 7.7, 112, 不落俗套的成功 
26772766, 21.8, 8.1, 49, 货币简史 
1949390, 36.9, 8.2, 646, 投资者的未来 
26319391, 29.4, 8.1, 191, 金融的逻辑 
1131736, 42.0, 8.6, 970, 股票大作手操盘术 
5029372, 39.6, 7.8, 1750, 一个证券分析师的醒悟 
1417775, 38.3, 8.6, 533, 中国证券市场批判 
6148690, 33.2, 7.9, 469, 金融之王 
11509654, 32.0, 8.5, 207, 金融怪杰 
4720006, 35.7, 8.0, 665, 峭壁边缘 
2347627, 26.0, 9.3, 46, 公司金融理论（上下册） 
26576499, 26.0, 8.8, 62, 房债 
6080028, 32.8, 7.8, 491, 黑石的起点，我的顶点 
24153567, 27.0, 8.6, 83, 对冲基金奇才 
6743298, 45.6, 8.9, 1249, 经济为什么会崩溃 
3235606, 33.3, 8.0, 425, 半路出家的投资银行家 
24698948, 23.1, 8.4, 50, 量化投资策略 
4923147, 31.7, 8.0, 318, 史上最伟大的交易 
26883450, 12.7, 7.6, 12, 金融炼金术的终结 
6849713, 32.8, 8.7, 200, 银行的秘密 
1692957, 41.6, 8.3, 1303, 十年一梦 
26194949, 21.7, 8.7, 33, 财务模型与估值 
25975503, 25.2, 8.3, 77, 金融的哲学 
26670241, 18.7, 8.1, 28, Python金融大数据分析 
4724794, 27.9, 8.5, 105, 财务报表分析 
3027457, 35.0, 8.1, 521, 华尔街幽灵 
1038702, 33.4, 8.0, 431, 贼巢 
2031890, 39.7, 8.3, 936, 以交易为生 
1000425, 31.8, 8.0, 322, 花旗帝国 
20386252, 29.2, 7.7, 276, 金融与好的社会 
24741682, 28.6, 8.6, 108, 力挽狂澜：保罗•沃尔克和他改变的金融世界 
25987324, 22.4, 8.8, 35, 投资银行 
20419190, 27.0, 8.5, 90, 门口的野蛮人2 
1651750, 31.0, 9.1, 110, Stochastic Calculus for Finance I 
1763719, 29.1, 9.3, 72, Market Wizards 
3905263, 27.5, 7.6, 219, 罗斯柴尔德家族.第1部 
3291970, 41.8, 8.0, 2000, 滚雪球（上） 
25735039, 22.5, 8.4, 45, 金融数据分析导论：基于R语言 
1928404, 31.3, 7.5, 520, 1929年大崩盘 
26142366, 23.3, 7.9, 75, 中国巨债 
5976544, 34.5, 8.1, 471, 交易心理分析 
26659659, 26.7, 7.8, 154, 劳阿毛说并购 
26666438, 18.0, 8.4, 21, 癫狂与恐慌 
6793942, 21.1, 8.1, 43, 黄金、美元与权力 
1160483, 35.8, 8.1, 599, 克罗谈投资策略 
25742411, 32.1, 7.3, 807, 亲历投行 
1186753, 33.4, 8.1, 392, 在不确定的世界 
5447147, 39.5, 7.6, 2328, 货币战争3 
19977078, 35.0, 8.5, 344, 股权战争 
1547736, 23.3, 9.1, 34, 不确定条件下的投资 
25840005, 28.7, 8.3, 140, 中国是部金融史2 
4222014, 24.0, 8.4, 58, 稳定不稳定的经济 
10441758, 29.6, 8.2, 179, 证券分析师的最佳实践指南 
1441113, 33.5, 8.4, 290, Monkey Business 
1320298, 26.6, 7.9, 138, 超越恐惧和贪婪 
4884200, 25.1, 7.5, 150, 这次不一样？800年金融荒唐史 
6717799, 26.1, 8.9, 59, 估值建模 
3164123, 42.4, 8.2, 1705, 巴菲特传 
26362997, 28.4, 7.4, 330, 商业冒险 
5385688, 22.7, 8.5, 44, 财务金融建模 
26757535, 15.0, 7.6, 19, 资本的真相 
26737644, 21.3, 8.9, 28, 海外并购交易全程实务指南与案例评析 
26860153, 12.4, 7.5, 12, 汇率的本质 
1489146, 26.2, 8.8, 64, 固定收益证券手册 
1022739, 32.5, 8.0, 371, 从牛顿、达尔文到巴菲特 
4139254, 23.9, 7.7, 99, 利率史 
3845101, 39.7, 7.9, 1562, 24堂财富课 
2326852, 25.6, 8.4, 76, 技术革命与金融资本 
25777447, 33.9, 7.9, 529, 货币战争5 
10434287, 35.1, 8.0, 587, 搞懂金融的第一本书 
26383233, 16.2, 8.1, 18, 中央银行与货币供给 
1083161, 39.1, 8.4, 760, 风险投资家环球游记 
4244804, 36.9, 8.5, 465, 笑傲股市 
7052101, 25.2, 8.5, 67, 价值 
1179158, 25.1, 8.3, 76, 拯救日本 
1253945, 34.9, 8.6, 304, 金钱游戏 
2111085, 36.2, 9.2, 221, 财务报表分析 
3361807, 24.5, 8.0, 86, Quantitative Trading 
3351179, 30.5, 8.1, 231, 股市长线法宝 
26220124, 23.7, 8.4, 56, 货币野史 
10484710, 20.7, 9.1, 23, 鲍尔货币金融学 
3031727, 29.5, 9.0, 93, 中国货币史 
23009927, 28.3, 8.6, 104, 中国企业跨境并购 
3225659, 31.8, 8.3, 239, 金融帝国 
5992415, 26.6, 9.2, 53, 企业上市审核标准实证解析 
2013150, 24.8, 8.2, 78, 债券市场分析和策略 
1879127, 21.7, 8.1, 48, 基于Excel和VBA的高级金融建模 
1057378, 30.0, 7.8, 286, 非同寻常的大众幻想与群众性癫狂 
25784098, 27.7, 7.3, 323, 华尔街之狼 
5912230, 28.9, 7.3, 411, 世界是部金融史 
26421264, 29.7, 7.7, 305, 期货大作手风云录—初入期海 
21964791, 28.9, 8.6, 114, 两次全球大危机的比较研究 
1104482, 28.0, 8.2, 136, 投资学精要 
3575823, 31.2, 8.5, 182, 股权投资基金运作 
1029336, 21.7, 7.4, 84, 财务骗术 
26816965, 17.7, 8.0, 25, 股价为什么会上涨 
1860877, 32.7, 8.1, 341, 货币的祸害 
22741516, 26.0, 7.9, 123, 美联储 
21324988, 26.3, 8.4, 86, 有效资产管理 
25860723, 24.7, 9.4, 36, Economic Principles 
1908206, 29.5, 7.7, 289, 沸腾的岁月 
2151543, 31.2, 8.0, 291, 与天为敌 
1650656, 35.0, 9.3, 173, Stochastic Calculus for Finance II 
11519248, 29.2, 8.4, 141, 投资之道 
25837660, 22.7, 7.4, 102, 投资者的敌人 
25941373, 19.4, 8.1, 32, 令人惊艳的十年 
1977840, 26.9, 7.7, 175, 房间里最精明的人 
1024450, 23.7, 8.6, 49, 价值再发现 
26419787, 22.8, 9.5, 26, 公司价值分析 
26756689, 15.5, 8.1, 16, 货币数量、利率调控与政策转型 
24705392, 26.7, 6.9, 429, 金融可以颠覆历史 
3434087, 33.8, 8.4, 310, 钱商 
1727778, 23.4, 8.9, 39, Dynamic Hedging 
4146584, 18.3, 6.9, 64, 资产配置的艺术 
20413944, 24.7, 8.5, 61, 金融投机史 
3698555, 29.5, 7.3, 469, 货币崛起 
3398336, 26.7, 8.0, 128, 供应链金融 
4100680, 41.2, 8.6, 858, 巴菲特的护城河 
26582449, 22.0, 8.5, 39, 中国资产证券化操作手册 
2131777, 27.8, 7.6, 231, 财富的帝国 
25846145, 23.9, 7.8, 91, 布雷顿森林货币战 
4217138, 31.6, 7.6, 493, 高盛帝国（下） 
3292060, 41.0, 8.1, 1501, 滚雪球（下） 
3898010, 25.1, 8.3, 76, 市场的(错误)行为:风险、破产与收益的分形观点 
1019877, 30.6, 8.4, 179, 开放社会 
6977935, 35.2, 7.5, 1139, 货币战争4 
25882350, 29.3, 8.6, 122, Dealing with China 
10550572, 22.4, 7.8, 68, 金钱关系 
6526466, 18.7, 8.1, 28, 行为金融 
11641858, 23.6, 8.7, 45, 风险投资交易 
3729148, 20.7, 9.3, 21, 财务管理基础（上.下册） 
2341113, 37.4, 8.6, 462, 走进我的交易室 
10815976, 21.7, 9.0, 28, 股权资产估值 
25902226, 42.3, 8.3, 1471, 时寒冰说：未来二十年，经济大趋势（现实篇） 
26643579, 21.0, 7.5, 67, 图说金融史 
6967545, 29.3, 8.0, 207, 嚣张的特权 
2031077, 24.5, 7.4, 147, 疯狂的投资 
25730741, 21.7, 8.7, 33, 私募股权投资管理 
11614505, 33.2, 8.0, 419, 避开股市的地雷 
1786066, 25.3, 9.4, 39, Trading and Exchanges 
4009346, 31.1, 9.1, 112, Investment Banking 
3393534, 30.7, 8.2, 219, 在股市大崩溃前抛出的人 
1425600, 26.7, 7.9, 141, 戴维斯王朝 
4023402, 27.0, 8.0, 135, 经济指标解读 
26296578, 22.1, 6.9, 152, 我的钱：互联网金融，如何理财？ 
2977274, 27.6, 8.1, 138, 黄金屋 
1706274, 22.4, 9.1, 30, 现代投资组合理论和投资分析 
5367863, 20.9, 9.0, 25, 达摩达兰论估价 
26879229, 18.2, 7.9, 29, 读懂银行股 
26894260, 12.2, 7.8, 10, 投资交易笔记（续） 
4894568, 26.6, 8.2, 106, 个人理财 
6075190, 21.3, 8.5, 35, Pitch Anything 
23801526, 23.3, 6.8, 226, 私募帝国 
20471994, 23.7, 8.5, 52, 中国股市 
3265723, 24.9, 7.9, 101, 喧哗与骚动 
1146003, 30.4, 8.3, 189, 重塑证券交易心理 
6522164, 24.7, 8.1, 83, 外汇交易指南 
1812833, 43.2, 8.7, 1067, 穷人的银行家 
26394923, 20.7, 8.7, 28, 私募股权基金筹备、运营与管理 
25755771, 27.0, 8.1, 125, 清教徒的礼物 
6517366, 27.0, 7.7, 181, 我在高盛的经济预测法 
2075831, 27.5, 7.7, 198, 疯狂、惊恐和崩溃 
1695059, 21.0, 8.5, 33, Active Portfolio Management 
24738759, 25.5, 8.1, 95, 祖鲁法则 
25779423, 28.9, 7.3, 414, 老二非死不可 
5377802, 23.3, 8.1, 64, 不作不死 
26360411, 19.3, 7.6, 44, 亚洲财务黑洞 
25779411, 18.1, 8.2, 24, 从众危机 
20272111, 26.7, 8.1, 117, 债 
1193606, 24.7, 8.1, 82, 兼并、收购与公司重组 
25934012, 24.8, 8.4, 67, 定价未来 
1045597, 29.7, 8.0, 222, 巴菲特的投资组合 
26699908, 20.3, 7.1, 82, 刚性泡沫 
3121870, 28.1, 9.1, 71, A Practical Guide To Quantitative Finance Interviews 
25781918, 27.8, 7.2, 370, 比特币 
4904712, 35.2, 8.4, 387, 投机者的扑克 
1462498, 26.1, 9.2, 49, Monte Carlo Methods in Financial Engineering (Stochastic Modelling and Applied Probability) 
1082999, 23.6, 7.7, 93, 技术分析 
3056628, 24.3, 8.4, 61, 香港企业购并经典 
2567431, 20.9, 7.8, 52, 伦巴第街 
26318341, 26.7, 6.7, 571, 风口上的猪 
22704028, 22.4, 7.8, 69, 逆向投资策略 
21966354, 26.9, 7.6, 194, 基金长青 
26612357, 14.9, 8.0, 15, 人为制造的脆弱性 
3026395, 23.9, 6.7, 294, 华尔街操盘手日记 
21336693, 21.1, 7.9, 50, 世界是部金融史 
2011330, 24.5, 7.4, 147, 我是如何弄垮巴林银行的 
3905269, 27.1, 8.0, 137, 罗斯柴尔德家族.第2部 
5264604, 27.4, 7.7, 193, 我在摩根士丹利做高管 
24863293, 28.0, 8.5, 107, 欧元的悲剧 
26022791, 16.5, 7.4, 29, REITs：房地产投资信托基金（原书第4版） 
10739338, 29.6, 7.9, 239, 对冲基金风云录2 
25662386, 24.2, 8.1, 75, 大对决：即将爆发的中美货币战争 
10481001, 26.9, 8.2, 113, 大债 
25853790, 17.7, 8.0, 25, 投资策略实战分析 
26655811, 14.2, 7.5, 17, 估值的艺术：110个解读案例 
2052897, 27.2, 7.7, 188, 苏黎世投机定律 
1041539, 31.0, 8.1, 253, 格雷厄姆投资指南 
3167333, 30.2, 7.8, 300, 曾经德隆 
20480825, 26.5, 8.6, 77, 未来十年 
2182465, 26.0, 7.2, 252, 客户的游艇在哪里 
2216425, 19.8, 7.3, 62, 资本暗战 
5281775, 29.3, 8.1, 186, 奥马哈之雾 
1916270, 30.9, 7.6, 429, 华尔街的肉 
20279780, 19.6, 8.1, 33, 国际金融危机 
25858761, 23.8, 7.6, 106, 互联网金融手册 
4199482, 31.0, 7.9, 314, 我是布隆伯格 
1806489, 28.1, 9.0, 75, Heard on the Street 
6146438, 24.2, 7.7, 104, 企业上市解决之道 
24868873, 19.8, 7.4, 57, 垃圾债券之王 
3340424, 23.5, 7.5, 110, 闲不住的手 
