Tag: 青春 

ID, Score, Rating, Votes, Title 
26872990, 37.8, 7.9, 1102, 余生，请多指教 
26890756, 33.2, 8.5, 252, 你是我的虚荣 
1046265, 66.5, 8.0, 178500, 挪威的森林 
24754316, 59.9, 8.7, 15697, 最好的我们 
25747921, 52.3, 7.2, 67758, 从你的全世界路过 
26414020, 54.5, 8.1, 16975, 我不喜欢这世界，我只喜欢你 
26884309, 33.2, 9.5, 115, 可我还是喜欢你 
1082518, 58.2, 7.9, 47926, 麦田里的守望者 
2250587, 56.7, 7.6, 67263, 一个人的好天气 
26865082, 33.9, 7.7, 678, 就这样吧 
26877850, 32.2, 8.2, 284, 你就适可而止吧 
26924863, 25.2, 8.8, 55, 没有办法一直努力的人生 
26911011, 28.8, 8.3, 144, 名丽场 
26889862, 28.7, 8.6, 110, 我还是很喜欢你 
26895400, 30.1, 9.2, 90, 镜像人之末世如你 
4231381, 61.0, 8.5, 25837, 那些回不去的年少时光 
1020459, 61.6, 8.4, 34349, 此间的少年 
3879301, 62.8, 8.1, 73797, 微微一笑很倾城 
3014576, 62.6, 8.4, 40607, 陪安东尼度过漫长岁月 
1461903, 64.0, 8.0, 114047, 何以笙箫默 
26822709, 22.4, 8.9, 33, 聋哑时代 
1143694, 55.4, 8.2, 16630, 动物凶猛 
3194071, 52.7, 8.6, 5616, 少年巴比伦 
2209098, 60.9, 7.9, 78735, 致我们终将逝去的青春 
26907263, 27.0, 9.5, 47, 全世界我只想和你在一起 
26335687, 34.4, 7.6, 853, 我在最温暖的地方等你 
26889498, 24.2, 8.9, 44, 小确幸不如大欢喜 
6773643, 51.3, 8.2, 8038, 橘生淮南·暗恋 
26924899, 20.8, 9.7, 18, 即使不完美,也要够精彩 
26921125, 32.2, 9.8, 82, 青春里那些隐秘而伟大的小事 
4881998, 48.1, 8.4, 3487, 猜火车 
25895442, 41.2, 6.9, 11558, 你的孤独，虽败犹荣 
26146992, 41.5, 7.4, 4792, 我们为什么会分手？ 
2376336, 50.2, 8.4, 4951, 未央歌 
26928786, 17.1, 8.4, 18, 万物和你一样动人 
1059419, 61.5, 8.1, 58586, 海边的卡夫卡 
26656779, 35.1, 7.5, 1117, 当你的才华还撑不起你的梦想时 
25917140, 39.8, 7.2, 4768, 不要让未来的你，讨厌现在的自己 
21460732, 46.1, 8.3, 2813, 秒速五厘米 
3805861, 33.9, 8.3, 343, 疯狂阅读（青春卷） 
26805297, 33.7, 7.5, 849, 我必须恋爱的理由 
1016300, 55.8, 7.2, 142809, 梦里花落知多少 
26925001, 15.0, 8.2, 14, 我的世界从此多了一个你 
1926700, 54.0, 7.7, 32171, 关于莉莉周的一切 
4714734, 62.9, 8.4, 42919, 这些都是你给我的爱 
2331434, 54.6, 7.7, 36482, 原来你还在这里 
26879246, 26.3, 8.8, 65, 飘二代 
1958227, 57.8, 8.2, 25298, 那些年，我们一起追的女孩 
3018339, 50.1, 7.7, 15299, 万物生长 
2567919, 59.0, 8.3, 26218, 匆匆那年（上下） 
26358169, 30.7, 7.3, 599, 那时，我们还不怕相爱 
26914156, 18.5, 8.1, 27, 你不努力，就别怪世界残酷 
3406518, 50.7, 8.5, 4670, 追随她的旅程 
2339950, 55.0, 7.8, 32339, 被窝是青春的坟墓 
3598313, 59.0, 8.0, 45453, 西决 
5366278, 51.5, 8.0, 11574, 走吧，张小砚 
1963310, 58.7, 8.2, 29792, 大地之灯 
26878059, 26.6, 9.5, 45, 人若犯我（全二册） 
26907595, 27.1, 8.7, 79, 孤独这种病，遇见你就好了 
3506871, 51.9, 7.6, 26485, 曾有一个人，爱我如生命 
5391766, 42.6, 7.5, 4969, 忽然七日 
26866300, 34.9, 9.1, 197, 光芒纪·微光 
4874131, 58.3, 8.2, 27900, 东霓 
3268399, 56.4, 8.5, 12058, 上海堡垒 
3061282, 49.8, 7.6, 17371, 山月不知心底事 
1221515, 71.3, 9.5, 26466, 灌篮高手31 
1026425, 56.1, 7.4, 92945, 三重门 
6902639, 53.5, 7.9, 20116, 青春 
1067293, 45.9, 8.5, 2091, 青春 
1039752, 56.1, 7.8, 39321, 且听风吟 
3394338, 54.0, 7.5, 49181, 他的国 
5363752, 55.3, 8.5, 10039, 哥斯拉不说话 
26652086, 30.6, 8.3, 195, 你的一切好与坏我都眷恋 
26656018, 36.8, 9.1, 264, 那些年，我们一起追的球星 
1041616, 44.9, 7.4, 9558, 那些忧伤的年轻人 
26925607, 26.8, 8.7, 75, 不如去闯 
6897140, 43.1, 8.3, 1693, The Fault in Our Stars 
4732378, 59.3, 8.7, 14162, 那些回不去的年少时光·终场 
1047138, 51.2, 7.7, 18972, 少年维特的烦恼 
26927994, 21.8, 8.5, 38, 走在有光的路上 
1455933, 45.0, 7.5, 8142, 你好，忧愁 
25921293, 36.3, 6.8, 4648, 愿有人陪你颠沛流离 
10476698, 44.8, 7.5, 7732, 因为痛，所以叫青春 
26808156, 25.3, 9.3, 41, 你可以活成自己喜欢的模样 
6732193, 50.5, 7.9, 11468, 十年一品温如言 
1049189, 54.4, 7.4, 66712, 1995-2005夏至未至 
10537640, 40.4, 6.9, 9807, 如丧 
1440089, 57.8, 8.3, 21166, 那些生命中温暖而美好的事情 
4241870, 51.4, 7.7, 19725, 我在回忆里等你 
4737329, 48.3, 7.8, 9031, 龙族Ⅰ 
23795254, 47.0, 8.0, 5172, 骄阳似我 
26609056, 34.4, 7.2, 1523, 年少荒唐 
26590271, 39.4, 8.6, 634, 我的鸵鸟先生 
