Tag: 音乐 

ID, Score, Rating, Votes, Title 
10590165, 45.2, 9.5, 639, 聆听音乐 
26931364, 14.9, 8.0, 15, 如何听懂音乐 
26825412, 23.4, 9.2, 33, 认识乐理 
3095037, 45.9, 9.0, 1166, 听音乐（插图第6版） 
3178741, 47.5, 9.2, 1199, 来自民间的叛逆 
26584734, 38.8, 8.4, 722, 乐之本事 
1428307, 37.5, 9.4, 229, 西方文明中的音乐 
1963786, 48.2, 8.5, 3087, 怎样鉴别黄色歌曲 
25917406, 24.9, 8.8, 52, 音乐神童加工厂 
2295324, 51.3, 8.6, 4483, 地下乡愁蓝调 
26677405, 27.8, 8.0, 156, 老灵魂 
25928734, 30.3, 8.9, 114, 古典风格 
26427097, 21.7, 9.0, 28, 古尔德读本 
25858095, 39.6, 8.7, 593, 我是你的男人 
24845006, 34.6, 9.0, 204, 有生之年非听不可的1001张唱片 
25829051, 38.3, 8.1, 926, 与小泽征尔共度的午后音乐时光 
26737210, 27.7, 8.2, 129, 莫里康内 
26854326, 13.9, 8.1, 12, 爵士乐十三大师 
1059690, 36.8, 8.5, 460, 辛丰年音乐笔记 
24871971, 35.3, 8.5, 358, 然而，很美 
25876391, 23.6, 8.6, 48, 西雅图之声 
19962936, 50.4, 8.7, 3396, 只是孩子 
10457355, 30.8, 7.8, 331, 摇滚谱系 
10467105, 37.9, 8.1, 862, 感动，如此创造 
7007774, 34.5, 7.7, 765, 没有意义就没有摇摆 
25750940, 26.8, 8.3, 102, 想乐 
7013943, 15.2, 7.5, 21, How Music Works 
26345628, 20.3, 8.0, 40, 吉他入门经典教程（超炫图解版） 
26892668, 14.2, 7.5, 17, 经典摇滚音乐指南：鲍勃·迪伦 
1076234, 34.3, 8.7, 252, 人类的音乐 
25803500, 32.0, 7.8, 421, 古典音乐的巨匠时代（1685—1897） 
1130234, 28.7, 9.2, 73, 牛津简明音乐词典 
25870328, 26.2, 9.2, 50, 永生或猝死 
1095832, 35.6, 8.0, 647, 音乐理论基础 
26844660, 27.1, 9.4, 51, 经典摇滚音乐指南·齐柏林飞艇 
25841002, 17.6, 8.6, 18, 世界音乐通史 
25773535, 31.1, 8.7, 150, 迈尔斯·戴维斯自传 
24855168, 30.0, 9.0, 101, 琴道 
1044203, 45.8, 8.1, 3560, 伤花怒放 
3427973, 38.7, 8.6, 573, 台灣流行音樂200最佳專輯（1975-2005） 
25747192, 31.4, 7.7, 421, 原谅我一生不羁放纵爱自由 
1005381, 36.3, 8.8, 317, 音乐圣经 
1493169, 37.3, 8.9, 338, 指尖下的音乐 
6959725, 29.3, 8.1, 187, 尤克里里完全入门24课 
1198520, 35.7, 8.5, 383, 北方人的巴赫 
4142964, 40.5, 8.5, 848, 古琴 
26373145, 30.1, 7.4, 466, 耳朵借我 
26580056, 42.8, 8.3, 1601, 把青春唱完1990-1999 
26874238, 15.6, 7.8, 19, 呼吸 
2076086, 36.3, 9.0, 266, 弹指之间 
1391532, 21.9, 9.4, 24, 论贝多芬交响曲的演出 
3891385, 40.3, 8.1, 1330, 制造伍德斯托克 
1194876, 26.6, 9.2, 53, 东亚乐器考 
2367265, 35.7, 8.6, 347, 民谣流域 
25812901, 32.6, 9.6, 99, 李志原创歌曲吉他谱 
2247444, 33.0, 8.9, 173, 勋伯格和声学 
26422836, 24.5, 8.1, 80, 昨日不辞而别 
26584842, 29.1, 9.1, 82, 布鲁斯往事 
5423589, 30.8, 8.4, 185, 給所有明日的聚會 
1469342, 27.2, 8.2, 118, 噪音 
10762714, 27.3, 7.3, 297, 人间、地狱和天堂之歌 
2265482, 39.8, 8.1, 1210, 遥远的乡愁 
26334681, 26.4, 9.4, 46, 我是谁人？ 
5957920, 32.3, 9.3, 115, 混音指南 
4212274, 26.7, 9.4, 48, 调性和声及20世纪音乐概述 
6990277, 18.0, 7.6, 34, 西方音乐简史 
1440188, 33.3, 8.6, 236, 在音乐与社会中探寻 
1321743, 33.3, 8.5, 256, 古典音乐 
4920489, 26.9, 8.6, 82, 爵士乐 
10571762, 25.2, 7.5, 154, 音乐的极境 
21965538, 31.3, 8.7, 156, 披头士（上下册） 
1958417, 24.9, 8.5, 63, 搖滾神話學 
1223765, 40.2, 8.3, 1029, 请宰了我 
2136232, 21.9, 8.7, 34, 美国爵士乐全攻略 
1963618, 31.8, 8.5, 199, 伟大作曲家的生活 
3630528, 21.7, 9.0, 28, 貝多芬 
7064464, 21.3, 8.4, 37, 音乐、语言与脑 
6311580, 39.4, 8.7, 573, 天堂十字路口 
1076137, 29.8, 8.2, 186, 西方音乐一千年 
4202383, 22.5, 8.1, 56, 首演 
20284263, 29.2, 6.5, 1475, 夜话港乐 
26409450, 20.6, 7.7, 53, 回到苏联 
11504666, 31.5, 8.1, 279, 谁愿永生 
5914557, 31.3, 8.9, 133, 伟大指挥家 
1038703, 36.2, 7.7, 1046, 音乐影响了我的写作 
4060765, 30.7, 7.8, 328, 纽约时报古典乐评精选 
25758648, 24.0, 8.0, 78, 我为什么要练琴 
22988643, 23.0, 7.4, 109, 流行音乐的秘密 
26706407, 14.1, 7.7, 15, 古乐之美 
1056801, 38.2, 7.7, 1543, 摇滚圣经 
26805246, 23.4, 9.2, 33, 摇滚狂人 
4047917, 36.7, 8.7, 375, 秋籁居琴话 
1401013, 30.5, 8.6, 148, 练琴的艺术 
2029857, 31.1, 8.1, 260, 音乐逸事 
3423381, 33.4, 8.7, 220, 不可思议的惊奇 
1536776, 44.5, 9.1, 842, 拜厄钢琴基本教程 
1144865, 41.4, 9.1, 533, 见证 
26890734, 16.8, 7.0, 42, 知中·民谣啊民谣 
26314560, 14.4, 7.7, 16, 音樂大歷史 
26265059, 25.5, 8.7, 61, 练琴 
11599398, 24.5, 7.9, 93, 古典音乐日课书 
3895264, 26.9, 9.6, 44, 巴赫演奏指南 
10809730, 23.0, 7.2, 133, 沿着公路直行：鲍勃·迪伦传 
