Tag: 中国古典文学 
The number of books: 239 

ID, Rating, Votes, Title
2046236, 9.3, 4696, 庄子 
1073708, 9.0, 5606, 牡丹亭 
1021990, 9.2, 3456, 唐诗鉴赏辞典 
1098643, 8.7, 5477, 聊斋志异 
1108762, 9.3, 2278, 诗经 
1147193, 9.0, 2589, 世说新语 
1016631, 8.5, 5038, 西厢记 
1132550, 9.4, 1531, 宋词鉴赏辞典 
1081144, 9.3, 1431, 古詩源 
1021709, 8.6, 3316, 桃花扇 
1456692, 8.5, 3548, 金瓶梅 
1015104, 9.3, 1158, 陶渊明集 
1076598, 8.7, 2102, 宋诗选注 
1146536, 9.5, 842, 唐诗三百首 
1203523, 9.4, 913, 唐宋词鉴赏辞典(唐五代北宋) 
1002513, 9.2, 1034, 詩經注析（全二冊） 
1107841, 9.0, 1254, 战国策 
1181370, 9.3, 876, 文心雕龙注(上下) 
2377241, 9.6, 627, 世說新語箋疏（全三冊） 
1921441, 8.9, 1263, 诗经 
1119590, 8.0, 3889, 老残游记 
1009938, 7.8, 5215, 封神演义 
3843961, 9.4, 698, 唐诗三百首 
1910477, 8.8, 1294, 千秋一寸心 
1042053, 8.1, 3115, 儒林外史 
1854151, 9.2, 780, 金圣叹批评本水浒传 
1961670, 9.2, 771, 叶嘉莹说汉魏六朝诗 
1038492, 8.7, 1240, 追忆 
1022951, 8.4, 1703, 长生殿 
1491630, 8.7, 1174, 小窗幽记 
1543917, 9.0, 823, 納蘭詞箋注 
1144385, 7.8, 3602, 镜花缘 
1644403, 8.1, 2308, 警世通言 
1004376, 9.2, 632, 世說新語校箋（全二冊） 
1119476, 8.0, 2533, 醒世恒言（上下） 
1137748, 8.7, 963, 元曲三百首 
1958863, 8.5, 1198, 搜神記 
1626883, 8.1, 1933, 阅微草堂笔记 
2775787, 9.1, 586, 叶嘉莹说杜甫诗 
1469028, 9.4, 441, 文選（全六冊） 
1470622, 8.2, 1556, 二十年目睹之怪现状 
1081778, 9.5, 395, 李太白全集（全三册） 
1012560, 9.3, 469, 樂府詩集（全四冊） 
2349498, 9.4, 409, 古诗十九首集释 
2775720, 9.0, 561, 叶嘉莹说初盛唐诗 
2049866, 9.0, 542, 山海经校注 
1137681, 8.8, 647, 東坡志林 
3993392, 9.3, 402, 苏轼词集 
1039315, 9.2, 432, 楚辭補注 
2052471, 8.7, 690, 诗经别裁 
4917220, 9.3, 375, 楚辞 
1142794, 9.0, 476, 太平广记（全十册） 
1881837, 8.1, 1261, 三言二拍 
2226332, 9.4, 329, 稼轩词编年笺注(增订本) 
2159115, 9.1, 407, 世说新语精读 
1007577, 9.0, 442, 唐诗杂论 
1545936, 9.4, 305, 唐宋名家词选 
3409620, 9.1, 390, 东周列国志 
1070272, 8.4, 801, 子不语 
1008023, 9.3, 321, 杜詩詳注（全五冊） 
1507657, 9.2, 349, 小山词 
1017340, 9.6, 239, 蘇軾文集（全六冊） 
1891441, 9.2, 330, 汉魏六朝诗选 
2027949, 8.8, 467, 漱玉词·断肠词 
1005619, 9.5, 248, 王维集校注（全四册） 
1849632, 9.2, 318, 世说新语校笺 
1030529, 9.1, 346, 李商隐诗选 
3218229, 7.2, 3534, 陌上花开 
1015144, 9.3, 285, 元白诗笺证稿 
2373242, 9.2, 301, 酉阳杂俎 
1012171, 9.4, 252, 李商隱詩歌集解（全五冊） 
