Tag: 中国文学 
The number of books: 872 

ID, Rating, Votes, Title
1007305, 9.5, 112466,  红楼梦 
1008145, 8.9, 179338,  围城 
1082154, 9.1, 119709,  活着 
5363767, 9.2, 73701,  三体Ⅲ 
1200840, 9.0, 93680,  平凡的世界（全三部） 
1255625, 9.1, 53324,  天龙八部 
4238362, 8.6, 82617,  送你一颗子弹 
1002299, 8.9, 47730,  笑傲江湖（全四册） 
1089243, 8.8, 52313,  黄金时代 
1054685, 9.0, 36543,  沉默的大多数 
3674537, 9.1, 30687,  明朝那些事儿（1-9） 
1090043, 8.5, 82932,  倾城之恋 
1029791, 8.7, 56201,  许三观卖血记 
1057244, 8.6, 63767,  边城 
1255624, 8.8, 43386,  神雕侠侣 
3369793, 8.7, 50100,  亲爱的安德烈 
1044547, 8.9, 31189,  射雕英雄传（全四册） 
1077847, 9.5, 12165,  史记（全十册） 
1449351, 8.8, 34495,  呐喊 
1029111, 8.9, 28982,  哭泣的骆驼 
3071717, 8.8, 29580,  爱你就像爱生命 
1022060, 8.3, 72817,  狼图腾 
20440644, 9.2, 15231,  文学回忆录（全2册） 
1003000, 8.4, 53941,  悟空传 
1082334, 8.3, 64578,  穆斯林的葬礼 
1085799, 8.6, 35099,  白鹿原 
1254588, 8.9, 21250,  城南旧事 
2070844, 8.8, 25001,  梦里花落知多少 
1767945, 8.8, 24715,  一只特立独行的猪 
1883245, 9.4, 10223,  诗经 
4207781, 8.8, 24579,  孩子你慢慢来 
1014578, 9.0, 17227,  我的精神家园 
1963684, 8.6, 32733,  半生缘 
1401425, 8.3, 56135,  兄弟（上） 
5275059, 7.9, 116787,  1988：我想和这个世界谈谈 
1209899, 9.0, 15714,  我与地坛 
1011754, 8.9, 17157,  海子的诗 
1203426, 9.0, 14248,  人间词话 
1014278, 8.4, 36287,  红玫瑰与白玫瑰 
3239549, 9.1, 11257,  夹边沟记事 
1029553, 8.7, 20375,  西游记（全二册） 
3017857, 8.5, 26823,  金锁记 
3266344, 8.5, 26399,  盗墓笔记4 
1018577, 8.9, 13751,  霸王别姬 青蛇 
1088581, 8.9, 13377,  浮生六记 
6880158, 8.7, 17186,  陆犯焉识 
1080309, 8.4, 28092,  尘埃落定 
1070851, 8.5, 23513,  倚天屠龙记(共四册) 
1398395, 8.6, 19293,  狂人日记 
1036490, 8.8, 13989,  万水千山走遍 
1088022, 8.9, 11754,  亮剑 
1008357, 8.5, 21603,  水浒传（全二册） 
1060852, 8.8, 13277,  呼兰河传 
4842446, 8.7, 15563,  巨流河 
1391191, 8.5, 21423,  京华烟云 
6397275, 9.0, 9789,  此生未完成 
1013416, 8.5, 20845,  雷雨 
1014561, 9.0, 9755,  古文观止 
23008971, 9.0, 8961,  平如美棠 
2136140, 8.7, 13734,  雨季不再来 
3598313, 8.0, 45448,  西决 
2567919, 8.3, 26214,  匆匆那年（上下） 
5254315, 8.4, 21969,  盗墓笔记7 
1004992, 8.8, 11461,  张爱玲文集 
4884218, 8.8, 11273,  我的阿勒泰 
2218216, 9.5, 4440,  金庸作品集 
1449348, 8.8, 10993,  彷徨 
3610681, 9.2, 6158,  海子诗全集 
5337248, 8.9, 9184,  台北人 
1020961, 8.7, 12069,  棋王 
1043815, 8.2, 27899,  骆驼祥子 
4874131, 8.2, 27895,  东霓 
1085883, 8.6, 14022,  青铜时代 
4124727, 8.1, 32523,  孤独六讲 
3633461, 8.6, 13695,  一句顶一万句 
1418686, 8.6, 13548,  红拂夜奔 
2068249, 9.0, 7459,  温柔的夜 
1061977, 8.7, 11643,  血色浪漫 
1082349, 8.2, 25777,  长恨歌 
1418180, 8.9, 8527,  思维的乐趣 
1760548, 9.2, 5526,  三毛作品集 
