Tag: 人性 
The number of books: 796 

ID, Rating, Votes, Title
3259440, 9.1, 172643, 白夜行 
1770782, 8.8, 247670, 追风筝的人 
1008145, 8.9, 179389, 围城 
1082154, 9.1, 119763, 活着 
3066477, 9.2, 74280, 三体Ⅱ 
5363767, 9.2, 73728, 三体Ⅲ 
2567698, 8.8, 124875, 三体 
20427187, 8.8, 108297, 看见 
1858513, 8.9, 61389, 月亮和六便士 
1017143, 8.5, 129856, 不能承受的生命之轻 
4820710, 9.3, 28034, 1984 
3995526, 8.7, 73492, 目送 
10594787, 8.9, 49940, 霍乱时期的爱情 
1829226, 9.1, 35263, 肖申克的救赎 
2035179, 9.2, 28048, 动物农场 
1089243, 8.8, 52336, 黄金时代 
1054685, 9.0, 36564, 沉默的大多数 
1029791, 8.7, 56227, 许三观卖血记 
1082387, 9.2, 23980, 一九八四·动物农场 
2143732, 8.7, 48345, 灿烂千阳 
1449351, 8.8, 34505, 呐喊 
1022060, 8.3, 72841, 狼图腾 
3646172, 8.4, 58565, 恶意 
4908885, 9.0, 19874, 局外人 
1119522, 8.4, 54310, 呼啸山庄 
2064977, 8.9, 21459, 死亡筆記 1 
1775691, 8.3, 51815, 少有人走的路 
1064275, 8.3, 50189, 老人与海 
1088065, 8.6, 28148, 阿Q正传 
1092335, 8.9, 16015, 教父 
3239549, 9.1, 11272, 夹边沟记事 
1024197, 8.3, 39180, 巴黎圣母院 
3017857, 8.5, 26829, 金锁记 
1292416, 8.5, 26380, 香水 
1180102, 8.9, 13761, 恐怖宠物店（10） 
6880158, 8.7, 17200, 陆犯焉识 
4011670, 8.3, 33156, 人间失格 
1080309, 8.4, 28100, 尘埃落定 
2035171, 9.0, 10678, 人生的枷锁 
1008988, 8.3, 31811, 了不起的盖茨比 
1060852, 8.8, 13287, 呼兰河传 
1856494, 9.3, 6327, 卡拉马佐夫兄弟 
1205370, 8.1, 40904, 羊脂球 
6781808, 9.2, 6933, 杀死一只知更鸟 
5038409, 9.0, 8916, 金色梦乡 
26382433, 8.2, 31526, 无声告白 
