Tag: 人生 
The number of books: 280 

ID, Rating, Votes, Title
1008145, 8.9, 179381, 围城 
1082154, 9.1, 119754, 活着 
1200840, 9.0, 93700, 平凡的世界（全三部） 
1858513, 8.9, 61385, 月亮和六便士 
1017143, 8.5, 129852, 不能承受的生命之轻 
3995526, 8.7, 73490, 目送 
10594787, 8.9, 49935, 霍乱时期的爱情 
1023045, 8.6, 68318, 我们仨 
1029791, 8.7, 56224, 许三观卖血记 
3369793, 8.7, 50114, 亲爱的安德烈 
6388661, 8.8, 40956, 这些人，那些事 
3608208, 8.6, 45268, 牧羊少年奇幻之旅 
2035162, 9.0, 22369, 刀锋 
1082334, 8.3, 64595, 穆斯林的葬礼 
4207781, 8.8, 24594, 孩子你慢慢来 
1401425, 8.3, 56141, 兄弟（上） 
1775691, 8.3, 51812, 少有人走的路 
1209899, 9.0, 15718, 我与地坛 
1064275, 8.3, 50186, 老人与海 
3406401, 9.0, 10977, 悉达多 
4011670, 8.3, 33151, 人间失格 
2035171, 9.0, 10678, 人生的枷锁 
1008988, 8.3, 31810, 了不起的盖茨比 
23008971, 9.0, 8965, 平如美棠 
6789605, 9.0, 8670, 树上的男爵 
3261600, 9.3, 5566, 人生的智慧 
1043815, 8.2, 27909, 骆驼祥子 
3633461, 8.6, 13717, 一句顶一万句 
1061977, 8.7, 11645, 血色浪漫 
1859140, 8.8, 9756, 上学记 
1056295, 8.3, 18807, 人性的弱点全集 
2194123, 8.4, 15403, 相约星期二 
26425831, 8.8, 7851, 斯通纳 
3803820, 8.4, 14309, 人生 
4010196, 8.1, 23302, 世界因你不同 
3578470, 9.0, 5767, 德米安 
24934182, 8.1, 22699, 一个人的朝圣 
1048007, 8.2, 19037, 高效能人士的七个习惯（精华版） 
1322455, 8.8, 7232, 遥远的救世主 
10560798, 8.7, 7911, 面纱 
1431870, 9.1, 4459, 源泉 
1005358, 9.2, 3655, 寻找家园 
1082138, 8.3, 13150, 在细雨中呼喊 
1003986, 8.8, 5834, 病隙碎笔 
2359003, 8.2, 14025, 沉思录 
26278687, 7.8, 28733, 皮囊 
2363651, 8.2, 13367, 十四堂人生创意课 
2193877, 8.1, 15680, 你在天堂里遇见的五个人 
1061242, 8.8, 4967, 写在人生边上 
3673771, 9.0, 3454, 项塔兰 
1045716, 8.7, 4876, 人生中不可不想的事 
3673651, 7.7, 23532, 岛 
3826899, 8.6, 5179, 布鲁克林有棵树 
3594151, 8.1, 10122, 柑橘与柠檬啊 
1005193, 8.6, 4666, 重新认识你自己 
3905366, 7.8, 15857, 迟到的间隔年 
1015864, 9.0, 2658, 惶然录 
1311280, 9.0, 2616, 灵魂的事 
1037060, 8.6, 4085, 曾国藩（上中下） 
1269900, 8.2, 6669, 活法 
2240482, 8.0, 9251, 走到人生边上 
10569619, 8.5, 4187, 自由 
1033248, 8.9, 2423, 幸福之路 
2083981, 8.7, 3143, 了凡四训 
3448867, 9.0, 2108, 采桑子 
4737325, 8.2, 6005, 维罗妮卡决定去死 
3075281, 8.6, 3316, 世界上所有的夜晚 
1165173, 8.8, 2550, 务虚笔记 
1313124, 8.2, 5755, 赢 
3264665, 8.6, 3250, 三十而立 
3274851, 8.0, 7350, 原谅我红尘颠倒 
25735727, 8.2, 5217, 站在两个世界的边缘 
3302645, 8.1, 5935, 我在雨中等你 
1733250, 8.4, 3804, 韩寒五年文集（上下） 
1136988, 8.9, 1950, 命若琴弦 
3640067, 8.7, 2377, 革命之路 
6041708, 8.4, 3432, 世上另一个我(修订版) 
1161817, 8.7, 2189, 洛克菲勒留给儿子的38封信 
1491153, 8.7, 2196, 曾国藩家书 
1010349, 8.0, 5847, 丰乳肥臀 
1211267, 8.5, 2739, 阿甘正传 
1069805, 8.7, 1875, 给青年的十二封信 
10588835, 8.8, 1648, 别处生活 
1135734, 8.6, 1977, 追寻生命的意义 
1004318, 8.3, 2894, 守望的距离：周国平散文集 
1200843, 8.1, 3832, 芙蓉镇 
1427679, 7.5, 9661, 做最好的自己 
1841625, 8.9, 1311, 标竿人生 
1462523, 9.2, 904, 生命的肖像 
2257188, 7.6, 7528, 致女儿书 
25748787, 7.7, 5537, 平生欢 
1260251, 8.7, 1355, 茶人三部曲（全三册） 
1987453, 7.9, 3887, 人生不过如此 
24875416, 8.3, 2175, 生命最后的读书会 
25870384, 8.4, 1845, 你的生命有什么可能 
2265995, 7.1, 14947, 大象的眼泪 
4124876, 8.2, 2316, 易经的奥秘 
24827456, 8.6, 1276, 万箭穿心 
6310320, 8.7, 1100, 人都是要死的 
1034615, 8.7, 1105, 生命的意义 
10512506, 7.8, 3548, 世界上的另一个你 
3224456, 7.7, 3963, 少有人走的路Ⅱ 
1793990, 8.9, 814, 早晨从中午开始 
26376049, 9.2, 591, 阿兰的战争 
20513012, 7.6, 4260, 无比芜杂的心绪 
3410763, 8.6, 1063, 最后的演讲 
1484695, 8.1, 1981, 季羡林谈人生 
25731506, 8.0, 2248, 乱时候，穷时候 
3218534, 8.1, 1917, Eat
3715982, 8.5, 1142, 当幸福来敲门 
3722967, 8.3, 1422, 人生十论 
3808887, 7.5, 4574, 做单 
26369699, 8.5, 1085, 被讨厌的勇气 
6966843, 7.8, 2642, 重遇未知的自己 
4010185, 8.0, 1992, 哪来的天才？ 
2339264, 8.6, 953, 人为什么活着 
1053526, 8.4, 1180, 哲学与人生 
1256282, 8.5, 1021, 心灵自由之路 
3389960, 8.0, 1849, 自卑与超越 
20475794, 8.1, 1621, 身体知道答案 
1839882, 9.2, 483, 史铁生自选集 
25744411, 8.6, 859, 被嫌弃的松子的一生 
20413742, 7.5, 3743, 不说，就真来不及了 
1256284, 8.4, 1064, 谋生之道 
1958741, 7.8, 2320, 追逐日光 
1146304, 8.6, 819, 日光流年 
2973270, 7.7, 2542, 六弄咖啡馆 
5954613, 9.0, 525, 谁可以这样爱我 
6890672, 8.7, 692, 这一生，至少当一次傻瓜 
24257591, 7.3, 4603, 绝望锻炼了我 
3910220, 7.5, 3166, 十四堂人生创意课Ⅱ 
24872210, 9.2, 404, 无愁河的浪荡汉子·朱雀城 
24748615, 8.4, 879, 天幕红尘 
4122992, 8.6, 680, 人生的三路向 
2054246, 8.0, 1312, 你的误区 
1082601, 7.6, 2165, 羊皮卷 
