Tag: 企业 
The number of books: 100 

ID, Rating, Votes, Title
3313327, 8.6, 3552,  跌荡一百年（上） 
6404010, 7.9, 2306,  不懂项目管理，还敢拼职场 
3142118, 7.5, 1571,  郎咸平说：公司的秘密 
4864364, 8.3, 396,  日本最了不起的公司 
1031341, 7.6, 909,  联想风云 
2044286, 7.9, 346,  中国的新革命 
24902403, 9.2, 106,  忙总管理笔记 
24737841, 8.3, 207,  郎咸平说：让人头疼的热点 
2381069, 7.5, 480,  第一团队 
1409275, 7.0, 856,  蒙牛内幕 
1921558, 7.4, 477,  华为的世界 
3167333, 7.8, 300,  曾经德隆 
1424267, 7.3, 368,  阿里巴巴 
1074794, 8.4, 114,  略胜一筹 
3142144, 6.8, 613,  星巴克 
1159542, 8.6, 88,  新企业的起源与演进 
1977840, 7.7, 175,  房间里最精明的人 
3160742, 8.5, 89,  管理的真相 
3774367, 9.0, 61,  美　企　力 
1786651, 8.0, 124,  我与商业领袖的合作与冲突 
1063902, 6.8, 445,  华为真相 
10809142, 8.0, 116,  CEO说 
1002310, 6.8, 419,  走出华为 
25756203, 8.1, 100,  底特律往事 
6779184, 7.7, 139,  索尼的故事 
4062233, 7.3, 211,  华为研发 
2038122, 8.8, 58,  企业的性质 
10679155, 8.1, 96,  源创新 
1068738, 8.0, 103,  沃森传 
1485568, 8.2, 86,  德胜员工守则 
1971209, 8.3, 77,  企业再造 
2128914, 8.4, 70,  塞氏企业传奇 
6017206, 8.5, 65,  营销时代 
1679080, 8.3, 69,  关乎天下 
3746259, 8.3, 70,  汽车和我 
23155640, 8.2, 73,  中国重组 
3734828, 8.1, 74,  eBay中国实践之启示 
1005291, 7.6, 113,  非常营销：娃哈哈--中国成功的实战教案 
5999508, 7.8, 90,  丰田模式 
3134955, 7.8, 87,  才经 
10484708, 7.9, 75,  大象与跳蚤 
5336012, 7.3, 123,  再造卓越 
1396394, 8.7, 40,  创业中的陷阱 
1424593, 7.2, 131,  解构德隆 
1805425, 7.8, 74,  产品管理 
1313496, 8.5, 45,  宏　的世纪变革 
4748017, 8.5, 43,  改善 
25905229, 8.8, 36,  竞争战略 
25887120, 6.9, 144,  星巴克 
4722182, 7.1, 118,  从不竞争 
2122386, 8.8, 32,  能力构筑竞争 
1273942, 7.5, 76,  惠普之道 
6101207, 7.7, 64,  日本最了不起的公司 2 
3423258, 8.3, 40,  21世纪的隐形冠军 
26361727, 8.6, 33,  采购与供应链管理：一个实践者的角度（第2版） 
1052642, 6.9, 128,  紫牛 
1290157, 7.7, 57,  只放一只羊 
26275075, 7.1, 81,  从门外汉到BAT产品经理有多远 
25958419, 7.8, 45,  专利凶猛 
21318789, 7.1, 80,  巧克力之战 
1342332, 7.5, 54,  　行力 
10354428, 7.9, 38,  鹰的重生 
3741402, 7.6, 46,  做大私企 
2246288, 7.2, 63,  小巨人 
5913086, 6.4, 149,  给你一个公司看你怎么管？ 
2360817, 9.1, 19,  论生产的制度结构 
1229968, 8.7, 23,  罗彻斯特城堡 
25717320, 7.4, 50,  豪门兴衰 
1311714, 7.7, 40,  ERP原理设计实施 
4178324, 7.2, 58,  平安心语 
4814831, 7.9, 33,  红色华润 
1181016, 8.2, 27,  粤海重组实录 
24720279, 8.0, 30,  被诅咒的巨头 
1275932, 8.2, 26,  再造宏　 
3107123, 7.7, 35,  上海1000天 
26644449, 7.5, 39,  牛奶咖啡管理学 
3972722, 7.5, 38,  上市公司的48大财务迷局 
3146180, 6.8, 68,  李宁 
3198694, 7.7, 32,  铁血并购 
4713794, 7.7, 30,  盛田昭夫（上） 
3027214, 7.3, 40,  新鲜 
11589946, 7.9, 24,  势在人为 
26760576, 7.8, 25,  清教徒的礼物（罗辑思维独家定制版） 
6082434, 7.7, 26,  西南航空模式 
26888624, 7.5, 29,  走出焦虑风暴 
1964400, 6.9, 44,  你会问问题吗？ 
7175172, 7.4, 30,  华为王朝 
26580994, 7.6, 26,  高盛帝国（第二版） 
1137325, 7.3, 31,  外企十年 
24851530, 7.7, 23,  尚品宅配凭什么？ 
3885901, 7.9, 20,  创业人生 
1511481, 7.7, 22,  哈佛商学院管理全书 
26603835, 6.6, 49,  下一个倒下的会不会是华为 
3145859, 6.6, 50,  论浑人 
26668824, 7.6, 22,  隐形冠军 
5062967, 6.6, 45,  向宝洁学什么 
1960138, 7.5, 21,  经理人制造 
10758677, 8.2, 11,  中国企业如何定战略 
26838116, 7.7, 12,  家族财富保障及传承 
3069236, 7.6, 12,  三井和三菱----日本资本主义与财阀 
