Tag: 传记 
The number of books: 655 

ID, Rating, Votes, Title
6798611, 8.7, 25062,  史蒂夫　乔布斯传 
4842446, 8.7, 15563,  巨流河 
20424526, 8.9, 10251,  邓小平时代 
1083762, 8.7, 11519,  人类的群星闪耀时 
1062343, 9.2, 5702,  昨日的世界 
1859140, 8.8, 9756,  上学记 
1092149, 8.7, 8389,  梵高传 
1037602, 8.9, 5817,  别闹了，费曼先生 
1005358, 9.2, 3653,  寻找家园 
1792668, 8.5, 9434,  苏东坡传 
1914636, 8.4, 9997,  蛤蟆的油 
1005660, 9.0, 3778,  雕刻时光 
6152040, 9.1, 3108,  维特根斯坦传 
3673771, 9.0, 3452,  项塔兰 
2348372, 8.3, 8488,  野蛮生长 
1040397, 8.1, 9684,  假如给我三天光明 
1021346, 8.7, 3959,  股票作手回忆录 
1076685, 8.8, 3267,  李鸿章传 
24753751, 8.1, 8384,  向前一步 
19962936, 8.7, 3394,  只是孩子 
1270508, 8.7, 3193,  失焦 
1115353, 8.3, 5386,  奇特的一生 
1433346, 8.7, 2987,  旁观者 
2045811, 9.0, 2066,  张国荣的时光 
10598170, 8.1, 6837,  我不要你死于一事无成 
1844629, 8.5, 3788,  灿烂涅　 
1313124, 8.2, 5755,  赢 
3888123, 8.6, 3207,  写作这回事 
1752349, 8.7, 2698,  胡雪岩（全三册） 
1279648, 8.4, 4012,  天使在人间 
1322358, 9.0, 1707,  费马大定理 
1061029, 8.8, 2148,  杜尚访谈录 
2243692, 7.8, 8988,  潜水钟与蝴蝶 
4903265, 9.1, 1422,  亲爱的提奥 
4741216, 7.3, 21622,  我的奋斗 
3111928, 8.1, 4766,  安迪　沃霍尔的哲学 
1015403, 7.7, 9019,  今生今世 
1007313, 8.4, 2995,  留德十年 
1482625, 8.8, 1715,  德兰修女传 
1313181, 8.5, 2344,  富兰克林自传 
1042434, 8.0, 4784,  安妮日记 
1418648, 8.4, 2609,  胡适口述自传 
1859649, 8.1, 3979,  生命的不可思议 
1863619, 9.3, 918,  与他共度61世 
1152971, 9.0, 1237,  DOOM启世录 
1441488, 8.4, 2571,  宫本武藏　剑与禅（上下） 
1130367, 8.8, 1530,  艽野尘梦 
11505704, 9.1, 1097,  The Ph.D. Grind 
3155180, 8.6, 1940,  荒野生存 
1485628, 7.9, 5131,  毛泽东传 
2364215, 8.5, 2183,  此地无人生还 
1051231, 8.3, 2816,  黄河青山 
11507862, 8.2, 3157,  独自上场 
2122992, 9.0, 1160,  故道白云 
26657570, 9.0, 1153,  活着为了讲述 
25883305, 9.1, 1022,  阿拉伯的劳伦斯 
1091203, 8.9, 1258,  少年凯歌 
6510070, 8.3, 2619,  人生不设限 
3994721, 8.0, 3969,  纳兰容若词传 
1000696, 8.2, 2980,  饥饿的女儿 
5383175, 8.7, 1557,  童年与故乡 
25944034, 8.6, 1744,  菊次郎与佐纪 
2363716, 8.5, 1970,  破土 
1048173, 8.0, 3860,  忏悔录 
1050349, 8.1, 3311,  上海的金枝玉叶 
1448761, 8.3, 2486,  像一块滚石 
1049215, 7.5, 8532,  借我一生 
3905365, 8.5, 1796,  水流云在 
2970118, 8.8, 1269,  　米故事的　始 
5302113, 8.3, 2296,  三双鞋 
25897707, 9.0, 989,  沈从文的后半生 
1884249, 8.0, 3476,  当我们旅行 
3227346, 8.1, 2977,  听杨绛谈往事 
5922204, 8.3, 2238,  曾国藩的正面与侧面 
1255445, 8.5, 1733,  切　格瓦拉画传 
1142862, 8.1, 2862,  拿破仑传 
1506961, 8.4, 1879,  西行漫记 
1456524, 7.9, 3819,  这个世界会好吗 
3649661, 8.7, 1298,  说吧，记忆 
5288371, 8.4, 1842,  蒋经国传 
3323311, 8.9, 1037,  从文自传 
1011673, 8.7, 1273,  基耶斯洛夫斯基谈基耶斯洛夫斯基 
1805764, 8.6, 1416,  宫女谈往录 
26613052, 8.7, 1249,  我的造梦之路 
1053174, 8.6, 1350,  你干吗在乎别人怎么想？ 
2146277, 9.1, 784,  一个政治性人物的肖像 
1418650, 8.5, 1532,  胡适杂忆 
3574418, 8.7, 1212,  张国荣：禁色的蝴蝶 
1097835, 8.0, 2881,  名人传 
1400710, 8.3, 1835,  读史阅世六十年 
1313174, 8.5, 1399,  荣格自传 
24541955, 8.0, 2739,  史玉柱自述 
5408860, 8.2, 2010,  风雨哈佛路 
26413154, 9.0, 772,  李光耀观天下 
1868786, 8.0, 2589,  列侬回忆 
1812833, 8.7, 1067,  穷人的银行家 
2341866, 8.1, 2201,  合肥四姊妹 
1159949, 7.8, 3430,  杰克　韦尔奇自传 
1499783, 8.3, 1661,  将心注入 
6847760, 7.2, 9395,  随遇而安 
3873355, 7.4, 6169,  仓央嘉措诗传 
2249020, 7.8, 3075,  林徽因传 
3164123, 8.2, 1705,  巴菲特传 
4898553, 9.1, 614,  阿加西自传 
2979694, 9.2, 555,  赫尔佐格谈赫尔佐格 
25777982, 7.6, 3986,  在难搞的日子笑出声来 
1051314, 9.0, 656,  钢琴师 
3715982, 8.5, 1142,  当幸福来敲门 
4213397, 8.9, 692,  莱昂内往事 
4238939, 8.1, 1790,  吴敬琏传 
6431957, 7.8, 2714,  遇见一些人，流泪 
3291970, 8.0, 2000,  滚雪球（上） 
1464442, 7.6, 3619,  道路与梦想 
20433553, 8.8, 763,  怒目少年 
4137182, 8.3, 1315,  荣辱二十年 
19949881, 8.8, 735,  绝非偶然 
26759508, 8.1, 1617,  硅谷钢铁侠 
26666533, 9.2, 481,  梵高手稿 
1144865, 9.1, 533,  见证 
1981355, 6.8, 15334,  墨迹 
2125593, 8.6, 872,  克里希那穆提传 
2140496, 8.5, 967,  幸福的拾荒者 
2147562, 8.6, 843,  棋与人生 
