Tag: 古龙 
The number of books: 200 

ID, Rating, Votes, Title
1422833, 8.7, 10671, 多情剑客无情剑(上、中、下) 
1089512, 8.6, 11798, 陆小凤传奇 
1264579, 8.7, 8915, 欢乐英雄 
1089521, 8.5, 10813, 楚留香传奇 
1089517, 8.4, 11507, 绝代双骄（全三册） 
1089523, 8.3, 6999, 七种武器（全三册） 
1089518, 7.9, 9534, 萧十一郎 
1089515, 7.9, 7681, 武林外史（上下） 
1704006, 8.0, 5913, 边城浪子（上下） 
1793132, 7.5, 14210, 白马啸西风 
1607112, 8.7, 2103, 小李飞刀系列 
1089510, 7.8, 7670, 流星·蝴蝶·剑 
1480630, 7.9, 5652, 天涯·明月·刀 
1136998, 8.7, 1712, 楚留香传奇系列 
1089511, 7.6, 6942, 三少爷的剑 
1093078, 9.1, 896, 古龙作品全集（全53卷） 
1607113, 9.1, 736, 新版古龙全集(一箱53册) 
1088088, 7.6, 3690, 大人物 
1089519, 7.5, 3678, 大旗英雄传（上下） 
1738639, 7.5, 3426, 九月鹰飞 
1089513, 7.5, 2976, 白玉老虎（上下） 
20516996, 8.5, 789, 陆小凤传奇3：决战前后 
20516998, 8.2, 808, 陆小凤传奇2：绣花大盗 
1089509, 7.0, 4758, 圆月弯刀 
1738640, 7.7, 1416, 英雄无泪 
10529099, 8.3, 631, 笑红尘 
1033866, 7.1, 2774, 浣花洗剑录（上下） 
1738644, 7.5, 1448, 火并萧十一郎 
1207626, 8.4, 444, 谁来跟我干杯 
2170250, 8.0, 693, 血海飘香 
1738651, 7.2, 2006, 风铃中的刀声 
20516992, 8.0, 603, 陆小凤传奇5：幽灵山庄 
1738649, 7.4, 1300, 七杀手 
2269122, 8.6, 303, 侠盗楚留香.正集 
20397341, 8.1, 492, 楚留香新传2：蝙蝠传奇 
1219167, 8.0, 486, 流星蝴蝶剑（全6册） 
1704005, 7.3, 1190, 碧血洗银枪 
1089522, 7.1, 1581, 血鹦鹉 
1394296, 8.0, 460, 画眉鸟 
20516997, 7.6, 660, 陆小凤传奇4：银钩赌坊 
1264931, 7.0, 1528, 大地飞鹰 
1738645, 6.9, 1723, 剑花·烟雨·江南 
3423697, 8.4, 253, 楚留香传奇（全三册） 
3781979, 8.9, 159, 多情劍客無情劍（上）——古龍精品集 
1089535, 7.1, 1124, 名剑风流(上下册) 
2292275, 6.8, 1620, 飞刀，又见飞刀 
2170313, 7.6, 462, 绝不低头（上中下） 
1137000, 8.9, 131, 欢乐英雄 
1512741, 7.0, 1008, 护花铃（上下） 
3781988, 9.2, 103, 多情劍客無情劍（下）——古龍精品集 
1117078, 7.5, 494, 楚留香新传（全三册） 
20397334, 7.4, 525, 楚留香新传1：借尸还魂 
20516993, 7.3, 530, 陆小凤传奇6：凤舞九天 
2245915, 9.2, 87, 七种武器 
2245856, 8.4, 151, 楚留香 
1941266, 8.7, 116, 欢乐英雄 
3550505, 8.7, 117, 多情劍客無情劍 
3021840, 8.7, 115, 陆小凤（1-4） 
2377138, 7.3, 437, 午夜兰花 
3782148, 8.4, 142, 七種武器（一）長生劍／霸王槍——古龍精品集 
3781985, 8.9, 92, 多情劍客無情劍（中）——古龍精品集 
1513097, 6.9, 694, 情人箭（上下） 
3782150, 8.5, 121, 七種武器（二）孔雀翎／碧玉刀——古龍精品集 
3782005, 8.8, 89, 絕代雙驕（一）——古龍精品集 
3782378, 8.8, 88, 天涯·明月·刀（下）含飛刀又見飛刀——古龍精品集 
2377134, 7.1, 428, 桃花传奇 
1513095, 6.8, 624, 那一剑的风情 
2231418, 9.2, 62, 古龙作品全集（全53册） 
20516994, 7.0, 466, 陆小凤传奇7：剑神一笑 
3781996, 8.2, 123, 三少爺的劍（下）——古龍精品集 
3069421, 8.7, 83, 风云第一刀 
1394286, 7.0, 436, 七星龍王 
2245859, 8.2, 112, 邊城浪子第五部: 傅紅雪 
2003492, 8.1, 119, 蝙蝠传奇 
2245847, 8.3, 99, 三少爺的劍（上）——古龍精品集 
24705157, 8.4, 91, 楚留香传奇 
24705157, 8.4, 91, 楚留香传奇 
3782158, 8.1, 116, 七種武器（三）多情環／離別鉤——古龍精品集 
3782361, 8.2, 107, 邊城浪子（上）——古龍精品集 
3067656, 8.6, 77, 古龙妙语 
1738641, 6.6, 641, 孤星传 
1738638, 6.7, 548, 湘妃剑 
3021851, 8.0, 124, 三少爷的剑（上下） 
3067656, 8.6, 77, 古龙妙语 
20397344, 7.1, 301, 楚留香新传4：新月传奇·午夜兰花 
3782003, 8.7, 66, 絕代雙驕（二）——古龍精品集 
2061610, 8.2, 94, 武林外史（一）——古龍精品集 
6023771, 8.5, 74, 萧十一郎 
3018404, 8.0, 106, 蝙蝠传奇（上下） 
3782370, 8.4, 77, 邊城浪子（下）——古龍精品集 
3782007, 8.8, 57, 絕代雙驕（三）——古龍精品集 
3427786, 9.1, 47, 欢乐英雄（三册） 
1136999, 7.7, 130, 大旗英雄传 
3782026, 8.6, 63, 絕代雙驕（五）——古龍精品集 
3782366, 8.3, 75, 邊城浪子（中）——古龍精品集 
3782050, 8.4, 67, 武林外史（三）——古龍精品集 
3782047, 8.4, 67, 武林外史（二）——古龍精品集 
1209673, 6.6, 417, 剑玄录（上中下） 
3782382, 8.6, 57, 蕭十一郎（上）附 劍·花·煙雨江南——古龍精品集 
1264578, 6.4, 536, 飘香剑雨（上下） 
1172466, 6.5, 437, 失魂引 
1394291, 7.7, 107, 浣花洗劍錄 
2269118, 8.6, 52, 血海飄香 
2269118, 8.6, 52, 血海飄香 
24708302, 7.6, 110, 碧血洗银枪 
3782051, 8.4, 58, 武林外史（四）——古龍精品集 
10742454, 7.9, 83, 圓月彎刀（上）——古龍精品集 
1088777, 6.4, 448, 剑毒梅香（全三册） 
1089516, 6.3, 498, 剑客行（上下） 
3782035, 8.3, 59, 流星·蝴蝶·劍（下）——古龍精品集 
3782385, 8.5, 51, 蕭十一郎（下）附 劍·花·煙雨江南——古龍精品集 
1164813, 7.0, 186, 护花铃 
1164813, 7.0, 186, 护花铃 
3021836, 8.2, 62, 七种武器（1-4） 
10739727, 8.2, 61, 九月鷹飛（上）——古龍精品集 
3057707, 7.8, 80, 萧十一郎 
1738650, 6.3, 431, 彩环曲 
3021829, 8.5, 47, 武林外史（1-4） 
3021829, 8.5, 47, 武林外史（1-4） 
1041810, 7.6, 90, 古龙英雄谱 
1041810, 7.6, 90, 古龙英雄谱 
4270926, 8.7, 40, 歡樂英雄（上） 
24760707, 7.6, 87, 英雄无泪 
1607111, 8.0, 63, 流星·蝴蝶·剑 
3423733, 7.6, 84, 大旗英雄传（上下） 
1089520, 6.1, 523, 月异星邪 
3036570, 8.2, 52, 绣花大盗 
