Tag: 商务印书馆 
The number of books: 120 

ID, Rating, Votes, Title
1013208, 8.5, 26155, 如何阅读一本书 
1004821, 8.7, 12779, 理想国 
1008189, 8.9, 8644, 西方哲学史（上卷） 
1277981, 8.8, 8056, 社会契约论 
1060774, 8.7, 8566, 君主论 
1089398, 8.9, 3528, 西方哲学史（下卷） 
1038292, 8.6, 4410, 精神分析引论 
1071023, 8.6, 2392, 谈谈方法 
1051943, 9.1, 1236, 尼各马可伦理学 
1439441, 8.9, 1454, 伯罗奔尼撒战争史 
1022318, 8.7, 1778, 爱弥儿 
1057653, 8.7, 1338, 草原帝国 
1076280, 8.7, 1150, 第一哲学沉思集 
1254278, 8.7, 1129, 思想录 
1211052, 8.5, 1242, 罗马帝国衰亡史（上册） 
1427023, 9.0, 663, 希罗多德历史（上下） 
1077833, 8.7, 864, 形而上学 
1274953, 8.7, 824, 伦理学 
2111791, 8.7, 826, 哲学问题 
1043613, 8.4, 1117, 工作与时日 神谱 
1178535, 8.6, 869, 人性论（上下） 
1075249, 8.9, 623, 西方哲学原著选读(上卷) 
1160320, 8.8, 658, 政治学 
1073143, 8.8, 653, 美学(第一卷) 
1013058, 7.8, 2211, 武士道 
25876750, 9.0, 459, 看不见的森林 
1245533, 8.6, 680, 论优美感和崇高感 
1511912, 8.4, 814, 高卢战记 
1455362, 9.3, 323, 历史理性批判文集 
1228193, 8.4, 775, 回忆苏格拉底 
1418669, 8.6, 562, 社会学方法的准则 
1652617, 9.3, 285, 任何一种能够作为科学出现的未来形而上学导论 
1253835, 9.2, 298, 哲学史教程（上卷） 
1020537, 8.8, 413, 历史的观念 
1276771, 8.1, 845, 政府论（上篇） 
1271862, 9.2, 279, 偶然、反讽与团结 
1039771, 8.9, 356, 法哲学原理 
1927487, 7.7, 1356, 乌托邦 
1171881, 8.0, 866, 有闲阶级论 
1053109, 9.0, 294, 封建社会（上、下卷） 
1853552, 8.5, 452, 中世纪的城市 
1050527, 8.8, 333, 逻辑学（上卷） 
2185235, 8.5, 442, 历史是什么? 
1138452, 8.6, 387, 意大利文艺复兴时期的文化 
1316628, 8.5, 381, 法国革命史 
1116359, 8.5, 355, 忏悔录（第一部） 
1031345, 9.2, 156, 哲学史讲演录（第二卷） 
4753726, 8.9, 176, 宗教与科学 
1116325, 8.6, 216, 人类理解论（上下） 
1130172, 8.6, 201, 塔西佗历史 
1228654, 8.6, 200, 物性论 
1042292, 9.1, 133, 哲学史讲演录(第四卷) 
1047120, 8.3, 253, 神学政治论 
1075174, 8.9, 150, 逻辑学（下卷） 
1245516, 8.8, 152, 纯粹现象学通论 
25947167, 8.8, 147, 可爱的契诃夫 
1160154, 8.0, 295, 亚历山大远征记 
1116342, 9.0, 121, 斯宾诺莎书信集 
1010750, 8.7, 152, 伦理学的两个基本问题 
1135056, 8.4, 186, 道德原则研究 
1036860, 8.0, 267, 艺术的起源 
1512933, 8.2, 219, 基督教的本质 
1442127, 8.3, 196, 法律的道德性 
1723738, 8.5, 156, 雅典政制 
1129291, 8.6, 136, 风俗论（上册） 
1248122, 8.5, 149, 数理哲学导论 
1274030, 7.7, 305, 人口原理 
1448236, 8.1, 202, 欧洲文明史 
