Tag: 外国文学 
The number of books: 879 

ID, Rating, Votes, Title
1084336, 9.0, 211089,  小王子 
1770782, 8.8, 247516,  追风筝的人 
6082808, 9.2, 93691,  百年孤独 
1068920, 9.3, 73176,  飘（上下） 
1041007, 9.0, 82329,  哈利　波特与魔法石 
1040211, 9.2, 46823,  福尔摩斯探案全集（上中下） 
1071241, 8.9, 70035,  哈利　波特与阿兹卡班的囚徒 
1009257, 8.9, 67945,  哈利　波特与火焰杯 
1083428, 8.8, 80150,  傲慢与偏见 
1858513, 8.9, 61349,  月亮和六便士 
1017143, 8.5, 129832,  不能承受的生命之轻 
4820710, 9.3, 28009,  1984 
1432596, 8.8, 59492,  哈利　波特与混血王子 
10594787, 8.9, 49903,  霍乱时期的爱情 
1141406, 8.5, 101520,  简爱 
1829226, 9.1, 35253,  肖申克的救赎 
1085860, 8.9, 48345,  基督山伯爵 
1046209, 9.1, 34405,  安徒生童话故事集 
2035179, 9.2, 28035,  动物农场 
1336330, 9.3, 21546,  冰与火之歌（卷一） 
1082387, 9.2, 23974,  一九八四　动物农场 
2143732, 8.7, 48327,  灿烂千阳 
1040771, 8.2, 123207,  达　芬奇密码 
1013129, 8.6, 56086,  哈利　波特与凤凰社 
1046265, 8.0, 178472,  挪威的森林 
3006581, 8.9, 30630,  无人生还 
1045818, 8.5, 59057,  苏菲的世界 
2154960, 8.7, 38515,  一个陌生女人的来信 
3608208, 8.6, 45245,  牧羊少年奇幻之旅 
2035162, 9.0, 22358,  刀锋 
1205054, 8.9, 25713,  悲惨世界（上中下） 
4908885, 9.0, 19837,  局外人 
1119522, 8.4, 54293,  呼啸山庄 
1863930, 8.8, 25294,  看不见的城市 
1058661, 8.8, 24280,  飞鸟集 
1400705, 8.1, 78881,  情人 
1086249, 8.6, 30292,  荆棘鸟 
1064275, 8.3, 50177,  老人与海 
1092335, 8.9, 16012,  教父 
1119839, 9.1, 11009,  王尔德童话 
1292416, 8.5, 26372,  香水 
3406401, 9.0, 10972,  悉达多 
26698660, 9.0, 10879,  巨人的陨落 
2035171, 9.0, 10675,  人生的枷锁 
4187411, 8.8, 14394,  万物有灵且美 
1424741, 8.5, 22321,  心是孤独的猎手 
1008988, 8.3, 31797,  了不起的盖茨比 
1159939, 8.5, 21863,  一个陌生女子的来信 
1856494, 9.3, 6325,  卡拉马佐夫兄弟 
1205370, 8.1, 40898,  羊脂球 
25829693, 9.0, 9396,  永恒的终结 
6781808, 9.2, 6913,  杀死一只知更鸟 
26382433, 8.2, 31467,  无声告白 
6789605, 9.0, 8665,  树上的男爵 
1035848, 8.6, 15695,  一千零一夜 
1440972, 9.1, 7386,  博尔赫斯小说集 
2056749, 8.1, 34478,  时间旅行者的妻子 
1016003, 8.0, 40849,  鲁滨逊漂流记 
1013225, 8.3, 23332,  生活在别处 
1082518, 7.9, 47911,  麦田里的守望者 
1865089, 8.4, 19067,  瓦尔登湖 
1083762, 8.7, 11519,  人类的群星闪耀时 
1085470, 8.4, 18495,  海底两万里 
1316648, 8.3, 21532,  查令十字街84号 
1062343, 9.2, 5701,  昨日的世界 
1040104, 8.7, 11004,  魔戒（第一部） 
1228110, 8.2, 24779,  天使与魔鬼 
1001136, 8.8, 9337,  彼得　潘 
26586492, 8.9, 7653,  火星救援 
1258498, 8.3, 18210,  项链 
1006197, 8.4, 15253,  哈姆莱特 
10763902, 7.9, 36433,  偷影子的人 
1794620, 7.8, 43096,  芒果街上的小屋 
26425831, 8.8, 7823,  斯通纳 
4071859, 9.3, 4057,  我在伊朗长大 
1007433, 8.1, 23514,  红与黑 
1465324, 7.7, 51200,  洛丽塔 
1066165, 9.3, 4019,  卡尔维诺文集（第三卷） 
3578470, 9.0, 5767,  德米安 
1186392, 8.7, 8777,  约翰　克利斯朵夫 
24934182, 8.1, 22671,  一个人的朝圣 
26340138, 7.7, 48700,  岛上书店 
1092149, 8.7, 8389,  梵高传 
4011440, 8.0, 25416,  最初的爱情 最后的仪式 
1917972, 7.8, 37082,  在路上 
3537590, 8.3, 15130,  朗读者 
3608235, 8.5, 10822,  失物之书 
1041128, 8.5, 10718,  天蓝色的彼岸 
10560798, 8.7, 7895,  面纱 
1254731, 8.8, 6855,  欧　亨利短篇小说选 
1431870, 9.1, 4459,  源泉 
24382569, 8.6, 8793,  一桩事先张扬的凶杀案 
20392523, 8.5, 10293,  没有人给他写信的上校 
1917078, 8.6, 8826,  风之影 
1022632, 8.7, 7465,  罪与罚 
11584574, 8.5, 9826,  万物静默如谜 
2136484, 8.7, 7394,  如果在冬夜，一个旅人 
1082584, 8.6, 8469,  追忆似水年华 Ⅰ 
3326892, 8.6, 8524,  圣诞忆旧集 
1060117, 8.5, 9754,  不朽 
1883353, 8.8, 6312,  野性的呼唤 
1427288, 8.4, 10811,  小妇人 
1321789, 8.5, 8897,  美丽新世界 
10774752, 9.1, 3866,  毛姆短篇小说精选集 
4010969, 7.8, 29424,  当我们谈论爱情时我们在谈论什么 
6781794, 8.8, 5579,  过于喧嚣的孤独 
1442869, 8.9, 4843,  献给阿尔吉侬的花束 
