Tag: 奇幻 
The number of books: 639 

ID, Rating, Votes, Title
1041007, 9.0, 82345, 哈利·波特与魔法石 
1071241, 8.9, 70051, 哈利·波特与阿兹卡班的囚徒 
1009257, 8.9, 67963, 哈利·波特与火焰杯 
2295163, 8.9, 53386, 哈利·波特与死亡圣器 
1432596, 8.8, 59509, 哈利·波特与混血王子 
1336330, 9.3, 21562, 冰与火之歌（卷一） 
1013129, 8.6, 56100, 哈利·波特与凤凰社 
1986291, 9.5, 10266, 冰与火之歌（卷三） 
1464203, 9.4, 11859, 冰与火之歌（卷二） 
1948901, 8.4, 57444, 盗墓笔记 
5916880, 8.6, 36602, 华胥引（全二册） 
1321017, 8.8, 18630, 九州·缥缈录 
1919201, 8.5, 24673, 七夜雪 
3210843, 9.2, 8401, 冰与火之歌·卷四·群鸦的盛宴（全两册） 
20381804, 9.4, 6007, 冰与火之歌·卷五·魔龙的狂舞（全三册） 
1431779, 8.9, 10840, 九州·缥缈录Ⅱ·苍云古齿 
1882933, 8.1, 35728, 鬼吹灯之精绝古城 
1040104, 8.7, 11008, 魔戒（第一部） 
1071794, 8.9, 7660, 魔戒（第三部） 
6964047, 9.3, 4429, 冰与火之歌（卷一） 
2253753, 8.8, 8027, 九州·缥缈录Ⅲ·天下名将 
1418999, 9.2, 4604, 银河英雄传说 
2271450, 8.7, 8962, 镜·神寂 
3851790, 8.9, 6653, 九州·缥缈录V·一生之盟 
2334065, 9.4, 3445, 塔希里亚故事集 
1058759, 8.8, 7193, 魔戒（第二部） 
1926103, 8.0, 24109, 鬼吹灯之云南虫谷 
1220219, 8.6, 7459, 阴阳师 
1916726, 7.9, 22122, 鬼吹灯之龙岭迷窟 
20326626, 8.6, 6416, 少年Pi的奇幻漂流（插图珍藏版） 
2382711, 8.6, 6493, 镜·龙战 
2382709, 8.6, 6324, 镜·辟天 
1326828, 8.4, 8098, 镜·双城 
1321018, 8.2, 9780, 九州·羽传说 
6964051, 9.5, 1783, 冰与火之歌（卷一） 
1938591, 7.8, 19815, 鬼吹灯之昆仑神宫 
6973805, 9.4, 1957, 冰与火之歌（卷一） 
25826936, 9.5, 1697, 冰与火之歌 
1437858, 8.7, 4248, 天行健（全4册） 
1007952, 9.4, 1719, 蓝熊船长的13条半命 
3115476, 8.8, 3398, 热夜之梦 
1161852, 8.2, 7991, 天意 
1410145, 8.3, 6592, 诛仙3 
21979017, 9.5, 1445, 魔戒 
6016234, 8.8, 3059, 奇风岁月 
1420794, 8.2, 6975, 诛仙4 
2057550, 8.5, 4351, 魅生·妖颜卷 
3034184, 8.0, 9404, 鬼吹灯Ⅱ之四巫峡棺山 
1357739, 9.3, 1634, 空之境界（下） 
1232186, 8.9, 2531, 黑暗精灵三部曲 
1400048, 8.5, 4330, 搜神记Ⅰ-神农使者 
1072334, 8.5, 4226, 魔戒前传 
3337017, 9.4, 1379, 塔希里亚故事集Ⅱ 
1478487, 7.8, 12148, 曼珠沙华 
3908795, 9.3, 1518, Fate/Zero Vol.2 [王者们的狂宴] 
3122477, 8.8, 2612, 魅生·涅槃卷 
3091122, 9.0, 2052, 百鬼夜行抄1 [東立] 
3908784, 9.1, 1732, Fate/Zero Vol.1 [第四次圣杯战争秘话] 
1433572, 9.2, 1508, 随风而来的玛丽阿姨 
6434543, 8.1, 6280, 龙族Ⅱ 
1221329, 8.6, 3103, 阴阳师·飞天卷 
1452923, 8.0, 7317, 九州·斛珠夫人 
