Tag: 张爱玲 
The number of books: 78 

ID, Rating, Votes, Title
1090043, 8.5, 82961, 倾城之恋 
1963684, 8.6, 32746, 半生缘 
1014278, 8.4, 36298, 红玫瑰与白玫瑰 
3017857, 8.5, 26829, 金锁记 
1004992, 8.8, 11462, 张爱玲文集 
1082162, 8.3, 16715, 第一炉香 
1980436, 8.7, 7343, 流言 
3616310, 7.6, 38791, 小团圆 
1578609, 8.9, 3293, 张爱玲作品集 
1055128, 9.0, 2584, 传奇(上下) 
2267883, 7.9, 11625, 色，戒 
1951384, 8.4, 4589, 郁金香 
1033843, 8.7, 2562, 张看（上下） 
1024468, 9.0, 1375, 金锁记 
3673670, 8.2, 3614, 怨女 
1257294, 9.2, 908, 传奇 
1097305, 8.9, 1213, 张爱玲小说 
2008406, 8.2, 2405, 红楼梦魇 
5336240, 8.3, 2096, 异乡记 
2027002, 8.2, 2434, 对照记 
1051127, 8.8, 1146, 张爱玲典藏全集--中短篇小说：1945年以后作品 
1203293, 8.6, 1221, 张爱玲散文 
2010279, 8.5, 1099, 花凋 
1124750, 8.3, 1347, 张看 
6041632, 8.1, 1588, 雷峰塔 
1083881, 8.6, 865, 张爱玲经典作品选 
1051163, 7.1, 6529, 同学少年都不贱 
2246783, 7.9, 1666, 张爱玲色戒 
4046893, 8.5, 679, 海上花开 
6041631, 8.1, 1033, 易经 
3733074, 7.7, 1637, 重访边城 
1082161, 8.1, 955, 惘然记 
2282347, 9.2, 270, 張愛玲典藏全集 
4046896, 8.7, 414, 海上花落 
1209760, 8.9, 345, 张爱玲小说 
6424154, 8.1, 713, 张爱玲私语录 
1420863, 8.2, 593, 沉香屑--第一炉香(纸上电影) 
1052065, 8.8, 317, 张爱玲 
1062806, 7.8, 923, 她从海上来 
1079044, 8.7, 292, 张爱玲散文全编 
10429652, 7.2, 1553, 因为懂得 所以慈悲 
1390497, 9.1, 183, 传奇 
1075776, 7.7, 670, 张爱玲传 
3387522, 7.4, 924, 哪一种爱不千疮百孔 
4063165, 8.3, 310, 多少恨 
5384906, 7.9, 393, 六月新娘 
1119878, 7.9, 334, 爱默生选集 
2053800, 8.4, 169, 张爱玲全集 （全16册） 
1020022, 8.1, 200, 落地的麦子不死 
10539827, 8.2, 162, 张爱玲庄信正通信集 
1141666, 8.3, 148, 私语 
26333998, 6.8, 766, 少帅 
1014595, 7.3, 386, 我的姊姊张爱玲 
19940733, 8.0, 174, 张爱玲给我的信件 
26043805, 7.5, 287, 你因灵魂被爱 
4895145, 7.4, 297, 张爱玲城市地图 
4720640, 9.4, 44, 華麗緣 
1084614, 7.9, 117, 荒野中的女体 
1027823, 7.7, 136, 张爱玲的风气 
2043339, 7.1, 254, 到底是张爱玲 
5918585, 7.9, 98, 今生今世张爱玲 
1023431, 7.3, 165, 张爱玲画话 
2042359, 8.0, 85, 都市的人生 
3239840, 8.8, 44, 張愛玲學 
25841162, 8.3, 60, 蚤满华袍 
26490497, 8.4, 44, 愿此生岁月静好 
6820652, 8.6, 38, 天才梦/张爱玲散文名篇欣赏 
4212299, 8.0, 47, 零度看張──重構張愛玲 
11520927, 9.2, 22, 张爱玲小说集（共5卷） 
24714589, 8.0, 40, 他给的寂寞比甜蜜多 
24879944, 7.5, 48, 原来你也在这里 
1843934, 7.9, 31, The Rice Sprout Song 
4273400, 7.8, 32, 張愛玲：電懋劇本集 
10539826, 7.3, 39, 张爱玲的文学世界 
26443925, 7.8, 20, 张爱玲丛考 
10439455, 7.8, 13, 張愛玲譯作選二 
26708725, 7.5, 13, 爱玲说 
25819256, 7.3, 11, 张爱玲年谱 
