Tag: 情感 
The number of books: 560 

ID, Rating, Votes, Title
6388661, 8.8, 40951,  这些人，那些事 
3026879, 8.8, 13269,  爱的艺术 
2022979, 8.1, 41149,  喜宝 
23008971, 9.0, 8963,  平如美棠 
2251434, 9.0, 5559,  被爱路过 
2143304, 8.1, 11825,  我爱问连岳 
3765331, 8.6, 4373,  恋人絮语 
1470158, 8.0, 10210,  圆舞 
3533221, 8.5, 4355,  非暴力沟通 
1079252, 8.2, 6824,  爱情笔记 
24541883, 8.1, 6495,  消失的爱人 
1437973, 8.7, 2334,  亲密关系 
6041708, 8.4, 3431,  世上另一个我(修订版) 
1223845, 7.6, 10883,  男人来自火星 女人来自金星 
6864307, 7.4, 14960,  像我这样笨拙地生活 
2080764, 8.3, 3347,  为何家会伤人 
1444900, 8.7, 1865,  爱的五种语言 
25924242, 8.9, 1398,  爱在黎明破晓前&amp;爱在日落黄昏时 
3440557, 8.5, 2246,  亲爱的沙皮 
2214344, 7.5, 10228,  不存在的女儿 
2065564, 8.1, 3803,  一日重生 
11614293, 7.5, 10082,  人生需要揭穿 
26642866, 8.5, 2091,  萤火虫小巷 
3886010, 8.1, 3644,  我爱问连岳Ⅲ 
10739290, 7.9, 4861,  30岁前别结婚 
25704797, 8.0, 4036,  思念成城 
3065232, 8.0, 3594,  藏地白皮书 
3273876, 8.1, 3059,  被劫持的私生活 
1324985, 8.1, 2899,  我是鸡汤 
2250289, 7.9, 3673,  一个人不要怕 
25957554, 8.0, 2767,  在不安的世界安静的活 
3225748, 7.9, 3001,  路上有惊慌 
6973816, 7.7, 3769,  古董衣情缘 
2070807, 8.5, 1227,  懂得爱 
5391766, 7.5, 4969,  忽然七日 
2568268, 8.9, 735,  四种爱 
1314262, 8.0, 2087,  情感化设计 
6052834, 8.2, 1584,  亲密关系 
4934733, 8.3, 1314,  真实的幸福 
26146992, 7.4, 4792,  我们为什么会分手？ 
5337231, 8.2, 1461,  我爱问连岳Ⅳ 
6003394, 8.2, 1368,  爱，始于冬季 
3900857, 9.5, 355,  爱的3温暖（图文书） 
20413742, 7.5, 3743,  不说，就真来不及了 
4932095, 7.6, 3120,  好好爱自己 
3005066, 8.1, 1446,  在爱中修行 
5293030, 7.1, 6871,  那些有伤的年轻人 
4892883, 8.5, 772,  爱是一切的答案 
1310112, 8.3, 960,  诫律 
1210726, 8.7, 598,  一封陌生女子的来信 
5394486, 7.3, 3867,  爱情没那么美好 
26214729, 8.4, 797,  如果我能说了算 
6041690, 7.6, 2262,  婚姻是女人一辈子的事 
1052477, 7.6, 2249,  中国式离婚 
1104557, 7.9, 1408,  海水正蓝 
1101447, 7.7, 1838,  不要用爱控制我 
26416401, 7.4, 2940,  我敢在你怀里孤独 
21346610, 7.6, 2081,  莫失莫忘 
3747984, 8.0, 1150,  爱情的容量 
1950019, 8.6, 570,  马利与我 
2344105, 8.1, 978,  把妹　人之　男方法 
3239048, 7.2, 3376,  相亲以后 
2173025, 7.5, 2054,  放下。爱 
1000034, 7.4, 2343,  生死遗言 
20480681, 7.4, 2199,  你当温柔，却有力量 
4214217, 7.5, 1896,  女人明白要趁早 
25752046, 8.1, 828,  心如钢铁地追求幸福 
26303520, 9.0, 326,  婚姻的意义 
1975960, 7.1, 3457,  所以 
10555459, 7.7, 1266,  始终不聪明 
2157003, 7.2, 2663,  她们谋生亦谋爱 
5939058, 7.5, 1617,  别拿男人不当动物 
4159518, 8.0, 806,  情人书 
1157648, 7.2, 2488,  东京塔 
26183848, 7.3, 2045,  完美关系的秘密 
5356341, 8.0, 778,  男人来自火星，女人来自金星2 
3276681, 7.7, 1094,  他其实没那么喜欢你 
1052065, 8.8, 317,  张爱玲 
26654687, 8.0, 710,  你是我的命运 
