Tag: 散文随笔 
The number of books: 280 

ID, Rating, Votes, Title
3995526, 8.7, 73492, 目送 
4238362, 8.6, 82636, 送你一颗子弹 
3369793, 8.7, 50117, 亲爱的安德烈 
6388661, 8.8, 40958, 这些人，那些事 
4884218, 8.8, 11275, 我的阿勒泰 
10522856, 9.0, 7112, 冬牧场 
1760548, 9.2, 5526, 三毛作品集 
4881850, 9.0, 5878, 阿勒泰的角落 
1692648, 8.9, 6540, 一个人的村庄 
26278687, 7.8, 28736, 皮囊 
1949679, 8.7, 5565, 素履之往 
2988943, 8.3, 9014, 青灯 
1253310, 8.9, 3720, 人间草木 
4773224, 8.3, 8425, 生活十讲 
25984204, 7.6, 28601, 乖，摸摸头 
4238144, 9.1, 2650, 岁朝清供 
1460313, 8.4, 6308, 哥伦比亚的倒影 
1015864, 9.0, 2659, 惶然录 
3333989, 8.1, 9172, 荒废集 
4113090, 7.4, 33309, 我们台湾这些年 
3698217, 8.6, 4257, 花田半亩 
25920202, 8.6, 4303, 泛若不系之舟 
1829614, 8.6, 4222, 琼美卡随想录 
1933931, 8.7, 3676, 沿着塞纳河到翡冷翠 
4159088, 7.8, 14062, 理想的下午 
20425053, 7.7, 16850, 我所理解的生活 
2240482, 8.0, 9251, 走到人生边上 
3339812, 9.3, 1593, 木心作品八种 
10607710, 8.0, 9055, 世间的盐 
2254582, 8.9, 2403, 以箭为翅 
3880832, 8.2, 6146, 认得几个字 
1398441, 9.1, 1771, 汪曾祺散文 
25639223, 8.3, 4603, 身边的江湖 
4905854, 8.9, 2090, 将饮茶 
3621542, 8.4, 4007, 蓝房子 
4912688, 8.6, 2892, 干校六记 
4208780, 8.1, 5775, 流浪集 
1288925, 8.8, 2216, 五味 
1924318, 8.9, 1912, 汪曾祺谈吃 
5290534, 7.8, 8991, 为了报仇看电影 
1489494, 8.5, 3116, 人与永恒 
4151117, 8.5, 2898, 阴翳礼赞 
11602267, 8.9, 1762, 羊道·春牧场 
2275635, 8.9, 1738, 如何说孩子才会听，怎么听孩子才肯说 
3311009, 7.2, 24885, 原来你非不快乐 
4169341, 8.3, 3692, 水问 
25982254, 8.1, 4702, 大萝卜和难挑的鳄梨 
1023000, 8.6, 2298, 常识与通识 
3604331, 8.4, 2937, 午夜之门 
3267934, 8.4, 2883, 日本四季 
11602263, 9.1, 1233, 羊道·深山夏牧场 
11602265, 9.1, 1230, 羊道•前山夏牧场 
2375972, 8.3, 3237, 今朝风日好 
4169342, 8.6, 2153, 女儿红 
1059040, 8.6, 2093, 雅舍小品 
4212607, 7.6, 9234, 有味 
1888215, 8.4, 2650, 即兴判断 
1083883, 8.7, 1762, 席慕蓉经典作品 
1004318, 8.3, 2894, 守望的距离：周国平散文集 
4845827, 8.8, 1497, 遇见·猫的国 
20413794, 7.7, 6672, 眠空 
3880846, 8.7, 1578, 学飞的盟盟 
1004539, 8.5, 2006, 爱与孤独 
6937888, 8.5, 1928, 树犹如此 
1049215, 7.5, 8534, 借我一生 
5336228, 8.7, 1409, 作家笔记 
3652211, 8.6, 1576, 爱默生家的恶客 
4059800, 8.0, 3454, 私语书 
3621252, 7.4, 8817, 曾经 
2058479, 9.1, 852, 史铁生散文 
5336240, 8.3, 2096, 异乡记 
26613052, 8.7, 1249, 我的造梦之路 
4170274, 8.5, 1573, 只缘身在此山中 
1291570, 8.9, 948, 简媜散文 
25744944, 8.5, 1516, 既见君子 
26053771, 8.6, 1317, 小于一 
11588627, 7.9, 3330, 无非求碗热汤喝 
6121542, 8.0, 2889, 当你途经我的盛放 
26264154, 8.6, 1165, 悲伤与理智 
1034349, 8.7, 1050, 从前 
5908161, 8.5, 1305, 雨天的书 
1398461, 8.7, 1029, 梁实秋散文 
1793990, 8.9, 815, 早晨从中午开始 
4621342, 7.8, 3171, 世纪末的华丽 
4274472, 8.2, 1784, 茶之书 
6844469, 8.1, 1944, 走夜路请放声歌唱 
19977313, 8.8, 842, 花乱开 
11535030, 8.3, 1452, 一个一个人 
25898124, 7.6, 3764, 得未曾有 
4917641, 8.9, 705, 故乡的食物 
4165852, 7.5, 4452, 你是那人间的四月天 
4841303, 7.6, 3464, 人情·世故 
2301475, 8.4, 1157, 人间食粮 
3410812, 7.4, 4775, 死在这里也不错 
26367364, 8.1, 1609, 爱吃沙拉的狮子 
4160472, 8.5, 967, 告诉我，你怎样去生活 
1785502, 7.9, 2032, 咖啡苦不苦 
26698598, 8.2, 1337, 有如走路的速度 
5402205, 8.5, 913, 空灵 
24527845, 7.0, 8667, 我讲个笑话，你可别哭啊 
21770836, 8.5, 899, 八九十枝花 
25784438, 8.2, 1231, 不留心，看不见 
3866002, 7.2, 5703, 我所爱的香港 
3723236, 8.0, 1606, 我与父辈 
25935074, 8.1, 1367, 文·堺雅人：憧憬的日子 
5404877, 8.2, 1174, 安持人物琐忆 
5938219, 7.8, 1992, 昨日书 
3610492, 7.9, 1736, 好色的哈姆莱特 
25762598, 8.8, 590, 尽头 
26272073, 8.1, 1277, 一生里的某一刻 
10527371, 8.9, 525, 马雁散文集 
1322445, 8.4, 901, 林语堂散文 
26371292, 8.1, 1270, 不在他方 
20499673, 7.9, 1622, 味道·人民公社 
20499677, 8.0, 1421, 味道·味觉现象 
3769019, 8.5, 777, 闪亮的日子 
25917140, 7.2, 4768, 不要让未来的你，讨厌现在的自己 
25741244, 7.1, 5642, 我承认我不曾历经沧桑 
6773642, 7.7, 2069, 猛虎细嗅蔷薇 
25833450, 7.6, 2381, 奇石 
25918820, 7.8, 1763, 吴哥之美 
1427754, 8.8, 534, 侏儒的话 
25849895, 8.9, 476, 人间草木 
3662614, 7.9, 1492, 淡江记 
6392678, 7.5, 2637, 想念 
25849892, 8.8, 508, 人间滋味 
4836601, 8.3, 856, 扪虱谈鬼录 
6783708, 8.1, 1102, 怒河春醒 
25803923, 7.9, 1416, 你是我不及的梦 
2191536, 9.1, 381, 资治通鉴-(柏杨白话版)(全九辑三十六册)(双盒装) 
26416401, 7.4, 2943, 我敢在你怀里孤独 
4917570, 9.0, 403, 旧人旧事 
19899834, 7.2, 3917, 只愿你曾被这世界温柔相待 
20499702, 7.7, 1784, 味道·第一宗罪 
6440324, 8.4, 733, 人各有异 
10485866, 8.2, 878, 暴风雨的记忆 
20394952, 8.1, 985, 九篇雪 
26831788, 8.0, 1096, 旅行与读书 
25787364, 8.6, 543, 京都古书店风景 
