Tag: 数学 
The number of books: 300 

ID, Rating, Votes, Title
1102715, 9.1, 5752,  从一到无穷大 
1291204, 9.4, 3873,  哥德尔、艾舍尔、巴赫 
10750155, 8.7, 7412,  数学之美 
1320282, 9.1, 2855,  什么是数学 
1322358, 9.0, 1707,  费马大定理 
1231910, 9.5, 781,  具体数学（英文版第2版） 
2124114, 8.8, 1280,  怎样解题 
1049136, 8.6, 1595,  数学：确定性的丧失 
1707158, 9.4, 516,  微积分学教程（第一卷） 
1277169, 9.0, 747,  古今数学思想（一） 
10779597, 8.3, 1462,  思考的乐趣 
1080225, 8.9, 575,  西方文化中的数学 
1323573, 8.7, 710,  美丽心灵 
2130743, 9.0, 501,  离散数学及其应用（原书第5版） 
1626392, 8.5, 837,  女士品茶 
2201479, 9.4, 344,  概率论与数理统计 
1425950, 9.1, 450,  线性代数及其应用 
1230095, 9.4, 342,  数学分析原理 
3235486, 9.4, 340,  陶哲轩实分析 
3029210, 9.2, 404,  哥德尔证明 
1888111, 9.5, 299,  Convex Optimization 
1507315, 9.0, 450,  自然哲学之数学原理 
1211033, 9.1, 411,  古今数学思想（二） 
1465090, 8.8, 516,  从惊讶到思考 
1130381, 9.1, 389,  数学分析新讲（第一册） 
3249247, 8.9, 446,  高观点下的初等数学 
1725606, 8.9, 433,  几何原本 
3582335, 9.5, 259,  Introduction to Linear Algebra
1838127, 9.4, 275,  数学分析（第一卷） 
1428309, 8.8, 459,  数学大师 
3795033, 9.0, 367,  数学天书中的证明 
2249354, 8.7, 493,  啊哈，灵机一动 
1231399, 9.2, 301,  托马斯微积分 
1211041, 9.1, 328,  古今数学思想（三） 
1728600, 9.4, 253,  微积分学教程（第2卷） 
1036413, 9.0, 347,  密码故事 
1231393, 7.6, 1728,  高等数学（上册） 
25829287, 8.9, 357,  数学 
1169472, 8.7, 433,  微积分之屠龙宝刀 
2135227, 8.4, 560,  一个数学家的辩白 
3715623, 8.9, 322,  线性代数应该这样学 
1707156, 9.6, 183,  微积分学教程（第3卷） 
3144300, 9.2, 243,  通向实在之路 
20453160, 8.9, 308,  天才引导的历程 
26337663, 8.2, 614,  无言的宇宙 
1134230, 9.0, 272,  数学与猜想（第一卷） 
1961174, 8.9, 293,  数理经济学的基本方法 
3541506, 9.1, 244,  素数之恋 
1130384, 9.2, 223,  数学分析新讲（第二册） 
1899787, 8.7, 315,  希尔伯特 
1231175, 9.3, 188,  微积分五讲 
1281343, 9.3, 187,  微积分和数学分析引论（第一卷） 
3788399, 9.7, 138,  复分析 
1122660, 9.2, 194,  数学分析新讲（第三册） 
1239791, 9.1, 208,  重温微积分 
25842419, 8.5, 356,  X的奇幻之旅 
1231162, 9.1, 208,  高等代数简明教程（上册） 
1813616, 8.9, 246,  数学分析中的典型问题与方法 
1238685, 8.6, 313,  统计与真理 
4825571, 9.2, 186,  数学分析八讲 
7064456, 8.4, 376,  研究之美 
1850407, 9.1, 197,  数学的发现 
4926595, 8.6, 304,  醉汉的脚步 
1588297, 9.0, 215,  统计学 
1231452, 8.6, 298,  组合数学 
1230275, 9.5, 143,  数学分析习题课讲义（上册） 
1232071, 8.5, 322,  如何求解问题 
11506872, 9.0, 185,  黎曼猜想漫谈 
1400419, 8.8, 216,  3D数学基础 
1230328, 9.0, 182,  数学（第一卷） 
2124368, 8.7, 221,  证明与反驳 
1522839, 9.2, 147,  数理统计学简史 
1165179, 9.0, 171,  数学分析教程（上册） 
