Tag: 日本文学 
The number of books: 819 

ID, Rating, Votes, Title
3259440, 9.1, 172556,  白夜行 
3211779, 8.9, 118950,  嫌疑人X的献身 
25862578, 8.6, 167254,  解忧杂货店 
1007914, 8.7, 54378,  窗边的小豆豆 
1046265, 8.0, 178472,  挪威的森林 
1080370, 8.6, 45007,  情书 
4742918, 8.3, 73684,  1Q84 BOOK 1 
4885241, 8.4, 47246,  1Q84 BOOK 2 
1059419, 8.1, 58582,  海边的卡夫卡 
2297697, 8.6, 23139,  ZOO 
1291809, 8.5, 24051,  世界尽头与冷酷仙境 
4011670, 8.3, 33131,  人间失格 
3369600, 8.1, 41839,  当我谈跑步时我谈些什么 
5038409, 9.0, 8905,  金色梦乡 
2008284, 8.7, 13115,  佐贺的超级阿嬷 
3920130, 8.6, 13625,  告白 
3136271, 8.6, 12459,  罗生门 
1015452, 8.2, 22824,  国境以南 太阳以西 
2250587, 7.6, 67257,  一个人的好天气 
25733470, 8.3, 17505,  村上春树：没有色彩的多崎作和他的巡礼之年 
1005521, 8.1, 24791,  伊豆的舞女 
1020670, 8.2, 19211,  舞！舞！舞！ 
1039752, 7.8, 39315,  且听风吟 
3391248, 8.6, 9597,  金阁寺 
3162527, 8.7, 7955,  魍魉之匣（下） 
1031740, 8.1, 18236,  寻羊冒险记 
1053759, 8.3, 12175,  雪国 古都 
1220219, 8.6, 7456,  阴阳师 
1212080, 8.4, 10042,  奇鸟行状录 
1926700, 7.7, 32171,  关于莉莉周的一切 
3140801, 8.1, 15470,  姑获鸟之夏 
4067621, 8.2, 12716,  暗黑童话 
4038672, 8.9, 4566,  络新妇之理（上） 
4038673, 9.0, 3980,  络新妇之理（下） 
1079440, 8.1, 14219,  遇到百分之百的女孩 
4009552, 7.6, 34929,  幻夜 
1318126, 8.4, 8437,  雪国 
4049269, 9.5, 1969,  狐狸的窗户 
1418707, 8.6, 5984,  Goth.　掌事件 
4127527, 8.2, 10475,  厨房 
5502995, 7.6, 31063,  1Q84 BOOK 3 
2317974, 8.4, 7751,  德川家康（第一部） 
1270150, 9.3, 2315,  风与树的歌 
1421975, 8.7, 4777,  只有你　到 Calling You 
3191044, 7.8, 20155,  华莱士人鱼 
1848256, 8.0, 14102,  东京奇谭集 
2297706, 8.2, 9981,  平面狗 
1069059, 8.1, 10546,  雪国 
