Tag: 欧美 
The number of books: 799 

ID, Rating, Votes, Title
1084336, 9.0, 211134, 小王子 
1770782, 8.8, 247642, 追风筝的人 
6082808, 9.2, 93762, 百年孤独 
1068920, 9.3, 73185, 飘（上下） 
1041007, 9.0, 82341, 哈利·波特与魔法石 
1040211, 9.2, 46835, 福尔摩斯探案全集（上中下） 
1071241, 8.9, 70047, 哈利·波特与阿兹卡班的囚徒 
1009257, 8.9, 67957, 哈利·波特与火焰杯 
1083428, 8.8, 80161, 傲慢与偏见 
1858513, 8.9, 61383, 月亮和六便士 
1017143, 8.5, 129852, 不能承受的生命之轻 
1039487, 8.8, 67775, 哈利·波特与密室 
2295163, 8.9, 53384, 哈利·波特与死亡圣器 
4820710, 9.3, 28028, 1984 
1432596, 8.8, 59504, 哈利·波特与混血王子 
1141406, 8.5, 101537, 简爱 
10594787, 8.9, 49933, 霍乱时期的爱情 
1829226, 9.1, 35259, 肖申克的救赎 
1085860, 8.9, 48351, 基督山伯爵 
1046209, 9.1, 34410, 安徒生童话故事集 
2035179, 9.2, 28045, 动物农场 
1336330, 9.3, 21551, 冰与火之歌（卷一） 
1082387, 9.2, 23979, 一九八四·动物农场 
1827374, 9.0, 32402, 东方快车谋杀案 
2143732, 8.7, 48341, 灿烂千阳 
1040771, 8.2, 123220, 达·芬奇密码 
1013129, 8.6, 56094, 哈利·波特与凤凰社 
1027191, 9.0, 26834, 历史深处的忧虑 
3006581, 8.9, 30634, 无人生还 
1045818, 8.5, 59070, 苏菲的世界 
2154960, 8.7, 38524, 一个陌生女人的来信 
1043008, 8.9, 27844, 格林童话全集 
3608208, 8.6, 45265, 牧羊少年奇幻之旅 
2035162, 9.0, 22367, 刀锋 
1205054, 8.9, 25717, 悲惨世界（上中下） 
1464203, 9.4, 11855, 冰与火之歌（卷二） 
1986291, 9.5, 10263, 冰与火之歌（卷三） 
4908885, 9.0, 19862, 局外人 
1119522, 8.4, 54306, 呼啸山庄 
1863930, 8.8, 25297, 看不见的城市 
1400705, 8.1, 78897, 情人 
1775691, 8.3, 51811, 少有人走的路 
1086249, 8.6, 30297, 荆棘鸟 
