Tag: 爱情 
The number of books: 859 

ID, Rating, Votes, Title
1068920, 9.3, 73179,  飘（上下） 
1083428, 8.8, 80154,  傲慢与偏见 
10594787, 8.9, 49914,  霍乱时期的爱情 
1141406, 8.5, 101526,  简爱 
1090043, 8.5, 82938,  倾城之恋 
1255624, 8.8, 43389,  神雕侠侣 
1046265, 8.0, 178480,  挪威的森林 
1066462, 8.4, 69170,  向左走　向右走 
2154960, 8.7, 38519,  一个陌生女人的来信 
1080370, 8.6, 45009,  情书 
3071717, 8.8, 29585,  爱你就像爱生命 
1119522, 8.4, 54299,  呼啸山庄 
1003000, 8.4, 53950,  悟空传 
1082334, 8.3, 64588,  穆斯林的葬礼 
5916880, 8.6, 36588,  华胥引（全二册） 
1461903, 8.0, 114041,  何以笙箫默 
1474842, 9.1, 16281,  NANA（1-13） 
1963684, 8.6, 32735,  半生缘 
3426869, 8.3, 54633,  三生三世 十里桃花 
1400705, 8.1, 78887,  情人 
1086249, 8.6, 30295,  荆棘鸟 
3879301, 8.1, 73790,  微微一笑很倾城 
1051193, 8.6, 28441,  麦琪的礼物 
1014278, 8.4, 36289,  红玫瑰与白玫瑰 
1529893, 8.0, 76542,  莲花 
3017857, 8.5, 26823,  金锁记 
1018577, 8.9, 13752,  霸王别姬 青蛇 
2209098, 7.9, 78732,  致我们终将逝去的青春 
1919201, 8.5, 24672,  七夜雪 
6880158, 8.7, 17191,  陆犯焉识 
1013380, 8.1, 45023,  茶花女 
1159939, 8.5, 21865,  一个陌生女子的来信 
3026879, 8.8, 13269,  爱的艺术 
2022979, 8.1, 41149,  喜宝 
23008971, 9.0, 8963,  平如美棠 
2567919, 8.3, 26215,  匆匆那年（上下） 
2056749, 8.1, 34479,  时间旅行者的妻子 
1812439, 8.1, 33509,  步步惊心 
1316648, 8.3, 21541,  查令十字街84号 
1958227, 8.2, 25295,  那些年，我们一起追的女孩 
1962929, 8.0, 35158,  佳期如梦 
4238754, 8.0, 33168,  失恋33天 
2243213, 7.9, 40256,  山楂树之恋 
1065970, 7.8, 47939,  彼岸花 
1005521, 8.1, 24792,  伊豆的舞女 
1465324, 7.7, 51204,  洛丽塔 
3268399, 8.5, 12058,  上海堡垒 
1082162, 8.3, 16714,  第一炉香 
1322455, 8.8, 7231,  遥远的救世主 
3537590, 8.3, 15131,  朗读者 
1016300, 7.2, 142804,  梦里花落知多少 
3010133, 8.4, 12562,  琥珀　恋爱的犀牛 
2283084, 8.2, 17458,  云中歌1 
10560798, 8.7, 7899,  面纱 
1261153, 8.4, 10752,  青蛇 
1886385, 8.1, 17479,  来不及说我爱你 
1018153, 7.8, 30395,  水仙已乘鲤鱼去 
2331434, 7.7, 36478,  原来你还在这里 
2004407, 8.1, 16955,  后宫　甄　传Ⅰ 
1058234, 7.7, 35259,  二三事 
1029159, 7.5, 47349,  八月未央 
1045352, 8.7, 5768,  二十首情诗与绝望的歌 
1925232, 7.9, 20520,  大漠谣 
1791664, 8.8, 4886,  千江有水千江月 
2230208, 8.1, 13982,  我的前半生 
1079440, 8.1, 14220,  遇到百分之百的女孩 
1072319, 8.5, 7337,  长腿叔叔 
3561591, 8.0, 16031,  凤囚凰（上中） 
1024217, 7.4, 51615,  第一次的亲密接触 
5502995, 7.6, 31067,  1Q84 BOOK 3 
4313207, 8.5, 6561,  致D 
2376306, 7.8, 20213,  第三种爱情 
2078219, 8.0, 14006,  且试天下1 
1393218, 9.1, 2793,  大明宫词 
6120039, 8.4, 7253,  曾许诺　殇 
3673651, 7.7, 23525,  岛 
25747921, 7.2, 67719,  从你的全世界路过 
1049070, 8.4, 7051,  等一个人咖啡 
1400707, 8.1, 11217,  广岛之恋 
3506871, 7.6, 26482,  曾有一个人，爱我如生命 
1045247, 7.7, 21423,  面包树上的女人 
3293231, 7.8, 17892,  许我向你看 
1020959, 8.1, 10621,  斯普特尼克恋人 
5980360, 8.1, 10367,  曾许诺 
1578609, 8.9, 3292,  张爱玲作品集 
3054373, 9.2, 2237,  荷西 我爱你 
1046172, 8.4, 6438,  流金岁月 
3010130, 7.7, 19734,  悲观主义的花朵 
4241870, 7.7, 19724,  我在回忆里等你 
6773643, 8.2, 8038,  橘生淮南　暗恋 
1157014, 8.8, 3465,  伤逝 
1047138, 7.7, 18972,  少年维特的烦恼 
3765331, 8.6, 4373,  恋人絮语 
1394433, 8.4, 5790,  　宇 
1856285, 7.3, 41230,  人生若只如初见 
2009825, 7.6, 22179,  绾青丝Ⅰ 
1012203, 7.6, 21600,  　寄生 
1470158, 8.0, 10210,  圆舞 
2115040, 8.0, 10320,  玫瑰的故事 
1032581, 8.4, 5521,  胭脂扣 生死桥 
6732193, 7.9, 11466,  十年一品温如言 
2267883, 7.9, 11626,  色，戒 
3218402, 8.2, 7018,  不负如来不负卿Ⅱ　大结局 
1764915, 8.3, 5953,  I&#34;s 
1079252, 8.2, 6824,  爱情笔记 
1049477, 8.0, 9424,  一半是海水一半是火焰 
3730731, 8.0, 9419,  许我向你看（终结篇） 
2669319, 9.0, 2204,  Flipped 
1008074, 7.5, 22014,  失乐园 
3723866, 8.0, 8905,  破晓 
21242062, 8.2, 6357,  长相思 
3061282, 7.6, 17370,  山月不知心底事 
4143051, 8.6, 3419,  荆棘之城 
1792984, 8.2, 5957,  一个女人的史诗 
3080607, 8.2, 5897,  我爱问连岳Ⅱ 
24541883, 8.1, 6495,  消失的爱人 
3674353, 7.7, 12884,  沥川往事 
1458194, 8.9, 2195,  相聚一刻（1） 
3129584, 8.8, 2398,  莎乐美 
10807374, 8.7, 2649,  浮生若梦1 
3053868, 7.9, 8391,  永不永不说再见 
1420368, 7.6, 14189,  裂锦 
3391246, 8.2, 5146,  潮骚 
1925218, 7.4, 20926,  翻译官 
3183785, 7.7, 11490,  爱你，是我做过最好的事 
1006073, 7.6, 13005,  七月与安生 
11501640, 8.4, 3579,  柔软 
1705507, 8.0, 6472,  胭脂扣 
4871447, 7.5, 15233,  东宫 
1469051, 7.1, 35439,  左耳 
3315827, 7.8, 8852,  暮光之城　新月 
1437973, 8.7, 2334,  亲密关系 
3264644, 8.8, 2076,  地久天长 
2281912, 7.7, 10468,  醉玲珑（上卷） 
10343062, 8.3, 3912,  暗恋 
24736899, 8.0, 6116,  雪国 
3903387, 7.7, 10275,  香蜜沉沉烬如霜 
3584141, 8.1, 5164,  流水迢迢（全两册） 
1596305, 7.0, 40851,  泡沫之夏 
1793132, 7.5, 14207,  白马啸西风 
1892491, 7.8, 8222,  如果墙会说话 
1949925, 8.1, 4872,  沉落的黄昏 
4154988, 8.0, 5654,  纯真博物馆 
1028780, 7.6, 11041,  三个A Cup的女人 
1223845, 7.6, 10883,  男人来自火星 女人来自金星 
6890671, 8.2, 4110,  一天 
4098989, 8.2, 4117,  我的青春从爱你开始 
1290398, 8.4, 3058,  白蛇 
3364853, 7.7, 9020,  月食 
26680113, 8.6, 2325,  那个不为人知的故事 
3284067, 7.6, 10612,  佳期如梦之海上繁花 
2220812, 7.6, 10567,  木槿花西月锦绣1 
19936010, 8.0, 5353,  三生三世十里桃花 
23795254, 8.0, 5169,  骄阳似我 
1011702, 8.1, 4390,  廊桥遗梦 
1796596, 7.3, 17955,  左耳 
4175473, 8.6, 2196,  波斯少年 
1030153, 7.5, 11954,  她比烟花寂寞 
3099359, 8.0, 5020,  拥抱 
2354969, 8.2, 3725,  衣香鬓影 
3293232, 7.7, 8037,  过客，匆匆 
3727329, 7.3, 17194,  千山暮雪 
1444900, 8.7, 1865,  爱的五种语言 
1855343, 7.2, 20713,  泡沫之夏Ⅱ 
4246979, 8.1, 4190,  窄门 
1807769, 8.8, 1625,  假如你愿意你就恋爱吧 
4173402, 8.4, 2687,  昨日之旅 
1083483, 8.7, 1828,  一个陌生女人的来信 
2062430, 7.2, 20167,  泡沫之夏Ⅲ 
1972266, 7.7, 7646,  余欢 
1731521, 8.2, 3474,  生死桥 
4224758, 7.3, 15973,  花千骨（上下） 
24714201, 8.2, 3477,  长相思2 
25924242, 8.9, 1398,  爱在黎明破晓前&amp;爱在日落黄昏时 
4175252, 7.9, 5370,  初恋爱 
3224818, 8.5, 2278,  安妮宝贝系列 
2284090, 7.5, 10430,  开到荼蘼 
1186350, 7.8, 6125,  红字 
2078225, 7.9, 5120,  孤芳不自赏 
21460732, 8.3, 2812,  秒速五厘米 
3191328, 6.7, 58261,  小时代1.0折纸时代 
11506941, 7.9, 5032,  我们始终牵手旅行 
2359687, 8.0, 4305,  堕落天使 
4269890, 8.5, 2148,  这些年，二哥哥很想你 
3886010, 8.1, 3644,  我爱问连岳Ⅲ 
1055187, 8.4, 2380,  我的前半生 
21360827, 9.0, 1153,  朱生豪情书全集 
