Tag: 社会 
The number of books: 947 

ID, Rating, Votes, Title
1082154, 9.1, 119718,  活着 
20427187, 8.8, 108257,  看见 
4820710, 9.3, 28013,  1984 
4238362, 8.6, 82621,  送你一颗子弹 
2035179, 9.2, 28036,  动物农场 
1054685, 9.0, 36543,  沉默的大多数 
3674537, 9.1, 30691,  明朝那些事儿（1-9） 
5414391, 9.0, 28830,  寻路中国 
25985021, 9.3, 17298,  人类简史 
1027191, 9.0, 26831,  历史深处的忧虑 
3813669, 8.6, 51442,  民主的细节 
4242172, 8.3, 84369,  天才在左 疯子在右 
1449351, 8.8, 34496,  呐喊 
1003479, 9.1, 21175,  中国历代政治得失 
7060185, 9.0, 21049,  江城 
1970428, 8.8, 18960,  激荡三十年（上） 
1426971, 8.8, 18278,  野火集 
3239549, 9.1, 11262,  夹边沟记事 
2380307, 8.9, 13401,  激荡三十年（下） 
1014825, 9.0, 10535,  我也有一个梦想 
1056315, 8.8, 14145,  总统是靠不住的 
1795079, 9.2, 7725,  乡土中国 
1012611, 8.3, 29453,  乌合之众 
1476651, 9.0, 9355,  社会心理学 
6781808, 9.2, 6918,  杀死一只知更鸟 
20424526, 8.9, 10252,  邓小平时代 
1813841, 8.8, 11192,  枪炮、病菌与钢铁 
1062193, 8.6, 15185,  娱乐至死 
5375620, 8.8, 11215,  失控 
3344676, 8.1, 34107,  常识 
1043815, 8.2, 27900,  骆驼祥子 
3633461, 8.6, 13699,  一句顶一万句 
26576861, 9.0, 7145,  最好的告别 
1022238, 8.2, 24998,  菊与刀 
1762869, 8.9, 8203,  如彗星划过夜空 
4872671, 8.2, 24856,  佛祖在一号线 
1077528, 8.9, 8047,  通往奴役之路 
1277981, 8.8, 8052,  社会契约论 
1015699, 8.3, 17332,  中国大历史 
4071859, 9.3, 4058,  我在伊朗长大 
1041385, 9.2, 4494,  论美国的民主 
20463108, 8.3, 16382,  观念的水位 
1261560, 9.0, 5715,  国富论 
1060774, 8.7, 8565,  君主论 
1322455, 8.8, 7231,  遥远的救世主 
