Tag: 编程 
The number of books: 400 

ID, Rating, Votes, Title
6021440, 8.8, 12936, 黑客与画家 
1885170, 9.4, 4547, 算法导论（原书第2版） 
1139336, 9.4, 3629, C程序设计语言 
1767741, 9.2, 4051, C++ Primer 中文版（第 4 版） 
1477390, 9.3, 3200, 代码大全（第2版） 
1230413, 9.5, 2437, 深入理解计算机系统 
1788421, 9.4, 2037, UNIX环境高级编程 
1148282, 9.5, 1659, 计算机程序的构造和解释 
2130190, 9.1, 2590, Java编程思想 （第4版） 
1052241, 9.1, 2472, 设计模式 
2243615, 9.2, 2212, Head First 设计模式（中文版） 
3227098, 9.2, 1734, 编程珠玑 
2377310, 9.2, 1709, C专家编程 
1229923, 9.0, 1924, 重构 
1467587, 9.0, 1951, UNIX编程艺术 
4822685, 9.2, 1479, 编码 
1240002, 9.2, 1425, C Primer Plus 
10546125, 9.3, 1211, JavaScript高级程序设计（第3版） 
1231590, 9.2, 1270, Effective C++中文版 
3590768, 9.1, 1397, JavaScript语言精粹 
4163938, 8.7, 2110, 软件随想录 
3652388, 8.8, 1739, 程序员的自我修养 
3004255, 8.4, 2843, 编程之美 
1140457, 9.1, 1184, 敏捷软件开发 
1102259, 8.4, 2681, 人月神话 
1500149, 9.4, 841, UNIX网络编程 
1152111, 8.6, 2007, 程序员修炼之道 
3360807, 9.1, 1084, Effective java 中文版（第2版） 
1139426, 8.9, 1322, 数据结构与算法分析 
3288908, 9.0, 1164, 集体智慧编程 
3012360, 9.0, 1067, C和指针 
2778632, 8.9, 1127, C陷阱与缺陷 
2154713, 8.9, 968, 精通正则表达式 
1110934, 8.7, 1100, STL源码剖析 
1099889, 8.9, 871, C++程序设计语言（特别版） 
3296317, 9.1, 676, 编译原理 
5948760, 8.8, 889, A Byte of Python 
10746113, 8.7, 1003, HTTP权威指南 
5372651, 8.3, 1532, 程序员的思维修炼 
2000732, 8.8, 765, Head First Java（第二版·中文版） 
19952400, 9.4, 392, 算法（第4版） 
1130500, 9.3, 429, 计算机程序设计艺术（第1卷） 
1110941, 8.9, 611, C++标准程序库 
4199741, 8.5, 920, 代码整洁之道 
1088168, 8.9, 596, Windows 程序设计：第5版 
1232061, 8.7, 726, JAVASCRIPT权威指南(第四版) 
10484692, 9.0, 524, Java并发编程实战 
1440658, 8.3, 1090, Dive Into Python 
1482240, 8.6, 750, 深入浅出 MFC 第二版 
6756090, 8.4, 902, 松本行弘的程序世界 
3117898, 8.7, 621, Python源码剖析 
25768396, 8.7, 604, 深入浅出Node.js 
10797189, 8.6, 668, 编写可读代码的艺术 
1173548, 9.0, 427, 程序设计实践 
4088038, 8.9, 467, Perl语言入门 
4866934, 7.9, 1413, Python基础教程 
4164024, 8.2, 965, 高效程序员的45个习惯 
4924165, 9.5, 269, CLR via C# 
1503819, 8.7, 549, Linux内核设计与实现 
4031906, 8.9, 438, 冒号课堂 
3234692, 8.7, 532, 编程珠玑II 
1241385, 8.9, 439, More Effective C++中文版 
1319751, 8.6, 569, C++Primer Plus 
5362856, 8.9, 421, 高性能JavaScript 
20382244, 8.8, 460, R语言实战 
1088045, 8.8, 453, Windows核心编程 
6860890, 8.3, 757, 黑客 
1219329, 9.2, 310, Unix/Linux编程实践教程 
1138768, 8.6, 543, 深入Java虚拟机(原书第2版) 
3948354, 8.2, 773, Python学习手册 
1087767, 9.1, 307, TCP/IP详解 卷2：实现 
1101524, 8.3, 665, C++编程思想（第1卷） 
11614538, 8.7, 431, 程序员的职业素养 
3260311, 8.8, 392, Erlang 程序设计 
1141221, 9.1, 292, Microsoft.NET框架程序设计 
26351021, 9.5, 208, 你不知道的JavaScript（上卷） 
3354490, 8.4, 562, MySQL必知必会 
1096216, 8.8, 376, C++语言的设计和演化 
1792179, 8.8, 373, Effective STL中文版 
25863515, 8.1, 767, 图解HTTP 
3735649, 8.8, 360, Orange&#39;S:一个操作系统的实现 
3558788, 8.0, 801, 卓有成效的程序员 
1119904, 8.9, 305, C++设计新思维 
3142280, 7.9, 829, 梦断代码 
6966465, 8.4, 467, 剑指Offer 
3022779, 8.6, 374, ppk谈JavaScript 
4279678, 9.2, 213, C语言程序设计 
20471211, 8.7, 301, Linux多线程服务端编程 
24250054, 8.5, 357, SQL必知必会 
1215826, 8.3, 436, Essential C++中文版 
2031396, 8.9, 248, 深入解析Windows操作系统 
25965995, 8.5, 355, 构建之法 
1102180, 8.5, 351, C++沉思录 
1942934, 8.9, 244, Head First Servlets &amp; JSP（中文版） 
2269648, 8.6, 314, 正则表达式必知必会 
2073826, 8.5, 345, Linux程序设计 
5345682, 8.1, 512, Maven实战 
2032343, 8.3, 411, Programming Ruby中文版 
25779298, 8.5, 329, 利用Python进行数据分析 
4923179, 7.9, 619, 我编程，我快乐 
2116929, 8.2, 436, 高质量程序设计指南 
1232071, 8.5, 322, 如何求解问题 
4828875, 8.6, 287, Python Cookbook 
1231697, 8.7, 247, Perl语言编程 
26274202, 8.7, 245, Flask Web开发：基于Python的Web应用开发实战 
6862061, 9.2, 161, 计算机科学概论（第11版） 
25815142, 9.0, 186, 游戏引擎架构 
5338024, 8.5, 288, 与孩子一起学编程 
11941213, 8.5, 283, Learn Python the Hard Way 
4941558, 8.8, 216, Cracking the Coding Interview
24536403, 7.7, 680, 代码的未来 
4118577, 9.5, 126, UNIX网络编程 卷2 
1231481, 8.6, 258, COM本质论 
10561367, 8.1, 409, Head First Python（中文版） 
3246499, 8.3, 333, 疯狂Java讲义 
10733304, 8.3, 336, 基于MVC的JavaScript Web富应用开发 
19952184, 8.3, 321, 别怕，Excel VBA其实很简单 
4831448, 8.4, 281, Linux程序设计 
1480481, 8.2, 336, C++编程规范 
1835449, 8.1, 373, VC++深入详解 
1436134, 8.9, 176, 算法引论 
2043236, 8.9, 172, Processing 
1850191, 8.3, 277, 设计模式解析 
3897837, 9.0, 148, Spring揭秘 
19962787, 8.5, 224, Objective-C编程 
21792530, 8.2, 302, 编写可维护的JavaScript 
1679623, 7.0, 1376, C程序设计 
6529833, 8.7, 183, Java语言程序设计 
3338669, 9.0, 141, Programming in Scala 
25856314, 8.8, 166, Web性能权威指南 
3173123, 8.1, 316, C++GUI Qt4编程 
1035710, 9.0, 141, UNIX操作系统设计 
24749842, 9.1, 129, 挑战程序设计竞赛 
25848404, 8.6, 190, Android编程权威指南 
5263109, 9.3, 111, Ruby on Rails 3 Tutorial 
6889456, 8.1, 297, Linux Shell脚本攻略 
3423021, 8.5, 202, 通灵芯片 
3446112, 8.1, 294, jQuery实战 
10591096, 8.5, 198, 正则指引 
26382780, 9.1, 121, JavaScript设计模式与开发实践 
3142908, 8.6, 181, Python Tutorial 
1143879, 8.7, 167, Accelerated C++中文版 
1321769, 9.0, 131, 3D游戏编程大师技巧 
25923597, 9.3, 104, Effective Modern C++ 
11589828, 8.5, 195, Linux命令行与shell脚本编程大全 
1876898, 9.5, 91, The AWK Programming Language 
1787103, 9.1, 119, How to Design Programs 
1426838, 7.9, 339, Joel说软件 
25884108, 8.1, 270, 程序员的呐喊 
2248759, 8.2, 245, 修改代码的艺术 
3406939, 9.0, 126, 编程精粹 
6800774, 8.5, 182, SQL反模式 
4033320, 8.3, 216, 学习OpenCV（中文版） 
1231702, 8.3, 218, Win32多线程程序设计 
25894685, 8.1, 252, 啊哈!算法 
4746407, 8.5, 173, 深入PHP 
25829244, 8.5, 170, Effective Objective-C 2.0 
1230286, 8.6, 155, WINDOWS游戏编程大师技巧&lt;第2版&gt;(附光盘) 
4875599, 8.7, 141, C++程序设计原理与实践 
1432683, 9.2, 97, On Lisp 
19973015, 9.8, 65, Operating Systems 
3248794, 9.1, 100, 高等应用数学问题的MATLAB求解 
3422332, 8.2, 206, 你必须知道的495个C语言问题 
1456903, 8.5, 158, Practical Common Lisp 
7055340, 9.0, 106, 深入理解C#（第2版） 
3628911, 8.5, 156, Dive Into Python 3 
3519360, 7.5, 413, Shell脚本学习指南 
1793123, 8.0, 236, C#入门经典 
1446250, 8.7, 126, 汇编语言程序设计 
3864073, 7.3, 520, Objective-C基础教程 
3948373, 7.9, 259, Objective-C 2.0程序设计 
2152385, 9.0, 100, 程序设计语言 
3324516, 8.0, 228, 实现模式 
1834459, 9.1, 90, 深入理解LINUX网络内幕 
10482195, 8.4, 152, 编程语言实现模式 
24868904, 8.2, 181, 高效能程序员的修炼 
4175538, 9.1, 88, Flash ActionScript 3.0 动画高级教程 
26278021, 9.5, 68, Fluent Python 
1915868, 8.3, 163, Python编程（第三版·英文影印版） 
5376270, 8.9, 99, 调试九法 
1761742, 8.7, 113, Head First Object-Oriented Analysis and Design 
20254543, 8.7, 111, 算法竞赛入门经典 
4722708, 7.9, 222, 系统程序员成长计划 
3081930, 9.0, 89, 游戏人工智能编程案例精粹 
1917706, 8.0, 203, 重构与模式 
1144007, 8.4, 141, Java数据结构和算法 
1786294, 8.8, 101, C语言编程：一本全面的C语言入门教程（第三版） 
4311129, 8.3, 152, OpenGL编程指南（原书第7版） 
3788437, 9.2, 77, 琢石成器 
11530748, 8.2, 161, Android开发精要 
24720270, 8.2, 162, Objective-C高级编程 
1766670, 9.5, 63, Instructor&#39;s Manual t/a Structure and Interpretation of Computer Programs 
26599538, 8.6, 114, Android开发艺术探索 
3210669, 8.4, 128, 编程匠艺 
3010746, 9.0, 80, Advance Bash-Scripting Guide 
25703412, 9.1, 74, 嗨翻C语言 
4317573, 8.3, 131, 算法技术手册 
26462816, 8.1, 154, GitHub入门与实践 
26337545, 9.2, 67, The Go Programming Language 
1787855, 9.3, 63, Programming From The Ground Up 
25927585, 8.0, 166, 代码之髓 
10773324, 8.5, 106, Python标准库 
1787854, 8.7, 91, An Introduction to GCC 
4719230, 7.5, 266, 编程之魂 
4212921, 7.7, 211, Python高级编程 
1230040, 8.3, 119, C语言接口与实现 
1143801, 8.6, 94, 算法I～IV（C++实现）――基础、数据结构、排序和搜索（第三版） 
3072383, 8.7, 86, The Algorithm Design Manual 
3563971, 9.0, 70, C#与.NET 3.5高级程序设计 
25910544, 7.6, 218, 编写高质量代码：改善Python程序的91个建议 
6799412, 8.3, 113, Debug Hacks中文版 
24316255, 7.8, 177, Go Web编程 
26148763, 8.7, 80, 计算的本质 
2335649, 9.0, 66, Head First C# 
25713498, 8.1, 128, 迷茫的旅行商 
25828043, 8.4, 101, Java性能优化权威指南 
