Tag: 美国 
The number of books: 780 

ID, Rating, Votes, Title
1068920, 9.3, 73185, 飘（上下） 
1829226, 9.1, 35259, 肖申克的救赎 
1336330, 9.3, 21551, 冰与火之歌（卷一） 
1040771, 8.2, 123220, 达·芬奇密码 
1027191, 9.0, 26834, 历史深处的忧虑 
3813669, 8.6, 51446, 民主的细节 
1464203, 9.4, 11855, 冰与火之歌（卷二） 
1986291, 9.5, 10263, 冰与火之歌（卷三） 
1064275, 8.3, 50185, 老人与海 
6798611, 8.7, 25068, 史蒂夫·乔布斯传 
1051193, 8.6, 28442, 麦琪的礼物 
1092335, 8.9, 16014, 教父 
1258490, 9.2, 10238, 基地 
3210843, 9.2, 8397, 冰与火之歌·卷四·群鸦的盛宴（全两册） 
1014825, 9.0, 10536, 我也有一个梦想 
1056315, 8.8, 14147, 总统是靠不住的 
1424741, 8.5, 22323, 心是孤独的猎手 
1008988, 8.3, 31810, 了不起的盖茨比 
20381804, 9.4, 6003, 冰与火之歌·卷五·魔龙的狂舞（全三册） 
6021440, 8.8, 12936, 黑客与画家 
25829693, 9.0, 9405, 永恒的终结 
1036274, 8.5, 20120, 夏洛的网 
1476651, 9.0, 9356, 社会心理学 
6781808, 9.2, 6928, 杀死一只知更鸟 
26382433, 8.2, 31514, 无声告白 
1062193, 8.6, 15186, 娱乐至死 
5375620, 8.8, 11217, 失控 
1865089, 8.4, 19074, 瓦尔登湖 
1082518, 7.9, 47926, 麦田里的守望者 
1316648, 8.3, 21550, 查令十字街84号 
26576861, 9.0, 7151, 最好的告别 
1762869, 8.9, 8204, 如彗星划过夜空 
1228110, 8.2, 24782, 天使与魔鬼 
1022238, 8.2, 25006, 菊与刀 
26602392, 8.8, 9380, 你今天真好看 
1140727, 8.8, 9355, 安德的游戏 
26586492, 8.9, 7656, 火星救援 
6964047, 9.3, 4429, 冰与火之歌（卷一） 
1033190, 8.8, 8450, 失落的一角 
2194123, 8.4, 15403, 相约星期二 
1794620, 7.8, 43101, 芒果街上的小屋 
26425831, 8.8, 7850, 斯通纳 
1041385, 9.2, 4494, 论美国的民主 
1465324, 7.7, 51208, 洛丽塔 
26340138, 7.7, 48784, 岛上书店 
