Tag: 英国 
The number of books: 759 

ID, Rating, Votes, Title
1041007, 9.0, 82341, 哈利·波特与魔法石 
1040211, 9.2, 46835, 福尔摩斯探案全集（上中下） 
1071241, 8.9, 70047, 哈利·波特与阿兹卡班的囚徒 
1009257, 8.9, 67957, 哈利·波特与火焰杯 
1083428, 8.8, 80162, 傲慢与偏见 
1858513, 8.9, 61385, 月亮和六便士 
1039487, 8.8, 67775, 哈利·波特与密室 
2295163, 8.9, 53384, 哈利·波特与死亡圣器 
4820710, 9.3, 28030, 1984 
1432596, 8.8, 59504, 哈利·波特与混血王子 
1141406, 8.5, 101538, 简爱 
2035179, 9.2, 28045, 动物农场 
1082387, 9.2, 23979, 一九八四·动物农场 
1827374, 9.0, 32402, 东方快车谋杀案 
1013129, 8.6, 56094, 哈利·波特与凤凰社 
3006581, 8.9, 30634, 无人生还 
2035162, 9.0, 22367, 刀锋 
1119522, 8.4, 54306, 呼啸山庄 
1807516, 8.9, 14868, 罗杰疑案 
1119839, 9.1, 11011, 王尔德童话 
26698660, 9.0, 10920, 巨人的陨落 
1818347, 8.7, 17013, 尼罗河上的惨案 
2035171, 9.0, 10678, 人生的枷锁 
4187411, 8.8, 14398, 万物有灵且美 
1394364, 8.8, 13703, 银河系漫游指南 
1016003, 8.0, 40857, 鲁滨逊漂流记 
1316648, 8.3, 21550, 查令十字街84号 
1040104, 8.7, 11005, 魔戒（第一部） 
1001136, 8.8, 9338, 彼得·潘 
1071794, 8.9, 7658, 魔戒（第三部） 
1856025, 8.9, 7254, 道连·葛雷的画像 
1006197, 8.4, 15254, 哈姆莱特 
24934182, 8.1, 22698, 一个人的朝圣 
1058759, 8.8, 7192, 魔戒（第二部） 
4011440, 8.0, 25418, 最初的爱情 最后的仪式 
2171321, 8.4, 12903, 找死的兔子 
1056461, 8.3, 14837, 旅行的艺术 
1041128, 8.5, 10724, 天蓝色的彼岸 
10560798, 8.7, 7909, 面纱 
1321789, 8.5, 8903, 美丽新世界 
10774752, 9.1, 3871, 毛姆短篇小说精选集 
4714015, 9.0, 4129, 万物既伟大又渺小 
1203251, 8.1, 15458, 雾都孤儿 
1007772, 8.2, 12713, 双城记 
1212488, 8.3, 9958, 罗密欧与朱丽叶 
2340609, 9.0, 3529, 2001太空漫游 
10439064, 9.0, 3395, 发现之旅 
3014444, 8.7, 4650, 自深深处 
4882023, 9.2, 2449, 万物既聪慧又奇妙 
3673651, 7.7, 23532, 岛 
6857344, 8.5, 6093, 夜莺与玫瑰 
1805514, 8.2, 9070, 阳光下的罪恶 
5366382, 8.7, 4196, 夜航西飞 
3594151, 8.1, 10122, 柑橘与柠檬啊 
6712255, 8.8, 3498, 天真的人类学家 
2379322, 9.4, 1722, 福尔摩斯探案集（三） 
1016429, 8.6, 4431, 毛姆读书随笔 
10488563, 8.7, 3771, 宇宙尽头的餐馆 
2996596, 8.4, 5794, 特别的猫 
21979017, 9.5, 1445, 魔戒 
1079252, 8.2, 6826, 爱情笔记 
1085021, 8.2, 6680, 蝴蝶梦 
1072334, 8.5, 4226, 魔戒前传 
2033081, 8.2, 6399, 身份的焦虑 
1034922, 8.9, 2398, 莎士比亚喜剧悲剧集 
4202422, 8.3, 5295, 云图 
1344161, 9.3, 1490, Harry Potter and the Goblet of Fire 
4143051, 8.6, 3419, 荆棘之城 
6097966, 8.1, 6954, 发条橙 
1882915, 8.9, 2269, 莎士比亚四大悲剧 
1045201, 8.2, 5713, 哲学的慰藉 
2117875, 8.8, 2445, 我爸爸 
2121010, 8.8, 2454, 我妈妈 
1872158, 8.2, 5552, 蝇王 
1946658, 8.2, 5501, 啤酒谋杀案 
3129584, 8.8, 2398, 莎乐美 
1433572, 9.2, 1508, 随风而来的玛丽阿姨 
1089049, 9.3, 1336, 莎士比亚全集（全8册） 
5993314, 8.0, 7154, 安吉拉·卡特的精怪故事集 
1035477, 7.8, 9971, 德伯家的苔丝 
2271582, 8.4, 3867, 又来了，找死的兔子 
10768068, 8.4, 3529, 寻欢作乐 
3191247, 8.7, 2377, 好兆头 
4881998, 8.4, 3487, 猜火车 
2073345, 8.7, 2354, 拜伦 雪莱 济慈 抒情诗精选集 
6797396, 8.5, 2958, 焚舟纪 
3026875, 8.7, 2318, 幕后凶手 
3402999, 8.5, 2951, 到灯塔去 
1014144, 8.3, 3882, 大卫·科波菲尔（上下） 
1946666, 7.9, 6936, 斯泰尔斯庄园奇案 
6890671, 8.2, 4111, 一天 
1203622, 8.9, 1597, 莎乐美 道林・格雷的画像 
1116367, 8.7, 2018, 道德情操论 
4175473, 8.6, 2196, 波斯少年 
2980471, 8.2, 3616, 赎罪 
1468426, 8.7, 1848, 利维坦 
4882159, 7.6, 9077, 橘子不是唯一的水果 
3908032, 7.3, 16127, 怪诞心理学 
25746578, 9.2, 1005, 大英博物馆世界简史（全3册） 
1011228, 8.3, 2948, 远大前程 
6006299, 9.2, 1010, What Every Man Thinks about Apart from Sex 
10473355, 8.6, 1961, 木麻黄树 
4097264, 9.0, 1198, 小兔彼得和他的朋友们（全3册） 
1210057, 9.2, 969, 一九八四 上来透口气 
1001065, 8.4, 2414, 麦克白 
1905742, 8.8, 1472, 金枝（上下册） 
1012117, 8.2, 3143, 仲夏夜之梦 
21346008, 8.5, 2062, 米格尔街 
10764363, 9.2, 913, 是，大臣 
1736652, 9.1, 1016, 哈利•波特(共6册) (精装) 
1903152, 8.0, 3952, 悬崖山庄奇案 
10519369, 9.4, 726, 万物生光辉 
1397467, 7.9, 4551, 理智与情感 
1032672, 8.2, 2908, 拥抱逝水年华 
2340610, 8.8, 1379, 2010太空漫游 
3338175, 7.9, 4366, 诗翁彼豆故事集 
1036395, 8.4, 2175, 爱上浪漫 
1046883, 8.5, 1900, 查理和巧克力工厂 
3689118, 8.3, 2427, 梦想家彼得 
4038615, 9.3, 775, 阿加莎·克里斯蒂侦探推理“波洛”系列（全32册） 
3010128, 8.6, 1617, 剧院风情 
3669671, 8.5, 1805, 我们在此相遇 
10746177, 8.5, 1794, 终结的感觉 
5336228, 8.7, 1409, 作家笔记 
4219125, 8.3, 2328, 坟场之书 
26356948, 7.0, 21746, 摆渡人 
1468997, 8.6, 1573, 守望灯塔 
4870150, 8.3, 2298, 44号孩子 
19938026, 8.5, 1760, 生命，宇宙以及一切 
1063401, 8.4, 1888, 精灵宝钻 
1760730, 8.3, 2121, 伍尔夫读书随笔 
3055316, 7.7, 5083, 第十三个故事 
3210683, 8.2, 2378, 星尘 
3783409, 8.7, 1239, 圣殿春秋（上） 
4151134, 7.8, 4217, 只爱陌生人 
1415226, 8.7, 1244, 奥兰多 
1028779, 8.1, 2588, 神奇动物在哪里 
1825855, 8.8, 1087, 荒原 
6744648, 8.8, 1083, 与拉玛相会 
1039840, 7.6, 5618, 查特莱夫人的情人 
25808056, 8.1, 2564, 纸牌屋 
1827375, 7.8, 4025, 人性记录 
2063620, 7.8, 3902, 谋杀启事 
20279665, 9.2, 656, “太空漫游”四部曲 
20470849, 8.3, 1768, 神的九十亿个名字 
5940829, 8.1, 2285, 写在身体上 
1027767, 8.2, 1975, 时间的女儿 
3172156, 8.5, 1356, 柏林谍影 
4198469, 8.2, 1973, 轻舔丝绒 
3175259, 8.3, 1725, 锅匠，裁缝，士兵，间谍 
3765092, 8.6, 1162, 旧地重游 
26349261, 8.3, 1685, 孤儿列车 
3783412, 8.8, 939, 圣殿春秋（下） 
3322928, 8.7, 1042, 基本上无害 
1433659, 7.8, 3352, 失恋排行榜 
3158733, 7.9, 2857, 在切瑟尔海滩上 
1754836, 8.8, 922, 向加泰罗尼亚致敬 
