Tag: 讽刺 
The number of books: 319 

ID, Rating, Votes, Title
1083428, 8.8, 80171, 傲慢与偏见 
1474773, 9.5, 25234, 海贼王 
1829226, 9.1, 35268, 肖申克的救赎 
2035179, 9.2, 28057, 动物农场 
1054685, 9.0, 36567, 沉默的大多数 
1088065, 8.6, 28150, 阿Q正传 
1424741, 8.5, 22323, 心是孤独的猎手 
1424741, 8.5, 22323, 心是孤独的猎手 
1776683, 9.0, 9944, 沉默的大多数 
1418686, 8.6, 13550, 红拂夜奔 
3136271, 8.6, 12467, 罗生门 
1424314, 9.4, 4050, 1984 
1424314, 9.4, 4050, 1984 
1258498, 8.3, 18211, 项链 
1058679, 8.7, 7246, 人·兽·鬼 
1321789, 8.5, 8903, 美丽新世界 
1096790, 8.6, 7445, 黑铁时代 
1470625, 9.1, 3750, 西游记（全三册） 
3394338, 7.5, 49188, 他的国 
1136881, 9.3, 2821, 悲惨世界 
1136881, 9.3, 2821, 悲惨世界 
1136881, 9.3, 2821, 悲惨世界 
1000517, 8.8, 5177, 故事新编 
6902639, 7.9, 20117, 青春 
5920385, 8.2, 11858, 肠子 
1764991, 8.9, 4263, 我的阴阳两界·革命时期的爱情 
1468602, 9.1, 3338, 围城 
1764991, 8.9, 4263, 我的阴阳两界·革命时期的爱情 
1468602, 9.1, 3338, 围城 
1453210, 7.4, 50278, 一座城池 
1777932, 8.6, 5901, 寻找无双·东宫西宫 
1822862, 8.8, 3881, 王小波全集：红拂夜奔（第四卷） 
1822857, 9.0, 2983, 王小波全集（第二卷 杂文） 
1132956, 8.3, 7755, 白银时代 
1132956, 8.3, 7755, 白银时代 
1082577, 8.7, 4334, 黑铁时代 
1859108, 8.8, 3254, 白痴 
1859108, 8.8, 3254, 白痴 
1465007, 8.2, 7425, 生死疲劳 
5939312, 8.2, 5728, 超·杀人事件 
1460340, 8.9, 2205, 人性的，太人性的 
1000856, 7.9, 8910, 我是猫 
1119528, 7.9, 8860, 高老头 
1849791, 8.5, 3390, 铁皮鼓 
4213995, 7.7, 11513, 黑笑小说 
1733250, 8.4, 3804, 韩寒五年文集（上下） 
1090575, 8.5, 3189, 金拇指 
3871911, 8.4, 3597, 大树 
6742586, 7.8, 8858, 我不是潘金莲 
1050566, 8.0, 6383, 一地鸡毛 
4718973, 7.8, 8417, 毒笑小说 
1839492, 9.2, 1221, 傲慢与偏见 
1125556, 8.6, 2372, 朝花夕拾 
1088812, 8.3, 3471, 第二十二条军规 
1491853, 8.2, 3795, 变色龙 
1152701, 7.7, 7933, 漂亮朋友 
1092246, 8.1, 4044, 百万英镑 
4264003, 7.4, 12361, 名侦探的守则 
1010898, 7.6, 8382, 格列佛游记 
1408193, 9.1, 1037, To Kill a Mockingbird 
10764363, 9.2, 914, 是，大臣 
1015767, 8.0, 4096, 门萨的娼妓 
1022341, 8.2, 2989, 白客 
1394254, 9.1, 1004, Animal Farm 
1022341, 8.2, 2989, 白客 
1426214, 8.1, 3227, 少林寺第八铜人 
1426214, 8.1, 3227, 少林寺第八铜人 
