Tag: 音乐 
The number of books: 280 

ID, Rating, Votes, Title
2295324, 8.6, 4483,  地下乡愁蓝调 
19962936, 8.7, 3396,  只是孩子 
1963786, 8.5, 3087,  怎样鉴别黄色歌曲 
3178741, 9.2, 1199,  来自民间的叛逆 
1493350, 9.3, 894,  哈农钢琴练指法 
3095037, 9.0, 1166,  听音乐（插图第6版） 
1044203, 8.1, 3560,  伤花怒放 
10590165, 9.5, 639,  聆听音乐 
1536776, 9.1, 842,  拜厄钢琴基本教程 
1868786, 8.0, 2589,  列侬回忆 
26580056, 8.3, 1601,  把青春唱完1990-1999 
1144865, 9.1, 533,  见证 
1757759, 9.5, 346,  琴学备要（上下） 
4142964, 8.5, 848,  古琴 
3891385, 8.1, 1330,  制造伍德斯托克 
1223765, 8.3, 1029,  请宰了我 
2265482, 8.1, 1210,  遥远的乡愁 
25858095, 8.7, 593,  我是你的男人 
1424373, 7.7, 2032,  电影×音乐 
6311580, 8.7, 573,  天堂十字路口 
1229236, 8.8, 524,  断弦的耳朵 
5395157, 7.9, 1456,  小夜曲 
26584734, 8.4, 722,  乐之本事 
3427973, 8.6, 573,  台　流行音　200最佳　　（1975-2005） 
1208741, 9.1, 342,  约翰　汤普森简易钢琴教程(1) 
25829051, 8.1, 926,  与小泽征尔共度的午后音乐时光 
1056801, 7.7, 1543,  摇滚圣经 
4912669, 7.3, 2756,  忧伤的老板 
10467105, 8.1, 862,  感动，如此创造 
1428307, 9.4, 229,  西方文明中的音乐 
1493169, 8.9, 338,  指尖下的音乐 
1059690, 8.5, 460,  辛丰年音乐笔记 
4047917, 8.7, 375,  秋籁居琴话 
1005381, 8.8, 317,  音乐圣经 
2076086, 9.0, 266,  弹指之间 
6101070, 8.3, 519,  滚石30 
1038703, 7.7, 1046,  音乐影响了我的写作 
1198520, 8.5, 383,  北方人的巴赫 
2367265, 8.6, 347,  民谣流域 
1095832, 8.0, 647,  音乐理论基础 
24871971, 8.5, 358,  然而，很美 
1245500, 8.6, 311,  和声学教程 
24845006, 9.0, 204,  有生之年非听不可的1001张唱片 
7007774, 7.7, 765,  没有意义就没有摇摆 
1076234, 8.7, 252,  人类的音乐 
1116305, 9.1, 180,  论钢琴表演艺术 
1031144, 7.7, 691,  音乐笔记 
2294572, 8.5, 266,  管风琴手记 
3423381, 8.7, 220,  不可思议的惊奇 
1440188, 8.6, 236,  在音乐与社会中探寻 
1321743, 8.5, 256,  古典音乐 
1122587, 9.1, 156,  阿劳谈艺录 
1496108, 8.7, 213,  约翰　汤普森现代钢琴教程 
2247444, 8.9, 173,  勋伯格和声学 
5245585, 7.9, 451,  词家有道 
1865723, 8.0, 394,  左岸琴声 
25812901, 9.6, 99,  李志原创歌曲吉他谱 
4253524, 8.1, 338,  近世古琴逸话 
5957920, 9.3, 115,  混音指南 
25803500, 7.8, 421,  古典音乐的巨匠时代（1685　1897） 
1963618, 8.5, 199,  伟大作曲家的生活 
1011858, 8.9, 144,  企鹅激光唱片指南 
1064704, 7.5, 584,  燃烧的噪音 
3239321, 7.8, 391,  活埋蓝调里 
3697498, 8.4, 213,  永恒的日记 
11504666, 8.1, 279,  谁愿永生 
1036210, 8.1, 275,  听者有心 
25747192, 7.7, 421,  原谅我一生不羁放纵爱自由 
21965538, 8.7, 156,  披头士（上下册） 
5914557, 8.9, 133,  伟大指挥家 
1039005, 9.1, 114,  倾听雅尼 
1342236, 7.6, 453,  地地下 
25773535, 8.7, 150,  迈尔斯　戴维斯自传 
2029857, 8.1, 260,  音乐逸事 
1446301, 8.1, 258,  丰子恺谈音乐 
1536797, 9.1, 108,  铃木小提琴教材 
10457355, 7.8, 331,  摇滚谱系 
5423589, 8.4, 185,  　所有明日的聚　 
4060765, 7.8, 328,  纽约时报古典乐评精选 
4912650, 7.0, 896,  沿着　望塔 
1401013, 8.6, 148,  练琴的艺术 
1092163, 8.1, 232,  西方音乐通史 
1866052, 7.8, 318,  灰飞烟灭 
1075651, 7.6, 385,  音乐欣赏十五讲 
1024814, 7.9, 278,  爵士春秋 
25928734, 8.9, 114,  古典风格 
1114471, 8.4, 170,  民谣吉他经典教程 
26373145, 7.4, 466,  耳朵借我 
24855168, 9.0, 101,  琴道 
1076137, 8.2, 186,  西方音乐一千年 
1161357, 8.3, 166,  爵士名盘300 
1312718, 7.7, 294,  帕格尼尼 
1329696, 8.9, 100,  中国古代音乐史稿上、下册 
